name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
2BSYSTEM,software,BOURG-EN-BRESSE,,,,,11-50,Développement logiciel,2026-09-21
ABSYS INFORMATIQUE,software,OYONNAX,,https://www.absys-info.fr/fr/recrutement,https://www.linkedin.com/company/absys-informatique/,,1-10,ESN,2026-09-21
ADIDOM FAMILY,software,BOURG-EN-BRESSE,,,,,1-10,Services informatiques,2026-09-21
AITRPRO,software,SAULT-BRENAZ,,,https://www.linkedin.com/company/aitrpro/,,1-10,ESN,2026-09-21
AMBITION INFORMATIQUE,software,CHATEAU-GAILLARD,,,https://www.linkedin.com/company/ambition-informatique/,,1-10,Développement logiciel,2026-09-21
ANURA,software,BOURG-EN-BRESSE,,,https://www.linkedin.com/company/anura-developpement-informatique/,,1-10,ESN,2026-09-21
APG WEB CONSEIL,software,CESSY,,,https://www.linkedin.com/company/apg-web-conseil/,,1-10,Développement logiciel,2026-09-21
ARCHABE,software,RANCE,,,https://www.linkedin.com/company/archabe-agence-web/,,1-10,ESN,2026-09-21
ARCHIVES MULTIMEDIA,software,HAUT VALROMEY,,,,,1-10,Éditeur de logiciels,2026-09-21
ATPMG,software,COLIGNY,,,,,1-10,Développement logiciel,2026-09-21
CADENAS FRANCE,software,CHATILLON-SUR-CHALARONNE,,,,,1-10,ESN,2026-09-21
CAP ON LINE,software,BUELLAS,,,https://www.linkedin.com/company/cap-on-line-01/,,1-10,Éditeur de logiciels,2026-09-21
CIRCET,telecom,MIRIBEL,,https://www.circet.fr/offres-demploi,https://www.linkedin.com/company/circet/,,1000+,Télécoms,2026-09-21
CISA INFORMATIQUE,software,BOURG-EN-BRESSE,,https://www.cisa-informatique.com/recrutements-cisa/,https://www.linkedin.com/company/cisa-informatique/,,11-50,Éditeur de logiciels,2026-09-21
DREMTECH,software,MIRIBEL,,,,,1-10,ESN,2026-09-21
E - CONCEPTION PB,software,CHARNOZ-SUR-AIN,,,https://www.linkedin.com/company/e-conception/,,1-10,Développement logiciel,2026-09-21
ERP CONSULTING,software,SAINT-DENIS-LES-BOURG,,,,,1-10,ESN,2026-09-21
HEXAGONE PAIE,software,OYONNAX,,,,,1-10,Hébergement et traitement de données,2026-09-21
HFC CONSULTING,software,SAINT-MARCEL,,,,,1-10,ESN,2026-09-21
HOMEFID,software,MESSIMY-SUR-SAONE,,,,,1-10,Infogérance,2026-09-21
IDCOM,software,BOURG-EN-BRESSE,,,https://www.linkedin.com/company/idcom-agences-de-communication/,,11-50,ESN,2026-09-21
INFO ADAPT SERVICES,software,PERONNAS,,,https://www.linkedin.com/company/ias-info-adapt-services/,,,Développement logiciel,2026-09-21
K-NET,telecom,SAINT-GENIS-POUILLY,,,,,,Télécoms,2026-09-21
KOKI SOFTWARE,software,SAVIGNEUX,,,https://www.linkedin.com/company/koki-software/,,1-10,Éditeur de logiciels,2026-09-21
LAPSEBOX,software,BEYNOST,,,https://www.linkedin.com/company/lapsebox/,,1-10,ESN,2026-09-21
LINAUTOM,software,CROZET,,,,,1-10,ESN,2026-09-21
M+P INTERNATIONAL,software,MASSIEUX,,,https://www.linkedin.com/company/m-p-international/,,1-10,ESN,2026-09-21
MDSL GROUPE,telecom,BEYNOST,,,,,,Télécoms,2026-09-21
MICRO MEDIA CONSEILS,software,OYONNAX,,,,,1-10,ESN,2026-09-21
MICRONOV,software,BOURG-EN-BRESSE,,,https://www.linkedin.com/company/micronov/,,,Services informatiques,2026-09-21
N2JSOFT,software,MONTAGNAT,,https://n2jsoft.recruitee.com/,https://www.linkedin.com/company/n2jsoft/,C#|.NET|Angular|TypeScript,,Développement logiciel,2026-09-21
NAVORI,software,SAINT-GENIS-POUILLY,,https://navori.com/fr/careers/,https://www.linkedin.com/company/navori-sa/,,1-10,ESN,2026-09-21
NEXEREN,software,CIVRIEUX,,,https://www.linkedin.com/company/nexeren-datacenter/,,,Hébergement et traitement de données,2026-09-21
ODISS,software,SAINT-MAURICE-DE-BEYNOST,,,https://www.linkedin.com/company/odiss/,,,Services informatiques,2026-09-21
OKTEO,software,CEYZERIAT,,,https://www.linkedin.com/company/okteo/,,51-1000,Développement logiciel,2026-09-21
OXIMEO CONSEIL,software,PEYZIEUX-SUR-SAONE,,,,,1-10,ESN,2026-09-21
RENTCOM TECHNOLOGIES,software,BALAN,,https://www.rentcomtechnologies.com/recrutement,https://www.linkedin.com/company/rentcom-technologies/,,1-10,Développement logiciel,2026-09-21
SARL AB6NET,software,BOURG-EN-BRESSE,,,,,1-10,Développement logiciel,2026-09-21
SARL AIN POINT PHONE,telecom,BOURG-EN-BRESSE,,,,,1-10,Télécoms,2026-09-21
SERCI,software,CROTTET,,,https://www.linkedin.com/company/serci/,,1-10,ESN,2026-09-21
SFR FIBRE SAS,telecom,THOIRY,,,,,51-1000,Télécoms,2026-09-21
SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R,telecom,BOURG-EN-BRESSE,,https://recrutement.sfr.com/,https://www.linkedin.com/company/sfr/,,1000+,Télécoms,2026-09-21
T D F,telecom,TRAMOYES,,https://www.tdf.fr/nous-rejoindre/,https://www.linkedin.com/company/tdf/,,,Télécoms,2026-09-21
TALENT BUSINESS SOLUTIONS,software,SAINT-MAURICE-DE-BEYNOST,,,https://www.linkedin.com/company/talent-business-solutions/,,51-1000,ESN,2026-09-21
TERABEE,software,SAINT-GENIS-POUILLY,,,https://www.linkedin.com/company/terabee/,,,Développement logiciel,2026-09-21
WIZIOU,software,MONTMERLE-SUR-SAONE,,,https://www.linkedin.com/company/wiziou-si/,,1-10,ESN,2026-09-21
XBP EUROPE AST,software,MIRIBEL,,,,,51-1000,Hébergement et traitement de données,2026-09-21
XEFI BOURG,software,PERONNAS,,,,,,ESN,2026-09-21
YKA,software,SEGNY,,,https://www.linkedin.com/company/yka-sas/,,,Maintenance informatique,2026-09-21
YPOK,software,MIRIBEL,,,https://www.linkedin.com/company/ypokfrance/,,11-50,Développement logiciel,2026-09-21
