name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
ADEL'INFOR,software,AURILLAC,,,,,1-10,ESN,2026-09-21
ALGOPT,software,YDES,,,,,,ESN,2026-09-21
ASAP 15,software,SAINT-FLOUR,,,https://www.linkedin.com/company/asap-15/,,1-10,ESN,2026-09-21
AXE-LIBRE,software,LA MONSELIE,,,,,,Développement logiciel,2026-09-21
AYTECHNET,software,LEYNHAC,,,https://www.linkedin.com/company/aytechnet/,,,Développement logiciel,2026-09-21
BORGES INDUSTRIE,software,AURILLAC,,,,,,Hébergement et traitement de données,2026-09-21
BPAP,software,AURILLAC,,,https://www.linkedin.com/company/bpap-sas/,,11-50,ESN,2026-09-21
CANTAL DIGITAL STUDIO,software,RIOM-ES-MONTAGNES,,,,,,Développement logiciel,2026-09-21
CEGID,software,AURILLAC,,https://jobs.cegid.com/fr,https://www.linkedin.com/company/cegid/,,1000+,Éditeur de logiciels,2026-09-21
CF. DISCOUNT,software,USSEL,,,,,,Développement logiciel,2026-09-21
CORTEX,software,SAINT-MAMET-LA-SALVETAT,,,,,,Hébergement et traitement de données,2026-09-21
CREALOZ,software,MURAT,,,https://www.linkedin.com/company/crealoz/,,1-10,ESN,2026-09-21
CYB3R TECH,software,AURILLAC,,,,,1-10,ESN,2026-09-21
ICECOM,software,AURILLAC,,,https://www.linkedin.com/company/icecom/,,1-10,Développement logiciel,2026-09-21
ICON-CONSULTING,software,AURILLAC,,,,,1-10,ESN,2026-09-21
IPGAZAL,telecom,AURILLAC,,,,,,Télécoms,2026-09-21
J.C.V CONSEIL,software,AURILLAC,,,,,,ESN,2026-09-21
L'ENVOL DU PHENIX,software,ALLANCHE,,,,,,Développement logiciel,2026-09-21
L.C.T.,telecom,AURILLAC,,,,,,Télécoms,2026-09-21
LANZA DIGITAL,software,AURILLAC,,,,,,Développement logiciel,2026-09-21
LIBRESENS,software,SALERS,,,,,1-10,Développement logiciel,2026-09-21
LOGHOSP,software,JUSSAC,,,,,,ESN,2026-09-21
LUOCS,software,ARPAJON-SUR-CERE,,,,,1-10,ESN,2026-09-21
MAXSOL'UTIONS,software,AURILLAC,,,,,,Éditeur de logiciels,2026-09-21
MG WEB PRODUCTION,software,LAROQUEBROU,,,,,1-10,ESN,2026-09-21
NET 15,software,AURILLAC,,,,,1-10,Développement logiciel,2026-09-21
NVH CLOUD,software,CLAVIERES,,,,,,Hébergement et traitement de données,2026-09-21
OCCICOM,telecom,AURILLAC,,https://occicom.fr/recrutement,https://www.linkedin.com/company/occicom/,,,Télécoms,2026-09-21
OCSALIS,software,GIOU-DE-MAMOU,,,,,,Développement logiciel,2026-09-21
OCSALIS SAS,software,GIOU-DE-MAMOU,,,,,1-10,Développement logiciel,2026-09-21
ODDIRIS,software,JOURSAC,,,,,1-10,Développement logiciel,2026-09-21
ORANGE,telecom,AURILLAC,,https://orange.jobs/fr/fr/europe/france,https://www.linkedin.com/company/orange/,,1000+,Télécoms,2026-09-21
P.P. PRODUCTIONS,software,BRAGEAC,,,,,,ESN,2026-09-21
QUARTIER DIGITAL,software,SAINT-FLOUR,,,,,1-10,ESN,2026-09-21
SAS DI CONSEIL,software,CHEYLADE,,,,,,ESN,2026-09-21
SEO VIZ,software,SEGUR-LES-VILLAS,,,,,,ESN,2026-09-21
SITEW.COM,software,AURILLAC,,https://www.sitew.com/Offres-d-emploi,https://www.linkedin.com/company/sitew/,,,Développement logiciel,2026-09-21
SOFT INFORMATIQUE,software,ROFFIAC,,,,,,Hébergement et traitement de données,2026-09-21
SOS 4 ERP,software,AURILLAC,,,,,1-10,ESN,2026-09-21
SPX CONSULTING,software,VEZAC,,,,,,Services informatiques,2026-09-21
SW2C - CONCEPTION & CONSEIL INFORMATIQUE,software,ALLANCHE,,,,,1-10,Développement logiciel,2026-09-21
SYXPERIANE GROUP,software,AURILLAC,,https://syxperiane.welcomekit.co/,,,51-1000,ESN,2026-09-21
T D F,telecom,AURILLAC,,https://www.tdf.fr/nous-rejoindre/,https://www.linkedin.com/company/tdf/,,,Télécoms,2026-09-21
T2N,software,DRUGEAC,,,,,,Développement logiciel,2026-09-21
TOWER LOCATION,software,SAINT-SIMON,,,,,,Développement logiciel,2026-09-21
V2S,software,COREN,,,,,1-10,ESN,2026-09-21
VELUMWARE,telecom,VEBRET,,,,,1-10,Télécoms,2026-09-21
YZYLINK,telecom,AURILLAC,,,,,,Télécoms,2026-09-21
Z-INDEX,software,AURILLAC,,https://www.zindex.fr/recrutement/,https://www.linkedin.com/company/z-index-sas/,PHP|MySQL|JavaScript,,Développement logiciel,2026-09-21
ZOOTIC,software,ROUFFIAC,,,,,1-10,Développement logiciel,2026-09-21
