name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
6TEMATIK,software,ROMANS-SUR-ISERE,,https://www.6tematik.fr/agence-digitale/offres-emploi,https://www.linkedin.com/company/6tematik-agence-digitale-web-lyon/,,,Développement logiciel,2026-09-21
ADEQUASYS FRANCE,software,ROMANS-SUR-ISERE,,,https://www.linkedin.com/company/adequasys/,,,ESN,2026-09-21
ADISTA,software,ROMANS-SUR-ISERE,,,https://www.linkedin.com/company/adista/,,51-1000,Hébergement et traitement de données,2026-09-21
ALTEN,software,PIERRELATTE,,https://www.alten.fr/carriere/,https://www.linkedin.com/company/alten/,,1000+,ESN,2026-09-21
ANAMNESE,software,BOURDEAUX,,,,,,Éditeur de logiciels,2026-09-21
APE CONSEIL,software,GRANGES-LES-BEAUMONT,,https://ape-groupe.com/recrutement/,https://www.linkedin.com/company/ape-groupe/,,11-50,ESN,2026-09-21
APHELIO,software,VALENCE,,,https://www.linkedin.com/company/aphelio-fr/,,,ESN,2026-09-21
APIK BY OCI,software,ALIXAN,,,https://www.linkedin.com/company/apik-by-oci-odoo/,Odoo,11-50,ESN,2026-09-21
ATM CONSULTING,software,VALENCE,,,https://www.linkedin.com/company/atm-consulting-valence/,,11-50,ESN,2026-09-21
AXESS ONLINE,software,VALENCE,,https://www.axess.fr/espace-carriere,https://www.linkedin.com/company/axess-groupe/,,,ESN,2026-09-21
AXESS SOFTWARE,software,VALENCE,,https://www.axess.fr/espace-carriere,https://www.linkedin.com/company/axess-groupe/,,,ESN,2026-09-21
AXESS STRATEGIE DIGITALE,software,VALENCE,,https://www.axess.fr/espace-carriere,https://www.linkedin.com/company/axess-groupe/,,11-50,ESN,2026-09-21
AXIONE,telecom,VALENCE,,https://www.axione.com/rejoignez-nous/postuler/,https://www.linkedin.com/company/axione/,,1000+,Télécoms,2026-09-21
AXIV IT SERVICES ET SOLUTIONS DIGITALES,software,BOURG-LES-VALENCE,,,,,,Développement logiciel,2026-09-21
