name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
ADLIN SCIENCE,software,GRENOBLE,,,https://www.linkedin.com/company/adlin-science/,,11-50,Développement logiciel,2026-09-21
Aledia,deeptech|industrial,Champagnier,https://www.aledia.com,,,,,MicroLED et semi-conducteurs,2026-09-25
ALTECA,software,GRENOBLE,,,https://www.linkedin.com/company/alteca/,,51-1000,ESN,2026-09-21
ARC INFORMATIQUE,software,SAINT-ISMIER,,,,,51-1000,Éditeur de logiciels,2026-09-21
BASSETTI,software,GRENOBLE,,,https://www.linkedin.com/company/bassetti-france/,,51-1000,ESN,2026-09-21
BK SYSTEMES,software,VAULX-MILIEU,,https://www.bksystemes.fr/recrutement-11,https://www.linkedin.com/company/bk-syst-mes/,,,Développement logiciel,2026-09-21
BLITZ BUSINESS SERVICES PAR ABREVIATION BLITZ BS,software,VILLEFONTAINE,,,,,1-10,ESN,2026-09-21
CAPGEMINI TECHNOLOGY SERVICES,software,MONTBONNOT-SAINT-MARTIN,,https://www.capgemini.com/fr-fr/jobs/,https://www.linkedin.com/company/capgemini/,,1000+,ESN,2026-09-21
CEA-Leti,deeptech,Grenoble,https://www.cea.fr/cea-tech/leti,,,,,R&D microélectronique et numérique,2026-09-25
CIRCET,telecom,SAINT-EGREVE,,https://www.circet.fr/offres-demploi,https://www.linkedin.com/company/circet/,,1000+,Télécoms,2026-09-21
CIRIL GROUP,software,MEYLAN,,https://cirilgroup.com/recrutement/,https://www.linkedin.com/company/ciril-group/,,51-1000,ESN,2026-09-21
CS GROUP - FRANCE,software,FONTAINE,,https://careers.smartrecruiters.com/SopraSteria1/csgroup,,,,Développement logiciel,2026-09-21
DASSAULT SYSTEMES,software,MEYLAN,,https://www.3ds.com/fr/careers/jobs,https://www.linkedin.com/company/dassaultsystemes/,,1000+,Éditeur de logiciels,2026-09-21
DERNIER CRI,software,LA MURE,,,,,,Développement logiciel,2026-09-21
DOCAPOSTE SANTE,software,MONTBONNOT-SAINT-MARTIN,,https://www.docaposte-sante.com/nous-rejoindre/nos-offres-demploi/,https://www.linkedin.com/company/docaposte-sante/,,51-1000,ESN,2026-09-21
Dolphin Design,deeptech|industrial,Meylan,https://www.dolphin-design.fr,,,,,Conception de semi-conducteurs,2026-09-25
DOXALLIA,software,SAINT-MARTIN-D'HERES,,https://www.doxallia.com/nous-rejoindre/,https://www.linkedin.com/company/doxallia-gca/,,51-1000,Hébergement et traitement de données,2026-09-21
ECEDI,software,GRENOBLE,,https://ecedi.welcomekit.co/,https://www.linkedin.com/company/ecedi/,Symfony|WordPress|Drupal|Docker,,ESN,2026-09-21
ENTERPRISE SERVICES FRANCE SAS,software,EYBENS,,,,,51-1000,ESN,2026-09-21
EVERWIN,software,GIERES,,,https://www.linkedin.com/company/everwin/,,51-1000,Éditeur de logiciels,2026-09-21
EVIDEN FRANCE,software,ECHIROLLES,,https://eviden.com/careers/,https://www.linkedin.com/company/eviden/,,1000+,Maintenance informatique,2026-09-21
EVIDIAN,software,ECHIROLLES,,https://www.evidian.com/fr/societe/recrutement/,,,51-1000,Éditeur de logiciels,2026-09-21
EXAKIS NELITE,software,MEYLAN,,,https://www.linkedin.com/company/exakis-nelite/,,51-1000,ESN,2026-09-21
EXPERIS FRANCE,software,GRENOBLE,,https://experisfrance.fr/emplois/,https://www.linkedin.com/company/experisfrance/,,1000+,ESN,2026-09-21
FICHA,software,GRENOBLE,,,,,,Éditeur de logiciels,2026-09-21
G WEB CREATION,software,GRENOBLE,,,,,,Développement logiciel,2026-09-21
HARDIS GROUPE,software,GRENOBLE,,https://www.hardis-group.com/en/job-offers/,https://www.linkedin.com/company/hardisgroup/,Java|Spring Boot|.NET|Node.js|AWS|Azure|Docker|Kubernetes,,Développement logiciel,2026-09-21
HORIZONTAL SOFTWARE,software,GIERES,,,https://www.linkedin.com/company/qoia-rh/,,,Éditeur de logiciels,2026-09-21
INETUM,software,MEYLAN,,https://www.inetum.com/fr/fr/careers.html,https://www.linkedin.com/company/inetum/,,1000+,ESN,2026-09-21
INFORMATIQUE GRAPHISME ENERGETIQUE - I.G.E.,software,MEYLAN,,,,,51-1000,Éditeur de logiciels,2026-09-21
Inria Grenoble Rhône-Alpes,deeptech,Montbonnot-Saint-Martin,https://www.inria.fr/fr/centre-inria-universite-grenoble-alpes,,,,,Recherche en sciences du numérique,2026-09-25
INTEL CORPORATION SAS,software,MOIRANS,,https://www.intel.com/content/www/us/en/jobs/locations.html,,,51-1000,Développement logiciel,2026-09-21
KAIZEN SOLUTIONS,software,MONTBONNOT-SAINT-MARTIN,,,https://www.linkedin.com/company/kzs/,,51-1000,ESN,2026-09-21
Kalray,deeptech|industrial,Montbonnot-Saint-Martin,https://www.kalrayinc.com,,,,,Processeurs et logiciels embarqués,2026-09-25
Lynred,deeptech|industrial,Veurey-Voroize,https://www.lynred.com,,,,,Capteurs infrarouges et logiciels,2026-09-25
MDSL GROUPE,telecom,BOURGOIN-JALLIEU,,,,,,Télécoms,2026-09-21
NEVERHACK FRANCE,software,MEYLAN,,,https://www.linkedin.com/company/neverhack-france/,,51-1000,ESN,2026-09-21
NORSYS SAS,software,GRENOBLE,,https://recrutement.norsys.fr/,https://www.linkedin.com/company/norsys/,,51-1000,ESN,2026-09-21
OPEN,software,MONTBONNOT-SAINT-MARTIN,,,,,1000+,ESN,2026-09-21
