name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
ADISTA,software,SAINT-ETIENNE,,,https://www.linkedin.com/company/adista/,,51-1000,Hébergement et traitement de données,2026-09-21
ARCHIVES C6,software,VERANNE,,,,,,Hébergement et traitement de données,2026-09-21
ASSISTANCE CONSEIL FORMATION - SERVICES INFORMATIQUES,software,VILLARS,,,,,1-10,ESN,2026-09-21
ASTEOS,software,VEAUCHE,,,https://www.linkedin.com/company/ast%C3%A9os/,,1-10,Développement logiciel,2026-09-21
AXIONE,telecom,SAINT-JEAN-BONNEFONDS,,https://www.axione.com/rejoignez-nous/postuler/,https://www.linkedin.com/company/axione/,,1000+,Télécoms,2026-09-21
BCE,telecom,RIORGES,,,,,,Télécoms,2026-09-21
BERGER LEVRAULT,software,SAINT-JUST-SAINT-RAMBERT,,https://recrute.berger-levrault.com/accueil.aspx,https://www.linkedin.com/company/berger-levrault/,,,Éditeur de logiciels,2026-09-21
BOOSTUP,software,SAINT-ETIENNE,,https://www.boostup.fr/recrutement.html,,Angular|jQuery|Knockout,1-10,ESN,2026-09-21
C I M INFORMATIQUE,software,SAINT-ETIENNE,,https://www.cim-informatique.com/nous-rejoindre-recrutement-informatique,https://www.linkedin.com/company/cim-informatique/,,11-50,Maintenance informatique,2026-09-21
CABAXTEL,telecom,ROANNE,,,,,11-50,Télécoms,2026-09-21
CC CONSULTING,software,RIVE-DE-GIER,,,,,,Développement logiciel,2026-09-21
COFIDOC,software,ANDREZIEUX-BOUTHEON,,https://cofidoc.fr/rejoignez-nous/,https://www.linkedin.com/company/cofidoc/,,,Hébergement et traitement de données,2026-09-21
CPG,software,SAINT-ETIENNE,,,,,1-10,ESN,2026-09-21
CYBEVASION,software,SAINT-ETIENNE,,,https://www.linkedin.com/company/cybevasion/,,1-10,Développement logiciel,2026-09-21
DOING,software,SAINT-ETIENNE,,,https://www.linkedin.com/company/doing-application-metier/,PHP|Laravel|Symfony,11-50,Développement logiciel,2026-09-21
DOXALLIA,software,SAINT-JEAN-BONNEFONDS,,https://www.doxallia.com/nous-rejoindre/,https://www.linkedin.com/company/doxallia-gca/,,51-1000,Hébergement et traitement de données,2026-09-21
ESABORA DIGITAL SERVICES,software,SAINT-ETIENNE,,https://www.esabora-digital-services.com/carriere/,https://www.linkedin.com/company/esabora-digital-services/,,11-50,Éditeur de logiciels,2026-09-21
FIDUCIAIRE INFORMATIQUE,software,SAINT-ETIENNE,,,,,1-10,Hébergement et traitement de données,2026-09-21
FIDUCIAL INFORMATIQUE,software,SAINT-ETIENNE,,https://jobs.fiducial.fr/nos-metiers/informatique-web,https://www.linkedin.com/company/fiducial/,,51-1000,Développement logiciel,2026-09-21
FOLIATEAM,telecom,ANDREZIEUX-BOUTHEON,,,,,51-1000,Télécoms,2026-09-21
GROUPE DIAGRAM,software,SAINT-ETIENNE,,https://www.diagram.fr/recrutement/,https://www.linkedin.com/company/groupe-diagram/,Symfony|WinDev|WordPress,11-50,ESN,2026-09-21
IBM SERVICES CENTER FRANCE,software,SAINT-ETIENNE,,https://www.ibm.com/fr-fr/careers/career-opportunities,,,51-1000,Maintenance informatique,2026-09-21
IBOU.FR,software,SAINT-ETIENNE,,,,,,Développement logiciel,2026-09-21
IDAO,software,RIVE-DE-GIER,,,https://www.linkedin.com/company/idao-solution/,,1-10,ESN,2026-09-21
INETUM,software,SAINT-CHAMOND,,https://www.inetum.com/fr/fr/careers.html,https://www.linkedin.com/company/inetum/,,1000+,ESN,2026-09-21
INFORMATIQUE.DOM,software,LA GRAND-CROIX,,,,,1-10,ESN,2026-09-21
J&J DEVELOPMENT,software,ROANNE,,,https://www.linkedin.com/company/j-j-development/,,1-10,Développement logiciel,2026-09-21
JL SYSTEMS,telecom,SAINT-ETIENNE,,,https://www.linkedin.com/company/jlsystems/,,11-50,Télécoms,2026-09-21
LINK MOBILITY,telecom,RIORGES,,https://www.linkmobility.com/careers,https://www.linkedin.com/company/linkmobility-group/,,,Télécoms,2026-09-21
META 2E,software,SAINT-ETIENNE,,,https://www.linkedin.com/company/meta-2e/,,11-50,Développement logiciel,2026-09-21
ONLIZ,software,SAINT-ETIENNE,,,https://www.linkedin.com/company/onliz/,,1-10,Hébergement et traitement de données,2026-09-21
ORANGE,telecom,MONTBRISON,,https://orange.jobs/fr/fr/europe/france,https://www.linkedin.com/company/orange/,,1000+,Télécoms,2026-09-21
OZ MEDIA,software,RIORGES,,,https://www.linkedin.com/company/oz-media/,,1-10,Hébergement et traitement de données,2026-09-21
PANDATA,software,PELUSSIN,,,,,1-10,Développement logiciel,2026-09-21
PERFORMANCE,software,CHARLIEU,,,,,1-10,Développement logiciel,2026-09-21
PRIISM,software,ROANNE,,,,,,ESN,2026-09-21
