name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
ACREED CONSULTING,software,SAINT-VIDAL,,,,,11-50,ESN,2026-09-21
ALTI DSI,software,LE PUY-EN-VELAY,,,https://www.linkedin.com/company/sas-alti-dsi/,,1-10,ESN,2026-09-21
ALTICHRONO,software,SAINT-DIDIER-EN-VELAY,,,,,,Développement logiciel,2026-09-21
APPLI-TEC,software,PONT-SALOMON,,,https://www.linkedin.com/company/appli-tec/,,,Éditeur de logiciels,2026-09-21
ASC2SI,software,YSSINGEAUX,,,,,,ESN,2026-09-21
B & C INFORMATIQUE,software,SAINT-GERMAIN-LAPRADE,,,https://www.linkedin.com/company/b-c-informatique/,,1-10,ESN,2026-09-21
B3,software,LAFARRE,,,,,1-10,Développement logiciel,2026-09-21
BAOBAB KIWI,software,BAS-EN-BASSET,,,,,1-10,Infogérance,2026-09-21
BRIOUDE INTERNET,software,COHADE,,,https://www.linkedin.com/company/brioudeinternet/,,,Développement logiciel,2026-09-21
C I M INFORMATIQUE,software,LE PUY-EN-VELAY,,https://www.cim-informatique.com/nous-rejoindre-recrutement-informatique,https://www.linkedin.com/company/cim-informatique/,,11-50,Maintenance informatique,2026-09-21
CCH RACING SYSTEM,software,SAINT-FERREOL-D'AUROURE,,,,,1-10,Développement logiciel,2026-09-21
CH.COM,telecom,SAINT-JUST-MALMONT,,,,,,Télécoms,2026-09-21
CILOG CONCEPTION INFORMATIQUE LOGICIELLE,software,CHAMALIERES-SUR-LOIRE,,,,,1-10,Développement logiciel,2026-09-21
COFIDOC,software,MONISTROL-SUR-LOIRE,,https://cofidoc.fr/rejoignez-nous/,https://www.linkedin.com/company/cofidoc/,,,Hébergement et traitement de données,2026-09-21
DELECTRODEV,software,SAINT-JUST-MALMONT,,,,,,ESN,2026-09-21
DESSIMAL,software,CHADRAC,,,https://www.linkedin.com/company/dessimal/,,1-10,ESN,2026-09-21
EDOUARD DUCRAY SERVICES INFORMATIQUES,software,LES VILLETTES,,,,,1-10,ESN,2026-09-21
EDSC43,software,QUEYRIERES,,,,,1-10,ESN,2026-09-21
FXHASH FOUNDATION,software,LE MONASTIER-SUR-GAZEILLE,,,,,1-10,Développement logiciel,2026-09-21
GOTEL,telecom,LE PUY-EN-VELAY,,,https://www.linkedin.com/company/gotel-r%C3%A9seaux/,,1-10,Télécoms,2026-09-21
HKM DATA,software,QUEYRIERES,,,,,1-10,ESN,2026-09-21
ID OCEAN,software,MONISTROL-SUR-LOIRE,,,,,1-10,Hébergement et traitement de données,2026-09-21
IDEA43,software,LE PUY-EN-VELAY,,,,,,ESN,2026-09-21
IMMEDIAT SERVICES,software,SAINT-JUST-MALMONT,,,,,1-10,Développement logiciel,2026-09-21
INFINITIVITY DESIGN LABS,software,LAUSSONNE,,,https://www.linkedin.com/company/infinitivitydesignlabs/,,1-10,Développement logiciel,2026-09-21
J7 LAB,software,POLIGNAC,,,,,,Développement logiciel,2026-09-21
LEXIWEB,software,LANDOS,,,,,1-10,Développement logiciel,2026-09-21
LOGIPRO.COM,software,LE PUY-EN-VELAY,,,,,1-10,Développement logiciel,2026-09-21
NEO MASKOTT,software,LE PUY-EN-VELAY,,,,,,Éditeur de logiciels,2026-09-21
NEO-LOGIX,software,VALS-PRES-LE-PUY,,,,,11-50,Services informatiques,2026-09-21
NESKAR,software,LE PUY-EN-VELAY,,,,,,Développement logiciel,2026-09-21
OKTOPOD,software,LE PUY-EN-VELAY,,,https://www.linkedin.com/company/oktopod-inc/,,1-10,Développement logiciel,2026-09-21
ORANGE,telecom,BRIOUDE,,https://orange.jobs/fr/fr/europe/france,https://www.linkedin.com/company/orange/,,1000+,Télécoms,2026-09-21
PAPRIK'ART DIGITAL,software,LE PUY-EN-VELAY,,,,,1-10,ESN,2026-09-21
PPF CONSEILS,software,SIAUGUES-SAINTE-MARIE,,,,,1-10,ESN,2026-09-21
PRO'KATEL,telecom,BRIOUDE,,,,,11-50,Télécoms,2026-09-21
PROGEST 43,software,LANTRIAC,,,https://www.linkedin.com/company/progest-43/,,1-10,ESN,2026-09-21
SIDERAL COMMUNICATION,software,VIELPRAT,,,,,1-10,Services informatiques,2026-09-21
SMARTPROG,software,RIOTORD,,,,,1-10,Développement logiciel,2026-09-21
SOLAUV,software,BRIOUDE,,,,,,Développement logiciel,2026-09-21
SOTEMPO,software,SAINTE-SIGOLENE,,,,,1-10,ESN,2026-09-21
SPORTYNEO,software,LE PUY-EN-VELAY,,,https://www.linkedin.com/company/sportyneofr/,,1-10,Éditeur de logiciels,2026-09-21
T D F,telecom,BRIVES-CHARENSAC,,https://www.tdf.fr/nous-rejoindre/,https://www.linkedin.com/company/tdf/,,,Télécoms,2026-09-21
TFC - AUVERGNE,telecom,SAINT-GERMAIN-LAPRADE,,,,,,Télécoms,2026-09-21
TIZY,software,LE PUY-EN-VELAY,,,https://www.linkedin.com/company/tizy-data/,,1-10,ESN,2026-09-21
TREE LEARNING,software,LE PUY-EN-VELAY,,,,,1-10,Développement logiciel,2026-09-21
TRIDENT CORP,software,LE PUY-EN-VELAY,,,,,,Développement logiciel,2026-09-21
VMXTEC,software,SAINT-JUST-MALMONT,,,,,1-10,ESN,2026-09-21
WEB INFOS ACTIONS,software,LE PUY-EN-VELAY,,,,,,Développement logiciel,2026-09-21
ZOOMDICI,software,LE PUY-EN-VELAY,,,https://www.linkedin.com/company/zoomdici/,,1-10,Développement logiciel,2026-09-21
