name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
ABICOM,software,AUBIERE,,https://www.abicom.fr/recrutement/,https://www.linkedin.com/company/abicom/,,51-1000,Hébergement et traitement de données,2026-09-21
ADOBE SYSTEMS FRANCE SAS,software,CLERMONT-FERRAND,,https://careers.adobe.com/us/en,https://www.linkedin.com/company/adobe/,,51-1000,Éditeur de logiciels,2026-09-21
ALMERYS SOFTWARE,software,CLERMONT-FERRAND,,,,,11-50,Développement logiciel,2026-09-21
ATTIC +,software,CLERMONT-FERRAND,,,https://www.linkedin.com/company/atticplus/,,,Éditeur de logiciels,2026-09-21
BE YS CLOUD FRANCE,software,CLERMONT-FERRAND,,,,,11-50,ESN,2026-09-21
BE YS HEALTH SOLUTIONS FRANCE,software,CLERMONT-FERRAND,,,,,,Développement logiciel,2026-09-21
BE YS TRUSTED SOLUTIONS FRANCE,software,CLERMONT-FERRAND,,,,,,Développement logiciel,2026-09-21
BPAP,software,CLERMONT-FERRAND,,,https://www.linkedin.com/company/bpap-sas/,,11-50,ESN,2026-09-21
BRAINCUBE,software,ISSOIRE,,https://careers.braincube.com/,https://www.linkedin.com/company/braincubefr/,,51-1000,Développement logiciel,2026-09-21
CEGEDIM SANTE,software,CLERMONT-FERRAND,,https://careers.cegedim.com/fr,https://www.linkedin.com/company/cegedim-sante/,,51-1000,Développement logiciel,2026-09-21
CEGI ALFA,software,CLERMONT-FERRAND,,,,,51-1000,Éditeur de logiciels,2026-09-21
CELAD,software,CLERMONT-FERRAND,,,https://www.linkedin.com/company/celad/,,51-1000,ESN,2026-09-21
CIRCET,telecom,CLERMONT-FERRAND,,https://www.circet.fr/offres-demploi,https://www.linkedin.com/company/circet/,,1000+,Télécoms,2026-09-21
COFIDOC,software,COURNON-D'AUVERGNE,,https://cofidoc.fr/rejoignez-nous/,https://www.linkedin.com/company/cofidoc/,,,Hébergement et traitement de données,2026-09-21
CONFLUENCE CONSEIL,software,CLERMONT-FERRAND,,https://confluenceconseil.fr/nous-rejoindre,https://www.linkedin.com/company/confluence-conseil/,,11-50,ESN,2026-09-21
