name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
ACCENTURE,software,LYON,,https://www.accenture.com/fr-fr/careers,https://www.linkedin.com/company/accenture/,,1000+,ESN,2026-09-21
ATOS FRANCE,software,VILLEURBANNE,,https://www.atosgroup.com/fr/carrieres,https://www.linkedin.com/company/atos/,,1000+,ESN,2026-09-21
AXIONE,telecom,TOUSSIEU,,https://www.axione.com/rejoignez-nous/postuler/,https://www.linkedin.com/company/axione/,,1000+,Télécoms,2026-09-21
BERGER LEVRAULT,software,LIMONEST,,https://recrute.berger-levrault.com/accueil.aspx,https://www.linkedin.com/company/berger-levrault/,,,Éditeur de logiciels,2026-09-21
BOUYGUES TELECOM,telecom,LYON,,https://joining.bouygues.com/global/fr/bytel-jobs,https://www.linkedin.com/company/bouygues-telecom/,,1000+,Télécoms,2026-09-21
BPCE SOLUTIONS INFORMATIQUES,software,VILLEURBANNE,,,https://www.linkedin.com/company/bpce-solutions-informatiques/,,1000+,ESN,2026-09-21
CAPGEMINI TECHNOLOGY SERVICES,software,LYON,,https://www.capgemini.com/fr-fr/jobs/,https://www.linkedin.com/company/capgemini/,,1000+,ESN,2026-09-21
CATAMANIA,software,LYON,,https://www.catamania.com/recrutement/,https://www.linkedin.com/company/catamania/,,51-1000,ESN,2026-09-21
CEGEDIM,software,LYON,,https://careers.cegedim.com/fr,https://www.linkedin.com/company/cegedim/,,51-1000,Hébergement et traitement de données,2026-09-21
CGI FRANCE,software,LYON,,https://www.cgi.com/france/fr-fr/recrute,https://www.linkedin.com/company/cgi/,,1000+,ESN,2026-09-21
CHEOPS TECHNOLOGY FRANCE,software,BRIGNAIS,,https://www.cheops-technology.com/carriere,https://www.linkedin.com/company/cheops-technology_2/,,51-1000,ESN,2026-09-21
CIRCET,telecom,CHASSIEU,,https://www.circet.fr/offres-demploi,https://www.linkedin.com/company/circet/,,1000+,Télécoms,2026-09-21
CIRIL GROUP,software,VILLEURBANNE,,https://cirilgroup.com/recrutement/,https://www.linkedin.com/company/ciril-group/,,51-1000,ESN,2026-09-21
CLUB EMPLOYES,software,SAINTE-FOY-LES-LYON,,,https://www.linkedin.com/company/clubemployes/,,51-1000,Développement logiciel,2026-09-21
DASSAULT SYSTEMES,software,LIMONEST,,https://www.3ds.com/fr/careers/jobs,https://www.linkedin.com/company/dassaultsystemes/,,1000+,Éditeur de logiciels,2026-09-21
DEDALUS HEALTHCARE FRANCE,software,VILLEURBANNE,,https://www.dedalus.com/fr/fr/carrieres-et-emplois/,https://www.linkedin.com/company/dedalus-group/,,51-1000,Maintenance informatique,2026-09-21
DOCAPOSTE BPO,software,LYON,,,,,,Hébergement et traitement de données,2026-09-21
ECONOCOM SERVICES & SOLUTIONS,software,VILLEURBANNE,,https://carrieres.econocom.com/,https://www.linkedin.com/company/econocom/,,1000+,Infogérance,2026-09-21
EQUASENS,software,LIMAS,,,https://www.linkedin.com/company/equasens/,,51-1000,Maintenance informatique,2026-09-21
EURO INFORMATION DEVELOPPEMENTS,software,TASSIN-LA-DEMI-LUNE,,,,,1000+,Maintenance informatique,2026-09-21
EURO.TVS - TRAITEMENT VALEURS SERVICES,software,TASSIN-LA-DEMI-LUNE,,,https://www.linkedin.com/company/euro-tvs---traitement-valeurs-services/,,51-1000,Hébergement et traitement de données,2026-09-21
EVERWIN,software,VILLEURBANNE,,,https://www.linkedin.com/company/everwin/,,51-1000,Éditeur de logiciels,2026-09-21
EVIDEN FRANCE,software,VILLEURBANNE,,https://eviden.com/careers/,https://www.linkedin.com/company/eviden/,,1000+,ESN,2026-09-21
FIDUCIAL INFORMATIQUE,software,LYON,,https://jobs.fiducial.fr/nos-metiers/informatique-web,https://www.linkedin.com/company/fiducial/,,51-1000,Développement logiciel,2026-09-21
FREE PRO,telecom,LYON,,https://www.freepro.com/carrieres/,https://www.linkedin.com/company/freepro/,,51-1000,Télécoms,2026-09-21
HARDIS GROUPE,software,LYON,,https://www.hardis-group.com/en/job-offers/,https://www.linkedin.com/company/hardisgroup/,,,Développement logiciel,2026-09-21
