name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
1SPATIAL FRANCE SAS,software,LE BOURGET-DU-LAC,,,,,,Éditeur de logiciels,2026-09-21
ADISON,software,MERY,,,,,1-10,Développement logiciel,2026-09-21
ALTINAE,software,AIGUEBELETTE-LE-LAC,,,https://www.linkedin.com/company/altinae/,,1-10,Éditeur de logiciels,2026-09-21
APLIM,software,SAINT-JEOIRE-PRIEURE,,https://jobs.world.luccasoftware.com/aplim,https://www.linkedin.com/company/aplim/,,51-1000,Éditeur de logiciels,2026-09-21
ASENDIT,software,CHAMBERY,,,,,1-10,Développement logiciel,2026-09-21
BDO SOFTWARE AND SERVICES,software,LA MOTTE-SERVOLEX,,,,,11-50,ESN,2026-09-21
CAMPTOCAMP FRANCE SAS,software,LE BOURGET-DU-LAC,,https://camptocamp.com/fr/carriere,https://www.linkedin.com/company/camptocamp-sa/,,,Développement logiciel,2026-09-21
CAPTIVEA,software,LE BOURGET-DU-LAC,,https://www.captivea.com/jobs,https://www.linkedin.com/company/captivea/,Odoo,,ESN,2026-09-21
CIFEA LAB,software,ENTRELACS,,,https://www.linkedin.com/company/cifea-lab/,,,Hébergement et traitement de données,2026-09-21
DANIM,software,BARBY,,,,,,Développement logiciel,2026-09-21
E-LIBERTY SERVICES SAS,software,LA MOTTE-SERVOLEX,,https://www.eliberty.fr/jobs/,https://www.linkedin.com/company/e-liberty-services/,PHP|Symfony,11-50,Développement logiciel,2026-09-21
EIG,software,VOGLANS,,,https://www.linkedin.com/company/eigsas/,,51-1000,Éditeur de logiciels,2026-09-21
EQUIANCE,software,SAINT-ALBAN-LEYSSE,,,,,1-10,ESN,2026-09-21
EVERIAL SOFTWARE,software,LE BOURGET-DU-LAC,,,,,,Éditeur de logiciels,2026-09-21
FEBRUARY,software,LE BOURGET-DU-LAC,,,,,11-50,ESN,2026-09-21
FIDUCIAL INFORMATIQUE,software,LA MOTTE-SERVOLEX,,https://jobs.fiducial.fr/nos-metiers/informatique-web,https://www.linkedin.com/company/fiducial/,,51-1000,Développement logiciel,2026-09-21
GEODIS IT INFRASTRUCTURES SAS,software,LE BOURGET-DU-LAC,,,,,51-1000,Infogérance,2026-09-21
IELO-LIAZO DEPLOIEMENT FIBRE,telecom,GILLY-SUR-ISERE,,,,,51-1000,Télécoms,2026-09-21
IP COMM,software,LA RAVOIRE,,,https://www.linkedin.com/company/ipcomm/,,1-10,Hébergement et traitement de données,2026-09-21
JOIN VENTURE,software,LE BOURGET-DU-LAC,,,,,1-10,Développement logiciel,2026-09-21
KOESIO NETWORKS,telecom,BARBERAZ,,https://team.koesio.com/,https://www.linkedin.com/company/koesionetworks/,,11-50,Télécoms,2026-09-21
LUMIPLAN MONTAGNE,software,LA BATHIE,,,,,,Maintenance informatique,2026-09-21
LUNABEE STUDIO,software,CHAMBERY,,https://www.welcometothejungle.com/fr/companies/lunabee-studio/jobs,https://www.linkedin.com/company/lunabeestudio/,Swift|SwiftUI|Kotlin|Jetpack Compose,,Applications mobiles natives,2026-09-21
M3SOFT,software,LA MOTTE-SERVOLEX,,,,,1-10,Développement logiciel,2026-09-21
M4D,software,LE BOURGET-DU-LAC,,,,,1-10,Développement logiciel,2026-09-21
MAJERTI,software,CHAMBERY,,,,,1-10,Développement logiciel,2026-09-21
NEXTIES,software,LE BOURGET-DU-LAC,,,,,1-10,Hébergement et traitement de données,2026-09-21
NOVACAD,software,AIX-LES-BAINS,,,https://www.linkedin.com/company/novacad/,,1-10,ESN,2026-09-21
NUMERISAT,telecom,LE BOURGET-DU-LAC,,,https://www.linkedin.com/company/numerisat/,,1-10,Télécoms,2026-09-21
OPTIMISTIK,software,CHAMBERY,,https://careers.optimistik.com/jobs,https://www.linkedin.com/company/optimistik/,,,Développement logiciel,2026-09-21
ORANGE,telecom,CHAMBERY,,https://orange.jobs/fr/fr/europe/france,https://www.linkedin.com/company/orange/,,1000+,Télécoms,2026-09-21
ORIGINAL NETWORK OF ASSOCIATED TECHNOLOGIES FOR INFORMATION AND COMMUNICATION ACCESS PAR ABREVIATION ONATICA,software,PUGNY-CHATENOD,,,,,1-10,ESN,2026-09-21
ORMA INFORMATIQUE,software,BELMONT-TRAMONET,,,,,11-50,ESN,2026-09-21
QUALITE SERVICE PORTABILITE SYSTEMS,software,PLANAY,,,,,11-50,Maintenance informatique,2026-09-21
SEPTEO HOSPITALITY SOLUTIONS,software,CHALLES-LES-EAUX,,https://www.septeo.com/fr/groupe/nous-rejoindre,https://www.linkedin.com/company/septeo/,,51-1000,Éditeur de logiciels,2026-09-21
SINARI WMS,software,MONTMELIAN,,https://careers.sinari.com/jobs,https://www.linkedin.com/company/sinari/,,1-10,Éditeur de logiciels,2026-09-21
SKIDATA FRANCE SA,software,PORTE-DE-SAVOIE,,https://www.skidata.com/jobs/career,https://www.linkedin.com/company/33626/,,,ESN,2026-09-21
SPIRIIT,software,CHAMBERY,,https://www.spiriit.com/jobs/,https://www.linkedin.com/company/spiriit/,Symfony|Drupal|Magento,,Développement logiciel,2026-09-21
SPORTIW,software,CHAMBERY,,,https://www.linkedin.com/company/sportiw/,,1-10,Développement logiciel,2026-09-21
STH,software,MOUTIERS,,,https://www.linkedin.com/company/sth/,,1-10,ESN,2026-09-21
SULLY GROUP,software,LE BOURGET-DU-LAC,,https://www.sully-group.com/en/careers,https://www.linkedin.com/company/sully-group/,,51-1000,ESN,2026-09-21
SWOAX FRANCE,software,LA MOTTE-SERVOLEX,,,,,1-10,Hébergement et traitement de données,2026-09-21
SYSOCO,telecom,SAINTE-HELENE-DU-LAC,,,https://www.linkedin.com/company/sysoco/,,51-1000,Télécoms,2026-09-21
TAGG INFORMATIQUE,software,ENTRELACS,,,https://www.linkedin.com/company/tagg-informatique/,,,Hébergement et traitement de données,2026-09-21
TECH RESEARCH,software,ENTRELACS,,,,,,Éditeur de logiciels,2026-09-21
TRESSOLMI,software,BARBERAZ,,,,,1-10,Développement logiciel,2026-09-21
VAKARIO,software,CHALLES-LES-EAUX,,,,,1-10,Développement logiciel,2026-09-21
VISIATIV SOFTWARE,software,LE BOURGET-DU-LAC,,https://jobs.visiativ.com/jobs,,,51-1000,Éditeur de logiciels,2026-09-21
VISIATIV SOLUTIONS ENTREPRISE,software,LE BOURGET-DU-LAC,,https://jobs.visiativ.com/jobs,,,51-1000,ESN,2026-09-21
WEBCARLE,software,CHAMBERY,,,,,1-10,Développement logiciel,2026-09-21
