name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
AGENCE FRANCAISE D'INFORMATIQUE,software,EPAGNY METZ-TESSY,,,,,,Maintenance informatique,2026-09-21
ALPHA-3I,software,ALBY-SUR-CHERAN,,https://www.alpha3i.com/recrutement-editeur-logiciel-industrie/,https://www.linkedin.com/company/alpha-3i/,,,ESN,2026-09-21
ALTITUDE INFRASTRUCTURE THD,telecom,ANNECY,,,,,51-1000,Télécoms,2026-09-21
ALTRAN TECHNOLOGIES,software,CHAVANOD,,,,,1000+,ESN,2026-09-21
AXIONE,telecom,ANNECY,,https://www.axione.com/rejoignez-nous/postuler/,https://www.linkedin.com/company/axione/,,1000+,Télécoms,2026-09-21
BLUEFINCH-ESBD FRANCE,software,ANNECY,,,https://www.linkedin.com/company/esbd/,,,ESN,2026-09-21
BOUYGUES TELECOM,telecom,ANNECY,,https://joining.bouygues.com/global/fr/bytel-jobs,https://www.linkedin.com/company/bouygues-telecom/,,1000+,Télécoms,2026-09-21
CALLIOPE BUSINESS SOLUTIONS,software,CHAVANOD,,,,,51-1000,ESN,2026-09-21
CANOPY,software,LE GRAND-BORNAND,,,,,1-10,Hébergement et traitement de données,2026-09-21
CEGI-SANTE,software,ANNECY,,,,,,Maintenance informatique,2026-09-21
CEO-VISION,software,ARCHAMPS,,,,,,Éditeur de logiciels,2026-09-21
CLIC ON LINE,software,SAINT-JEAN-D'AULPS,,,https://www.linkedin.com/company/clic-on-line./,,1-10,ESN,2026-09-21
COMPILATIO,software,CHAVANOD,,,https://www.linkedin.com/company/compilatio/,,11-50,ESN,2026-09-21
COMPTOIR DES SIGNAUX,telecom,GROISY,,,https://www.linkedin.com/company/comptoir-des-signaux/,,1-10,Télécoms,2026-09-21
CORUS,software,ANNECY,,,https://www.linkedin.com/company/corus-editique/,,,Hébergement et traitement de données,2026-09-21
COVAGE INFRA,telecom,ANNECY,,https://www.covage.com/travailler-chez-covage/,https://www.linkedin.com/company/covage/,,51-1000,Télécoms,2026-09-21
CREDIT AGRICOLE TECHNOLOGIES ET SERVICES,software,ANNECY,,https://carrieres.creditagricoletechnologiesservices.com/jobs,https://www.linkedin.com/company/credit-agricole-technologies-et-services/,,,Hébergement et traitement de données,2026-09-21
CREDIT AGRICOLE-GROUP INFRASTRUCTURE PLATFORM,software,ANNECY,,https://groupecreditagricole.jobs/fr/nos-marques/credit-agricole-group-infrastructure-platform/nos-metiers/,https://www.linkedin.com/company/credit-agricole-group-infrastructure-platform/,,,Services informatiques,2026-09-21
D.A.R.Y.L.,software,ANNECY,,,,,11-50,Éditeur de logiciels,2026-09-21
DATAVENIR,software,FILLINGES,,,https://www.linkedin.com/company/datavenir/,,,ESN,2026-09-21
DIGIGROUP MEDIA,software,JUVIGNY,,,,,,Éditeur de logiciels,2026-09-21
E.P.S. (EXPERTISE POTEAUX SECURITE),telecom,CHAVANOD,,,,,11-50,Télécoms,2026-09-21
EURO CIBLE CONCEPT,software,VILLE-LA-GRAND,,,,,1-10,Hébergement et traitement de données,2026-09-21
EYE2SCAN SOLUTIONS,software,EPAGNY METZ-TESSY,,,https://www.linkedin.com/company/eye2scan-solutions/,,1-10,Développement logiciel,2026-09-21
FIDUCIAL INFORMATIQUE,software,ANNECY,,https://jobs.fiducial.fr/nos-metiers/informatique-web,https://www.linkedin.com/company/fiducial/,,51-1000,ESN,2026-09-21
FREE PRO,software,ANNECY,,https://www.freepro.com/carrieres/,https://www.linkedin.com/company/freepro/,,51-1000,ESN,2026-09-21
FROGGYPIX,software,ANNECY,,,https://www.linkedin.com/company/froggypix/,,1-10,Développement logiciel,2026-09-21
GROUPE ALTHAYS,software,ANNECY,,https://groupe-althays.com/rejoignez-nous/,https://www.linkedin.com/company/groupe-althays/,,,ESN,2026-09-21
IN EXTENSO SOCIAL DAUPHINE SAVOIE,software,MARNAZ,,,,,1-10,Hébergement et traitement de données,2026-09-21
JALIX,software,VILLE-LA-GRAND,,,https://www.linkedin.com/company/jalix/,,,ESN,2026-09-21
LA CHARRETTE,software,LA ROCHE-SUR-FORON,,,,,1-10,Hébergement et traitement de données,2026-09-21
LE SPHINX DEVELOPPEMENT,software,CHAVANOD,,https://www.lesphinx-developpement.fr/les-carrieres/,https://www.linkedin.com/company/le-sphinx-d-veloppement/,,,Éditeur de logiciels,2026-09-21
LEXAGRI,software,ARCHAMPS,,,https://www.linkedin.com/company/lexagri-international/,,,Infogérance,2026-09-21
LOCAL.FR,software,ETAUX,,https://recrutement.local.fr/,https://www.linkedin.com/company/local.fr/,,51-1000,Développement logiciel,2026-09-21
MINALEA,software,ANNECY,,,https://www.linkedin.com/company/minalea/,,,Hébergement et traitement de données,2026-09-21
OPEN BEE FRANCE,software,EPAGNY METZ-TESSY,,,,,,ESN,2026-09-21
OPTIMUS,software,ANNECY,,,,,,Hébergement et traitement de données,2026-09-21
ORANGE,telecom,ANNECY,,https://orange.jobs/fr/fr/europe/france,https://www.linkedin.com/company/orange/,,1000+,Télécoms,2026-09-21
PEXYS,software,THYEZ,,https://www.pexys.com/recrutement/,https://www.linkedin.com/company/pexys/,,1-10,ESN,2026-09-21
PRISMO,software,ANNECY,,,https://www.linkedin.com/company/prismo.io/,,,Développement logiciel,2026-09-21
QUADRA,software,CHAVANOD,,,,,,Éditeur de logiciels,2026-09-21
SAGE,software,CHAVANOD,,https://www.sage.com/fr-fr/societe/carrieres/,,,,Éditeur de logiciels,2026-09-21
SBS SOFTWARE,software,ANNECY,,https://sbs-software.com/fr/rejoignez-nous/,,,,Éditeur de logiciels,2026-09-21
SOLUNE,software,FILLINGES,,https://solune.com/qui-sommes-nous/recrutement/,https://www.linkedin.com/company/solune-informatique/,,11-50,Éditeur de logiciels,2026-09-21
SOPRA HR SOFTWARE,software,ANNECY,,https://www.soprahr.com/nous-connaitre/carrieres,https://www.linkedin.com/company/soprahr/,,51-1000,Éditeur de logiciels,2026-09-21
SOPRA STERIA GROUP,software,ANNECY,,https://careers.soprasteria.fr/,https://www.linkedin.com/company/soprasteria/,Java,1000+,ESN,2026-09-21
SULLY GROUP,software,ANNECY,,https://www.sully-group.com/en/careers,https://www.linkedin.com/company/sully-group/,,51-1000,Développement logiciel,2026-09-21
SYNERGIE 73 INFORMATIQUE,software,CHAVANOD,,,,,,Éditeur de logiciels,2026-09-21
SYSOCO,telecom,ANNECY,,,https://www.linkedin.com/company/sysoco/,,51-1000,Télécoms,2026-09-21
VISIATIV CPQ,software,CHAVANOD,,https://jobs.visiativ.com/jobs,,,11-50,ESN,2026-09-21
