name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
3S Sécurité,cybersecurity,Chenôve,https://www.3s-securite.eu/,,https://www.linkedin.com/company/3s-s%C3%A9curit%C3%A9/,,,Audit et sécurisation des systèmes informatiques,2026-09-21
Acove,cybersecurity,Bellefond,https://acove.fr/,,,,,Conseil et audit en cybersécurité,2026-09-21
Akyos,software|ecommerce,Dijon,https://akyos.com/,,https://www.linkedin.com/company/akyos-communication/,WordPress|PrestaShop,,Agence de développement web,2026-09-21
Altagile,software|saas,Dijon,https://www.altagile.fr/,https://altagile.softy.pro/,https://www.linkedin.com/company/altagile/,,,Éditeur de logiciels RH et de recrutement,2026-09-21
Alteca,software,Dijon,https://www.alteca.fr/agences/dijon/,https://www.alteca.fr/offres/,https://www.linkedin.com/company/alteca/,,,ESN,2026-09-21
AMG Informatique,software|cybersecurity,Dijon,https://www.amg-informatique.fr:443/w2/,https://www.amg-informatique.fr/w2/amg-informatique/nous-rejoindre.html,https://www.linkedin.com/company/amg-informatique/,,,Intégration et services informatiques,2026-09-21
ASC-21,cybersecurity,Dijon,https://www.asc-21.fr/,,,,,Services informatiques et cybersécurité,2026-09-21
Atol Conseils & Développements,software,Gevrey-Chambertin,https://www.atolcd.com/,https://www.atolcd.com/opportunite/geomaticienne-developpeureuse-h-f,https://www.linkedin.com/company/atol-conseils-et-d-veloppements/,Java|JavaScript|PostgreSQL|PostGIS,,ESN ; applications métier et logiciels libres,2026-09-21
BeeWii,ai|software,Mirebeau-sur-Bèze,https://beewii.fr/,,https://linkedin.com/company/beewii/,,,Plateforme d’intelligence artificielle souveraine,2026-09-21
Blue Company,software,Dijon,https://bluecompany.fr/,,https://www.linkedin.com/company/bluecompany/,JavaScript|PHP,,Développement de logiciels sur mesure,2026-09-21
BPCE SI,banking|software,Dijon,https://www.bpce-si.fr/,https://www.bpce-si.fr/nous-rejoindre/,https://www.linkedin.com/company/bpce-solutions-informatiques/,,,Systèmes d’information du groupe BPCE,2026-09-21
BWA,software|ecommerce,Dijon,https://www.business-web-agence.com/,https://www.business-web-agence.com/recrutement/,https://www.linkedin.com/company/business-web-agence/,,,Agence de développement web,2026-09-21
