name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
AccessProd,software,Besançon,https://www.accessprod.com/,,https://www.linkedin.com/company/accessprod/,,,Audit et conseil en accessibilité numérique,2026-09-21
ADTC - DSIActive,software,Grandfontaine,https://www.adtc.fr,,,,,Direction des systèmes d’information externalisée,2026-09-21
Aprogsys,software,Besançon,https://www.aprogsys.com/,,https://www.linkedin.com/company/aprogsys/,JavaScript|React|Angular|Vue.js|PHP|Laravel|Symfony|Node.js|Java|Python|.NET|PostgreSQL|MySQL|MongoDB|Flutter,,ESN ; développement d’applications sur mesure,2026-09-21
Atol Conseils & Développements,software,Besançon,https://www.atolcd.com/,,https://www.linkedin.com/company/atol-conseils-et-d-veloppements/,,,ESN ; applications métier et logiciels libres,2026-09-21
AVANTAGE DIGITAL,software|ecommerce,Besançon,https://www.avantagedigital.fr/,,https://www.linkedin.com/company/10816982/,,,Coopérative de services numériques,2026-09-21
C4RBON GROUP,software,Montbéliard,https://c4rbon.group/,,,n8n|Make|Zapier|Power BI|Metabase,,Développement logiciel et automatisation,2026-09-21
CIBEST IT,software|transport,Besançon,https://www.cibest.com/cibest-it/,https://www.cibest.com/recrutement/,https://www.linkedin.com/company/cibest-group/,PHP|Symfony|PrestaShop|Magento|WooCommerce,,ESN ; développement web et applications embarquées,2026-09-21
Dicte.ai,ai|software,Besançon,https://www.dicte.ai/,,,,,Livdeo ; solutions de transcription et d’analyse de réunions,2026-09-21
digital symbiosys,software,Miserey-Salines,https://www.digitalsymbiosys.com,,,,,Développement d’applications métier,2026-09-21
FiveHost,telecom|software,Fertans,https://five-host.fr/,,,,,Hébergement et services informatiques,2026-09-21
Flexio,software|saas,Besançon,https://www.flexio.fr/,https://www.flexio.fr/team/jobs,https://www.linkedin.com/company/flexio.fr/,,,Plateforme de création d’applications métier sans code,2026-09-21
Galliot.com,software,Besançon,https://www.galliot.com/,,,,,Développement informatique sur mesure,2026-09-21
IAD,software,Besançon,https://iad-territoire-digital.com/,,,Symfony|Drupal|SPIP,,Systèmes d’information géographique,2026-09-21
iDinfo,software|telecom,Valdahon,https://www.idinfo-25.fr/,,,,,Infrastructures et services informatiques,2026-09-21
ikuzo,software|ecommerce,Besançon,https://ikuzo.fr/,,,,,Agence de développement web,2026-09-21
IntiReality Solutions,software,Besançon,https://intireality.com/en,,https://www.linkedin.com/company/intireality-solutions/,,,Logiciels de vision et d’inspection industrielle,2026-09-21
Koredge,software|ecommerce,Besançon,https://www.koredge.fr/,,https://fr.linkedin.com/company/koredge/,WordPress|Symfony,,Agence de développement web,2026-09-21
Norvotech,software,Flagey,https://norvotech.com/,,,,,Logiciels de chronométrage et traitement temps réel,2026-09-21
NOVA6TEME,cybersecurity,Médière,https://www.nova6teme.com/,,https://www.linkedin.com/company/nova6t%C3%A8me/,,,Infogérance et protection des postes de travail,2026-09-21
Occursus,ai|software,Besançon,https://www.bedici.com/,,https://www.linkedin.com/company/bedici/,,,Éditeur de solutions éducatives,2026-09-21
Publipresse,software|ecommerce,Morteau,https://www.publipresse.fr/,,https://www.linkedin.com/company/publipresse/,Laravel|October CMS|Tailwind CSS,,Agence web et communication,2026-09-21
Quarks,software|saas,Besançon,https://www.quarks-safety.com/,,,,,Éditeur de logiciels de gestion des risques,2026-09-21
Shopcaisse,software|saas,Besançon,https://shopcaisse.com/,https://shopcaisse.com/nous-rejoindre,https://www.linkedin.com/company/shopcaisse/,,,Logiciel de caisse pour commerces et restaurants,2026-09-21
SILEXO,cybersecurity,Besançon,https://silexo.fr/,,https://www.linkedin.com/company/70435598/,,,Audit de sécurité et protection des données,2026-09-21
Smartesting Solutions & Services,software,Besançon,https://www.smartesting.com/,,https://fr.linkedin.com/company/smartestingfrance/,TypeScript|JavaScript,,Éditeur de solutions de test logiciel,2026-09-21
SOTEIRA,cybersecurity,Besançon,https://www.soteira.pro/,,https://linkedin.com/company/soteira/,,,Services et infrastructures informatiques,2026-09-21
Treize Pourcent,software|saas,Trépot,https://treizepourcent.fr/,,https://www.linkedin.com/company/treize-pourcent/,,,Logiciel RSE pour experts-comptables,2026-09-21
Unsolite,software,Besançon,https://www.unsolite.com/,,,PHP|JavaScript|Symfony|Laravel|Angular|WordPress|MySQL|MariaDB|Oracle|SQL Server,,Développement d’applications et édition de logiciels,2026-09-21
UX Iceberg,software,Franois,https://www.ux-iceberg.com/,,,,,Conception et évaluation d’interfaces numériques,2026-09-21
Visiperf,software|saas,Audincourt,https://visiperf.io/,https://www.linkedin.com/company/visiperf/jobs/,https://www.linkedin.com/company/visiperf/,,,Plateforme de marketing pour réseaux de points de vente,2026-09-21
WEB&DESIGN,software|ecommerce,Montbéliard,https://www.webetdesign.com/,,,PHP|Symfony|Twig,,Agence de développement web,2026-09-21
Wudo,software|saas,Dung,https://wudo.io/,,,,,Plateforme de coopération entre organisations,2026-09-21
