name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
5Discovery,software,Nevers,https://www.5discovery.com/,,,,,Plateforme de formation en réalité virtuelle,2026-09-21
Actions Digitales,software,Lurcy-le-Bourg,https://actions-digitales.com/,,,,,Solutions techniques pour la communication numérique,2026-09-21
Algorun,software,Prémery,https://www.algorun.com/,,https://fr.linkedin.com/company/algorun/,,,Développement métier et infogérance,2026-09-21
Cartème,software,Nevers,https://cartocime.com/,,,,,Éditeur de CartoCime ; gestion de cimetières,2026-09-21
Community Tech,software,Nevers,https://communitytech.fr/,,,,,Développement web et mobile,2026-09-21
CoreFactor,software|healthtech,Prémery,https://corefactor.fr/,,https://www.linkedin.com/company/corefactor-fr/,,,Éditeur de logiciels pour cliniques vétérinaires,2026-09-21
DAVI,ai|software,Varennes-Vauzelles,https://davi.ai/,https://davi.ai/carriere/,https://www.linkedin.com/company/10388151/,,,Éditeur d’agents conversationnels et humains numériques,2026-09-21
DevCSI,software|industrial,Cosne-Cours-sur-Loire,https://devcsi.fr/,,https://fr.linkedin.com/company/devcsi/,Java|Java EE,,Développement d’applications métier industrielles,2026-09-21
Dynaverse,software,Guérigny,https://dynaverse.app/,,https://www.linkedin.com/company/dynaverse-app/,,,Plateforme de création d’expériences web 3D,2026-09-21
ELANDRY,software,Nevers,https://elandry.fr/,,https://linkedin.com/company/elandryweb/,,,Développement web indépendant,2026-09-21
Géolokit,software|saas,Nevers,https://geolokit.ai/,,,,,DynaTech ; logiciel de planification et de gestion métier,2026-09-21
itiConseil,software|ecommerce,Nevers,https://www.iti-conseil.com/,https://www.iti-conseil.com/lagence/recrutement/,https://www.linkedin.com/company/agence-iticonseil/,,,Agence web et communication,2026-09-21
Kobliq,software|saas,Nevers,https://kobliq.fr/,,,,,Développement web et outils métier,2026-09-21
MAAG,software,Nevers,https://maag.fr/,,,,,Développement logiciel et services informatiques,2026-09-21
Mouvtechnologie,software,Nevers,https://mouvtechnologie.fr/,,,WordPress,,Développement web et automatisation,2026-09-21
N-CyberExpertise,cybersecurity,Dornes,https://n-ce.fr/,,,,,RSSI externalisé et conseil en cybersécurité,2026-09-21
NRC InovaGès,software,Nevers,https://www.nrc-inovages.fr/agence/nevers/,,,,,Intégration de logiciels de gestion et infogérance,2026-09-21
Nuage digital,software,Lormes,https://www.nuagedigital.fr/,,,WordPress|Divi,,Agence de création de sites internet,2026-09-21
Proxy Télécom,telecom|cybersecurity,Nevers,https://www.proxy-telecom.com/,,,,,Télécommunications et services informatiques,2026-09-21
Quantique Web,software|ecommerce,Cosne-Cours-sur-Loire,https://www.quantique-web.fr/,,,,,Agence de développement web,2026-09-21
Radiotel Entreprises,telecom|cybersecurity,Nevers,https://www.radiotel.fr/,https://www.radiotel.fr/recrutement/,https://www.linkedin.com/company/7009753/,,,Télécommunications et infrastructures réseau,2026-09-21
Reqst,software|ecommerce,Nevers,https://reqst.fr/,https://reqst.fr/contact/,https://www.linkedin.com/company/reqst/,PHP|Symfony|Magento|WordPress|Node.js|JavaScript|React|Next.js|Docker|Linux,,Agence de développement web,2026-09-21
SDI 81,software,Nevers,https://www.sdi81.fr/,,,,,Déploiement et intégration de solutions informatiques,2026-09-21
SofTech58,software|healthtech,Cosne-Cours-sur-Loire,https://softech58.fr/,,https://fr.linkedin.com/company/softech58-sas/,C|C++|Java|Python|C#|.NET|Angular|TypeScript|Node.js|PHP|SQL Server|MySQL|MongoDB|Flutter,,Développement logiciel et services informatiques,2026-09-21
Spotnevents,software,Challuy,https://spotnevents.com/languages_appli.php,,,,,Application de découverte d’événements et de lieux,2026-09-21
Trade & Art,software|ecommerce,Nevers,https://www.tradenart.com/,,https://www.linkedin.com/company/trade-art-fr/,,,Agence de développement web,2026-09-21
VFLIT,software|cybersecurity,Nevers,https://vousfaciliter-it.fr/trouvez-votre-agence/management-des-systemes-d-information-nevers,https://vousfaciliter-it.fr/offres-emploi/,https://www.linkedin.com/company/11068758/,,,Infogérance et infrastructures informatiques,2026-09-21
WebCréation Nièvre,software|ecommerce,Cosne-Cours-sur-Loire,https://www.web-creation-nievre.fr/,,,,,Agence de développement web,2026-09-21
