name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
1km à pied,software|saas,Mâcon,https://www.1kmapied.com/,,https://www.linkedin.com/company/1kmapied/,,,Logiciel de mobilité et d’analyse des trajets domicile-travail,2026-09-21
ADEO Factory,software,Saint-Martin-Belle-Roche,https://www.adeo-factory.com/,,https://www.linkedin.com/company/adeo-factory/,,,Éditeur d’OptiCollect ; gestion de la collecte des déchets,2026-09-21
Adista,telecom|cybersecurity,Chalon-sur-Saône,https://www.adista.fr/,https://carrieres.adista.fr/fr,,,,Opérateur et fournisseur de services informatiques hébergés,2026-09-21
AGARIC-IG,software,Mâcon,https://www.agaricig.com/,,,,,Ingénierie géographique et hébergement d’applications,2026-09-21
AGSI,software,Louhans-Châteaurenaud,https://www.informatique-gestion-71.com/,,,,,Développement et intégration de logiciels de gestion,2026-09-21
ALGOLYS,software,Fragnes-La Loyère,https://algolys.com/,,,PHP|Linux|WordPress|Android,,Développement d’applications métier,2026-09-21
AMG Informatique,software|cybersecurity,Le Creusot,https://www.amg-informatique.fr:443/w2/,https://www.amg-informatique.fr/w2/amg-informatique/nous-rejoindre.html,https://www.linkedin.com/company/amg-informatique/,,,Intégration et services informatiques,2026-09-21
Aupairtrip,software,Chalon-sur-Saône,https://www.aupairtrip.com/our-app,,,,,Application de mise en relation de jeunes au pair,2026-09-21
Bamboche,software,Mâcon,https://pro.bamboche.io/,,,,,Application de découverte d’activités et d’événements,2026-09-21
C2iP,telecom|cybersecurity,Saint-Désert,https://www.c2ip.com/,https://www.c2ip.com/recrutement,,,,Infogérance et hébergement informatique,2026-09-21
Centrale Digitale,ecommerce|software,Mâcon,https://centrale-digitale.com/,,https://www.linkedin.com/company/centrale-digital/,,,Intégration et exploitation de plateformes e-commerce,2026-09-21
Cleo IA,ai|software,Solutré-Pouilly,https://roonaworks.com/,,,,,Plateforme d’intelligence artificielle pour les entreprises,2026-09-21
Emiotech,software|industrial,Varennes-lès-Mâcon,https://www.emiotech.fr/,,,,,Éditeur d’XpertVisio ; assistance industrielle à distance,2026-09-21
Filamexit,cybersecurity|ai,Chalon-sur-Saône,https://www.filamexit.fr/,,,,,Expertise informatique et ingénierie en cybersécurité,2026-09-21
H4CKRZ,cybersecurity,Saint-Eusèbe,https://www.h4ckrz.com/,,,,,Audit de sécurité et tests d’intrusion,2026-09-21
IALPHA,software|ai,Vinzelles,https://ialpha.fr/,,,,,Développement web et automatisation,2026-09-21
IDCOM,software|ecommerce,Charnay-lès-Mâcon,https://www.idcom-lagence.fr/,,https://fr.linkedin.com/company/idcomcrea---agence-de-communication/,,,Agence de développement web,2026-09-21
insitu.app,software,Chauffailles,https://www.insitu.app/,,https://www.linkedin.com/company/83105572/,,,Applications mobiles et données territoriales,2026-09-21
Joomla Bourgogne,software|ecommerce,Saint-Martin-sous-Montaigu,https://www.joomla-bourgogne.com/,,,Joomla,,Création de sites web et boutiques en ligne,2026-09-21
KOÏNOBORI,software,Tournus,https://www.koinobori.fr/,,,,,Développement de solutions numériques sur mesure,2026-09-21
Mirage Informatique,software|ecommerce,Mâcon,https://www.mirageinformatique.fr/,,https://www.linkedin.com/company/mirage-informatique/,,,Développement de sites et d’applications web,2026-09-21
Mister Harry,software|ecommerce,Chalon-sur-Saône,https://www.misterharry.fr/,,https://www.linkedin.com/company/mister-harry/,,,Agence de développement web,2026-09-21
Nauticoncept,software|saas,Mâcon,https://www.libertypass.club/,,https://www.linkedin.com/company/libertypass/,,,Logiciels de gestion de flottes nautiques,2026-09-21
NETMIZE,software|ecommerce,Moroges,https://www.netmize.com/,,https://www.linkedin.com/company/netmize/,PHP|WordPress,,Agence de développement web,2026-09-21
OpenSolus,software,Fragnes-La Loyère,https://www.opensolus.fr/,,,,,Intégration de solutions open source et cybersécurité,2026-09-21
Oxinnov,software|ecommerce,Mâcon,https://www.oxinnov.fr/,https://www.oxinnov.fr/recrutement,,PHP|JavaScript|MySQL|Laravel|Symfony,,Agence de développement web,2026-09-21
Pulsar DS,software,Sennecey-le-Grand,https://pulsar-ds.com/FR/,,,,,Éditeur de Demogest ; logiciels métier,2026-09-21
Quai des Notaires,software|saas,Autun,https://www.quaidesnotaires.com/,https://www.quaidesnotaires.com/recrutement-quai-des-notaires/,https://www.linkedin.com/company/quai-des-notaires/,,,Éditeur de Quai des Notaires et de solutions immobilières,2026-09-21
Recharge+,software|energy,Mâcon,https://www.rechargeplus.fr/,,,,,Logiciel de supervision de bornes de recharge,2026-09-21
SoDigitale,software|ecommerce,Mâcon,https://sodigitale.fr/,,https://www.linkedin.com/company/42170130/,,,Agence de développement web,2026-09-21
Tech4B,software,Chalon-sur-Saône,https://www.tech4b.fr/,,,,,Direction des systèmes d’information externalisée,2026-09-21
waabeo,software|ecommerce,Autun,https://waabeo.com/,,,,,Agence de développement web,2026-09-21
X'Plan Research,ai|software,Le Creusot,https://x-plan.solutions/,,https://fr.linkedin.com/company/x-plan-research/,,,Éditeur de solutions d’aide à la décision,2026-09-21
