name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Agence Moove,software|ecommerce,Sens,https://agencemoove.fr/,,https://fr.linkedin.com/company/agencemoove/,,,Agence de développement web,2026-09-21
Agence Subotaï,software|ecommerce,Sens,https://www.subotai.fr/,,,,,Agence de développement web,2026-09-21
Agence Wouaib,software|ecommerce,Auxerre,https://www.wouaib.com/,,,,,Agence de développement web,2026-09-21
ASYS Informatique,software|cybersecurity,Thorigny-sur-Oreuse,https://www.asys-informatique.fr/,,,,,Intégration de systèmes informatiques,2026-09-21
Au Service du Web,software|ecommerce,Cézy,https://www.auserviceduweb.fr/,,,WordPress,,Agence de développement web,2026-09-21
Axe Informatique,software|cybersecurity,Noyers,https://axeinfoserv.fr/,,,,,Services informatiques et intégration,2026-09-21
Bamboo Age,software|ecommerce,Auxerre,https://julienfleurance9.wixsite.com/bambooage,,,,,Agence de développement web,2026-09-21
Cedelia Informatique,cybersecurity|software,Auxerre,https://www.cedelia.fr/,,https://www.linkedin.com/company/cedelia-informatique/,,,Infogérance et infrastructures informatiques,2026-09-21
Damien Cornillet,software|ecommerce,Villeneuve-sur-Yonne,https://www.cornillet.com/,,,WordPress|PrestaShop,,Développement logiciel web et mobile indépendant,2026-09-21
EcareWeb,software|ecommerce,Auxerre,https://ecareweb.fr/,,,,,Agence de développement web,2026-09-21
EOLE Informatique,software|cybersecurity,Appoigny,https://eole.fr/,,,,,Services informatiques et télécommunications,2026-09-21
Festins,ecommerce,Chablis,https://www.festins.fr,,,,51-1000,Équipe e-commerce & SI local,2026-09-24
FolioDesign,software|ecommerce,Villeneuve-la-Guyard,https://www.foliodesign.fr/,,,,,Agence de développement web,2026-09-21
Fortencom,software|ecommerce,Chéroy,https://www.fortencom.com/,,,,,Agence de développement web,2026-09-21
Grégoire Boisseau,software|ecommerce,Auxerre,https://gregoireboisseau.fr/,,,,,Agence de développement web,2026-09-21
Havengreen Solutions,software,Auxerre,https://havengreensolutions.com/,,,,,Intégration de solutions informatiques,2026-09-21
Invent App,software,Appoigny,https://invent-app.com/,,https://www.linkedin.com/company/inventapp/,,,Éditeur d’applications événementielles,2026-09-21
ITYS,software|cybersecurity,Sens,https://itys.fr/,,,Windows Server|Linux|VMware|Hyper-V|Azure,,Infogérance et développement web,2026-09-21
Koesio,telecom|cybersecurity,Auxerre,https://koesio.com/agence/auxerre-koesio-centre-est/,https://team.koesio.com/,,,,Services informatiques et télécommunications,2026-09-21
Net.Com,software|ecommerce,Saint-Clément,https://www.net-com.fr/,,,Drupal|WordPress,,Agence de développement web,2026-09-21
Proxilog,software|ecommerce,Auxerre,https://www.proxilog.com/,,https://www.linkedin.com/company/proxilog/,,,Agence de développement web,2026-09-21
Sg2i,software|cybersecurity,Auxerre,https://sg2i.net/,,https://www.linkedin.com/company/18984125/,,,Services informatiques et logiciels de gestion,2026-09-21
SPConsulting,cybersecurity|software,Auxerre,https://myspconsulting.com/,,https://www.linkedin.com/company/spconsulting-informatique/,,,Services cloud et infrastructures informatiques,2026-09-21
Virtua-Networks,cybersecurity|telecom,Auxerre,https://www.vnetx.com/,,https://linkedin.com/company/virtua-networks/,VMware,,Hébergement et infrastructures informatiques,2026-09-21
Waswi Digital,software|ecommerce,Sens,https://www.waswidigital.fr/,,,React Native|Expo|Next.js|NestJS,,Agence de développement web,2026-09-21
