name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
AJC INFO,software|cybersecurity,Belfort,https://www.ajc-info.fr/,,,,,Intégration de logiciels et infrastructures informatiques,2026-09-21
Cactus France,software,Belfort,https://cactusfrance.com/,,https://www.linkedin.com/company/cactus-france/,,,Éditeur d’une application d’apprentissage de l’orthographe,2026-09-21
Data Xplore,ai|software,Cravanche,https://data-xplore.fr/,,,,,Analyse de données et conseil en intelligence artificielle,2026-09-21
E-Concept Applications,software,Belfort,https://e-concept-applications.fr/,,,,,Développement logiciel et services informatiques,2026-09-21
EUROCFD,software|industrial,Belfort,https://www.eurocfd.com,,,,,Simulation numérique pour l’industrie,2026-09-21
European Robotics,industrial|software,Belfort,https://european-robotics.fr/,,https://www.linkedin.com/company/108527949/,,,Robotique et logiciel de programmation de robots MORFOSE,2026-09-21
Extendo Datacenter,telecom,Belfort,https://www.extendo-datacenter.fr,,,,,Hébergement en centre de données,2026-09-21
EZDEV,software,Montreux-Château,https://www.ezged.org/,,,PHP,,Éditeur d’EzGED ; gestion électronique de documents,2026-09-21
Fernand,software|saas,Belfort,https://getfernand.com/,,,,,Éditeur de logiciel de support client,2026-09-21
Ideaweb,software|ecommerce,Belfort,https://www.ideaweb.fr/,,,WordPress|WooCommerce,,Agence de développement web,2026-09-21
Illicoweb,software|ecommerce,Morvillars,https://www.illicoweb.com/,https://www.illicoweb.com/contact/postuler-offres-demploi-stage/,https://www.linkedin.com/company/illicoweb/,WordPress|Drupal|PrestaShop|WooCommerce|Illicopage,,Agence de développement web,2026-09-21
Isara Technologies,software,Giromagny,https://isaratechnologies.isaratech.com/,,,Unreal Engine,,Développement d’applications 3D et de jumeaux numériques,2026-09-21
JBPALLA,software,Belfort,https://www.consultantinformatique.net/,,,,,Conseil et services informatiques,2026-09-21
Logiciels Perrenoud,software|energy,Belfort,https://logicielsperrenoud.com/,,,,,Éditeur de logiciels de calcul thermique,2026-09-21
Lumixa,software|ecommerce,Belfort,https://lumixa.cloud/,,,,,Agence de développement web,2026-09-21
NousLouons,software,Belfort,https://nouslouons.fr/,,https://www.linkedin.com/company/nouslouons/,,,Plateforme web et mobile de location entre particuliers,2026-09-21
Procom,telecom|cybersecurity,Meroux-Moval,https://www.procom-groupe.com/,,,,,Services informatiques et télécommunications,2026-09-21
PZ Conseils,software|ecommerce,Belfort,https://www.pascalzigang.net/,,,,,Création de sites web et conseil numérique,2026-09-21
Sogeti,software,Meroux-Moval,https://www.fr.sogeti.com/,https://www.fr.sogeti.com/carrieres/nous-rejoindre/,https://www.linkedin.com/company/sogeti/,,,ESN ; développement logiciel et services informatiques,2026-09-21
So’One,software,Belfort,https://www.sogetrel.fr/,https://jobs.smartrecruiters.com/sogetrel/744000139531284,,,,ESN ; support et exploitation des systèmes informatiques,2026-09-21
TRINAPS,telecom|cybersecurity,Belfort,https://www.trinaps.com,,,,,Opérateur cloud et services de cybersécurité,2026-09-21
Webrelief,software|ecommerce,Belfort,https://www.webrelief.fr/,,,PrestaShop,,Agence de développement web,2026-09-21
Ykom,software|ecommerce,Belfort,https://ykom.fr/,,,,,Agence de développement web,2026-09-21
