name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
3D Ouest,software,Lannion,https://3douest.com/,,,,,Éditeur de logiciels,2026-09-21
Actility,telecom|software,Lannion,https://www.actility.com/,,,,,IoT et réseaux,2026-09-21
AD-Vantage,telecom|software,Lannion,https://www.ad-vantage.fr/,,,,,Supervision de réseaux mobiles,2026-09-21
Akio,saas|software,Lannion,https://www.akio.com/,,,,,Éditeur expérience client,2026-09-21
ALTEN,software|industrial,Lannion,https://www.alten.fr/,,,,,Conseil en ingénierie technologique,2026-09-21
Amenai Technologies,ai|industrial,Ploulec'h,https://www.amenai.net/,,,,,IA pour l'aéronautique,2026-09-21
Apitic,saas|software,Lannion,https://www.apitic.com/,,,,,Éditeur SaaS B2B,2026-09-21
Apizee,saas|software,Lannion,https://www.apizee.com/,,,,,Visio-assistance sécurisée,2026-09-21
Armor Arsenal,industrial,Lannion,https://armor-arsenal.com/,,,,,Systèmes orbitaux,2026-09-21
Avidsen,industrial|software,Lannion,https://www.avidsen.com/fr/,,,,,Maison connectée,2026-09-21
BrightLoop Industries,energy|industrial,Lannion,https://www.brightloop.fr/,,,,,Électronique de puissance,2026-09-21
CG-Wireless,telecom|industrial,Lannion,https://www.cgwi.fr/,,,,,Ingénierie radiofréquence,2026-09-21
Cimtech,industrial,Perros-Guirec,https://www.cimtech.fr/,,,,,Bureau d'études mécatronique,2026-09-21
DCbrain,ai|saas,Lannion,https://www.dcbrain.com/,,,,,Optimisation de réseaux complexes,2026-09-21
DevAtlant Software,software,Lannion,https://www.devatlant.com/,,,Java,,ESN,2026-09-21
Develec,industrial,La Roche-Jaudy,https://www.develec.fr/,,,,,Bureau d'études électronique,2026-09-21
Eco-Compteur,software|industrial,Lannion,https://www.eco-compteur.com/,,,,,Solutions de comptage,2026-09-21
Ericsson,telecom,Lannion,https://www.ericsson.com/fr,,,,,R&D télécom,2026-09-21
Euro Process,industrial|software,Lannion,https://www.euro-process.fr/,,,,,Automatisation industrielle,2026-09-21
Event Factory,saas,Bégard,https://www.eventfactory.eu/,,,,,SaaS événementiel,2026-09-21
Exail Robotics,industrial|software,Lannion,https://www.exail.com/,,,,,Simulateurs de formation,2026-09-21
Experis,software,Lannion,https://www.experis.fr/,,,,,ESN,2026-09-21
Heol Design,industrial|telecom,Pleumeur-Bodou,https://www.heoldesign.com/,,,,,Conception de solutions IoT,2026-09-21
Human Streaming,saas|software,Lannion,https://human-streaming.tv/,,,,,Logiciels pour créateurs vidéo,2026-09-21
Inetum,software,Lannion,https://www.inetum.com/fr,,,,,ESN,2026-09-21
b<>com,telecom|software,Lannion,https://b-com.com/,,,,,R&D télécom,2026-09-21
Isitix,software,Perros-Guirec,https://isitix.com/,,,,,Outils d'infrastructure IT,2026-09-21
Jaggo Solutions,telecom|software,Lannion,https://www.jaggo-solutions.com/,,,,,Tests de terminaux mobiles,2026-09-21
Jouroff,saas|software,Lannion,https://www.jouroff.com/,,,,,Logiciel de gestion,2026-09-21
KWH50,energy|saas,Lannion,https://kwh50.io/,,,,,Analyse énergétique des bâtiments,2026-09-21
Mobil Inn,software,Lannion,https://mobil-inn.com/,,,,,Logiciel de collecte des déchets,2026-09-21
NetVolt,energy|software,Lannion,,,,,,Logiciels pour énergies renouvelables,2026-09-21
Nexcom,telecom|software,Lannion,https://www.nexcom.fr/,,,,,Éditeur de logiciels télécoms,2026-09-21
Nokia,telecom|cybersecurity,Lannion,https://www.nokia.com/fr_int/,,,,,R&D télécom et cybersécurité,2026-09-21
Novatech Industries,industrial,Lannion,https://www.novatech-groupe.com/,,,,,Conception et production électronique,2026-09-21
Open,software,Lannion,https://www.open.global/,,,,,ESN,2026-09-21
Oracle France,saas|software,Lannion,https://www.oracle.com/fr/,,,,,Infrastructure et applications cloud,2026-09-21
Orange Innovation,telecom|cybersecurity|ai,Lannion,https://www.orange.com/fr,,,,,Centre de R&D,2026-09-21
Overgame Studio,gaming,Lannion,https://overgamestudio.com/,,,,,Studio de jeux vidéo,2026-09-21
Prescom,telecom|industrial,Lannion,https://www.prescom.fr/,,,,,Communications critiques,2026-09-21
Qualcomm,telecom|industrial,Lannion,https://www.qualcomm.com/,,,,,Centre de R&D sans fil,2026-09-21
Randstad Digital,software,Lannion,https://www.randstaddigital.fr/,,,,,Conseil en technologies,2026-09-21
Saooti,saas|software,Lannion,https://www.saooti.com/,,,,,Plateforme de podcasts,2026-09-21
Seelab,ai|saas,Lannion,https://seelab.ai/,,,,,IA générative visuelle,2026-09-21
Sekost,cybersecurity|saas,Lannion,https://sekost.fr/,,,,,Cybersécurité pour PME,2026-09-21
SII,software,Lannion,https://sii-group.com/fr-FR/sii-ouest,,,,,ESN,2026-09-21
Ticatag,industrial|telecom,Lannion,https://www.ticatag.com/,,,,,Solutions IoT de traçabilité,2026-09-21
Twinsys,saas|software,Lannion,https://www.twinsys.io/,,,,,Logiciel de gestion des bureaux,2026-09-21
VFI System,industrial|software,Lannion,https://www.vfi-system.com/,,,,,Logiciels de contrôle industriel,2026-09-21
ViaDialog,ai|saas,Lannion,https://www.viadialog.com/,,,,,Éditeur de solutions CX,2026-09-21
Voxygen,ai|software,Pleumeur-Bodou,https://www.voxygen.fr/,,,,,Synthèse vocale,2026-09-21
VTales Graphics,software,Pleumeur-Bodou,https://www.vtales.com/,,,,,Logiciels de visualisation 3D,2026-09-21
Wavetel,telecom|cybersecurity,Lannion,https://www.wavetel.fr/,,,,,Tests réseaux et cybersécurité,2026-09-21
Webluma,saas|software,Lannion,https://www.webluma.com/,,,,,Logiciels de gestion métier,2026-09-21
ZTI Communications,telecom|software,Lannion,https://www.zti-communications.com/,,,,,Logiciels de test télécom,2026-09-21
