name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
3G COMM,software|saas,Quimper,https://www.3gcomm.fr/,,,,11-50,Éditeur de logiciels,2026-09-21
Accenture,software,Brest,https://www.accenture.com/fr-fr,https://www.accenture.com/fr-fr/careers,,,1000+,ESN,2026-09-21
Alcose Développements,software|saas,Brest,https://www.alcose.fr/,,,,11-50,Logiciels pour collectivités,2026-09-21
ASI,software,Brest,https://www.asi.fr/,https://www.asi.fr/nous-rejoindre/,https://www.linkedin.com/company/asi-informatique/,Java|Spring Boot|JavaScript|Angular|Vue.js|Docker|Kubernetes,51-1000,ESN,2026-09-21
Aucae,cybersecurity,Brest,https://aucae.com/,,,,,Cybersécurité,2026-09-21
BZHunt,cybersecurity,Brest,https://www.bzhunt.com/,,,,,Hacking éthique,2026-09-21
Capgemini,software,Brest,https://www.capgemini.com/fr-fr/,https://www.capgemini.com/fr-fr/carrieres/,,,1000+,ESN,2026-09-21
Cervval,software|industrial,Plouzané,https://www.cervval.com/,,,,,Simulation et jumeaux numériques,2026-09-21
CGI,software,Brest,https://www.cgi.com/france/fr-fr,https://www.cgi.com/france/fr-fr/carrieres,,,1000+,ESN,2026-09-21
Crédit Mutuel Arkéa,banking|fintech,Le Relecq-Kerhuon,https://www.cm-arkea.com/,https://recrutement.arkea.com/,,,1000+,Équipes informatiques du groupe,2026-09-21
Dassault Systèmes,software,Plouzané,https://www.3ds.com/fr,https://www.3ds.com/fr/careers/jobs,https://www.linkedin.com/company/dassaultsystemes/,JavaScript|React,1000+,Éditeur de logiciels,2026-09-21
Diateam,cybersecurity,Brest,https://www.diateam.net/,,,,,Cyber range et cyberdéfense,2026-09-21
E-learning Touch',saas|software,Guipavas,https://www.elearningtouch.com/,,,,11-50,Solutions de formation numérique,2026-09-21
Entech,energy|industrial,Quimper,https://entech-se.com/,https://entech-se.com/carrieres/,,,51-1000,R&D stockage et conversion énergétique,2026-09-21
eOdyn,software|industrial,Plouzané,https://www.eodyn.com/,,,,,Données maritimes et océanographie,2026-09-21
