name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
6TM,software,Rennes,https://www.6tm.com/,,,,,Éditeur de logiciels,2026-09-21
Acklio,telecom|software,Cesson-Sévigné,https://www.ackl.io/,,,,11-50,Logiciels réseau IoT,2026-09-21
Airbus Protect,cybersecurity,Rennes,https://www.protect.airbus.com,,,,,Cybersécurité et systèmes critiques,2026-09-25
Akkodis,software|industrial,Rennes,https://www.akkodis.com/fr,https://www.akkodis.com/fr/careers,,,1000+,Conseil en ingénierie numérique,2026-09-21
Almond,cybersecurity,Rennes,https://almond.eu/,https://almond.eu/carrieres/,,,51-1000,Cybersécurité,2026-09-21
ALTEN,software|industrial,Rennes,https://www.alten.fr/,https://www.alten.fr/carrieres/,,,1000+,Conseil en ingénierie,2026-09-21
Anozr Way,cybersecurity|saas,Rennes,https://anozrway.com/,https://anozrway.com/carrieres/,,,11-50,Cybersécurité du facteur humain,2026-09-21
ASI,software,Rennes,https://www.asi.fr/,https://www.asi.fr/nous-rejoindre/,,,51-1000,ESN,2026-09-21
b<>com,deeptech,Cesson-Sévigné,https://www.b-com.com,,,,,R&D numérique et télécommunications,2026-09-25
Blacknut,gaming|saas,Cesson-Sévigné,https://www.blacknut.com/fr,https://www.blacknut.com/fr/careers,,,,Cloud gaming,2026-09-21
BlueKanGo,saas|software,Cesson-Sévigné,https://www.bluekango.com/,https://www.bluekango.com/recrutement/,,,51-1000,Logiciels QHSE et RSE,2026-09-21
Bretagne Télécom,telecom|cybersecurity,Châteaubourg,https://www.bretagnetecom.com/,https://www.bretagnetecom.com/recrutement/,,,51-1000,Télécom cloud et cybersécurité,2026-09-21
Broadpeak,software|telecom,Cesson-Sévigné,https://broadpeak.tv/fr/,https://broadpeak.tv/fr/carrieres/,,,51-1000,Solutions de streaming vidéo,2026-09-21
Cailabs,industrial|telecom,Rennes,https://www.cailabs.com/fr/,https://www.cailabs.com/fr/carrieres/,,,51-1000,R&D photonique,2026-09-21
Capgemini,software,Cesson-Sévigné,https://www.capgemini.com/fr-fr/,https://www.capgemini.com/fr-fr/carrieres/,,,1000+,ESN,2026-09-21
CGI,software,Rennes,https://www.cgi.com/france/fr-fr,https://www.cgi.com/france/fr-fr/carrieres,,,1000+,ESN,2026-09-21
ContentArmor,cybersecurity|software,Cesson-Sévigné,https://contentarmor.net/,,,,11-50,Protection des contenus numériques,2026-09-21
Dassault Systèmes,software,Cesson-Sévigné,https://www.3ds.com/fr,https://www.3ds.com/fr/careers/jobs,,,1000+,Éditeur de logiciels,2026-09-21
Davidson,software|industrial,Rennes,https://www.davidson.fr/,https://www.davidson.fr/recrutement/,,,1000+,Conseil en ingénierie,2026-09-21
DGA Maîtrise de l'information,cybersecurity|public-sector,Bruz,https://www.defense.gouv.fr/dga,,,,,Expertise cyber et systèmes numériques,2026-09-25
Digitaleo,saas|software,Rennes,https://www.digitaleo.com/,https://www.digitaleo.com/recrutement/,,,51-1000,SaaS marketing local,2026-09-21
ENENSYS Technologies,telecom|industrial,Cesson-Sévigné,https://www.enensys.com/,https://www.enensys.com/careers/,,,51-1000,Technologies de diffusion vidéo,2026-09-21
Eviden,software|cybersecurity,Rennes,https://eviden.com/fr-fr/,https://jobs.atos.net/eviden/,,,1000+,Numérique et cybersécurité,2026-09-21
Formind,cybersecurity,Rennes,https://www.formind.fr,,,,,Conseil en cybersécurité,2026-09-25
Gatewatcher,cybersecurity|ai,Rennes,https://www.gatewatcher.com/fr/,https://www.gatewatcher.com/fr/carrieres/,,,51-1000,Cybersécurité et analyse de code,2026-09-21
Groupe Créative,software,Rennes,https://www.groupe-creative.fr/,https://www.groupe-creative.fr/recrutement/,,,51-1000,ESN,2026-09-21
Hackuity,cybersecurity|saas,Cesson-Sévigné,https://www.hackuity.io/,,,,11-50,Plateforme de gestion des vulnérabilités,2026-09-21
Harmonic,software|telecom,Cesson-Sévigné,https://www.harmonicinc.com/,https://www.harmonicinc.com/company/careers/,,,1000+,Technologies vidéo et télécoms,2026-09-21
HelloWork,software|saas,Rennes,https://www.hellowork.com/fr-fr/,https://www.hellowork-group.com/fr/carriere/,,,51-1000,Plateformes emploi et formation,2026-09-21
HOPPEN,healthtech|software,Cesson-Sévigné,https://www.hoppen.care/,https://www.hoppen.care/carrieres/,,,51-1000,Santé numérique,2026-09-21
IDnow,cybersecurity|fintech,Cesson-Sévigné,https://www.idnow.io/fr/,https://www.idnow.io/careers/,,,51-1000,Vérification d'identité numérique,2026-09-21
Inetum,software,Rennes,https://www.inetum.com/fr,https://www.inetum.com/fr/carrieres,,,1000+,ESN,2026-09-21
Inria Centre de Rennes,deeptech,Rennes,https://www.inria.fr/fr/centre-inria-universite-rennes,,,,,Recherche en sciences du numérique,2026-09-25
InterDigital,software|telecom,Cesson-Sévigné,https://www.interdigital.com/,https://www.interdigital.com/careers,,,1000+,R&D vidéo et télécoms,2026-09-21
Kereval,software|cybersecurity,Thorigné-Fouillard,https://www.kereval.com/,https://www.kereval.com/recrutement/,,,51-1000,Tests logiciels et cybersécurité,2026-09-21
Kerlink,telecom|industrial,Thorigné-Fouillard,https://www.kerlink.fr/,https://www.kerlink.fr/carrieres/,,,51-1000,Solutions réseaux IoT,2026-09-21
Klaxoon,saas|software,Rennes,https://klaxoon.com/fr/,https://klaxoon.com/fr/carrieres/,,,51-1000,Plateforme collaborative,2026-09-21
Luminess,software,Cesson-Sévigné,https://www.luminess.eu/,https://www.luminess.eu/carrieres/,,,1000+,Services numériques,2026-09-21
