name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Actis Telecom,telecom,Ajaccio,,,https://www.linkedin.com/company/actis-telecom/,,1-10,Conseil en télécommunications,2026-09-22
Aflokkat,ai|cybersecurity|software,Ajaccio,https://aflokkat.com/,https://aflokkat.com/nous-rejoindre/,https://www.linkedin.com/company/aflokkat/,,,R&D en IA et robotique,2026-09-22
Air Corsica,software|transport,Ajaccio,https://www.aircorsica.com/,https://www.aircorsica.com/aircorsica-recrute,https://www.linkedin.com/company/air-corsica/,,51-1000,Siège et équipes informatique aéronautique,2026-09-22
Arobase,cybersecurity|software,Ajaccio,https://www.arobase2a.com/,,https://www.linkedin.com/company/arobase-corse/,,11-50,Infogérance et cybersécurité,2026-09-22
CampusPlex,ai|software,Ajaccio,https://www.campusplex.org/fr/,,https://www.linkedin.com/company/campusplex/,,1-10,Startup studio IA et robotique,2026-09-22
CG Consulting,cybersecurity|software,Ajaccio,https://cgconsulting.corsica/,,https://www.linkedin.com/company/cg-consulting-corsica/,,1-10,Informatique professionnelle et cybersécurité,2026-09-22
communiti,saas|software,Ajaccio,https://www.communiti.corsica/,https://www.communiti.corsica/organisations/communiti/carriere,https://www.linkedin.com/company/communiti-corsica/,,1-10,Plateforme professionnelle corse,2026-09-22
Corse Composites Aéronautiques,industrial,Ajaccio,https://www.corse-composites-aeronautiques.com/,,https://www.linkedin.com/company/corse-composites-aeronautiques/,,51-1000,R&D et conception aéronautique,2026-09-22
Corse Télécom,telecom,Ajaccio,https://www.corsetelecom.fr/,,https://www.linkedin.com/company/corse-telecom/,,11-50,Opérateur et intégrateur télécom,2026-09-22
EDF,energy|industrial,Ajaccio,https://corse.edf.fr/,https://www.edf.fr/edf-recrute,https://www.linkedin.com/company/edf/,,1000+,Pilotage du système électrique corse,2026-09-22
GoodBarber,saas|software,Ajaccio,https://fr.goodbarber.com/,https://fr.goodbarber.com/careers/,https://www.linkedin.com/company/goodbarber/,,11-50,Éditeur de création d'applications,2026-09-22
InterStem,software,Ajaccio,https://www.interstem.fr/,,https://www.linkedin.com/company/interstem/,,1-10,Éditeur de progiciels métier,2026-09-22
MEDI Informatique,software,Ajaccio,https://medi.fr/,,https://www.linkedin.com/company/medi-informatique/,,11-50,Intégrateur de logiciels de gestion,2026-09-22
Orange,telecom,Ajaccio,https://www.orange.fr/,https://orange.jobs/,https://www.linkedin.com/company/orange/,,1000+,Équipes techniques réseaux télécoms,2026-09-22
Performance Composites Méditerranéen,industrial,Tavaco,https://www.pcmaero.fr/,,https://www.linkedin.com/company/performance-composites-mediterraneen/,,51-1000,Composites aéronautiques,2026-09-22
SAGES Informatique,saas|software,Afa,https://www.zeendoc.com/,https://www.zeendoc.com/recrutement/,https://www.linkedin.com/company/zeendoc/,,51-1000,Éditeur de gestion documentaire,2026-09-22
SITEC,cybersecurity|industrial|software,Ajaccio,https://www.sitec.corsica/,https://www.sitec.corsica/recrutement/,https://www.linkedin.com/company/sitec-corse/,,11-50,Cloud et informatique industrielle,2026-09-22
Step By Step,ai|software,Ajaccio,https://step-by-step.technology/,,https://www.linkedin.com/company/step-by-step-technology/,,1-10,Studio logiciel assisté par IA,2026-09-22
STS Ajaccio,cybersecurity|telecom,Ajaccio,https://www.sts.corsica/,,https://www.linkedin.com/company/sts-corse/,,1-10,Réseaux télécoms et sécurité,2026-09-22
TCF Corse,cybersecurity|telecom,Ajaccio,https://www.tcf-corse.fr/,https://www.tcf-corse.fr/jobs,https://www.linkedin.com/company/tcf-corse/,,1-10,Réseaux télécoms et sécurité,2026-09-22
XEFI Ajaccio,cybersecurity|software,Ajaccio,https://www.xefi.fr/fr/agence/xefi-ajaccio/,https://www.xefi.fr/fr/recrutement/,https://www.linkedin.com/company/xefi/,,1-10,Infogérance et cybersécurité,2026-09-22
