name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
ACWA Robotics,industrial,Bastia,https://www.acwa-robotics.com/,,https://www.linkedin.com/company/acwa-robotics/,,11-50,Robotique d'inspection des réseaux d'eau,2026-09-22
Aflokkat,ai|cybersecurity|software,Bastia,https://aflokkat.com/,https://aflokkat.com/nous-rejoindre/,https://www.linkedin.com/company/aflokkat/,,,R&D en IA et robotique,2026-09-22
Corse GSM,telecom,Furiani,https://www.corsegsm.com/,,https://www.linkedin.com/company/corse-gsm/,,51-1000,Opérateur de télécommunications corse,2026-09-22
Corse Télécom,telecom,Vescovato,https://www.corsetelecom.fr/,,https://www.linkedin.com/company/corse-telecom/,,11-50,Opérateur et intégrateur télécom,2026-09-22
Corsica Sole,energy|industrial,Penta-di-Casinca,https://corsicasole.com/,https://corsicasole.com/nous-rejoindre/,https://www.linkedin.com/company/corsica-sole/,,51-1000,Stockage solaire et hydrogène vert,2026-09-22
Corsicaweb,software,Ville-di-Pietrabugno,https://www.corsicaweb.fr/,,https://www.linkedin.com/company/corsicaweb/,,1-10,Développement de logiciels sur mesure,2026-09-22
CSM Cybersécurité Management,cybersecurity,Bastia,https://www.csm-cybersecurite.com/,,https://www.linkedin.com/company/csm-cybersecurite-management/,,1-10,Cybersécurité et conformité RGPD,2026-09-22
DRIVECO,energy|software,Bastia,https://driveco.com/,https://driveco.com/carrieres/,https://www.linkedin.com/company/driveco/,,51-1000,Recharge électrique et gestion énergétique,2026-09-22
EBMI,software,Bastia,https://www.ebmi-corse.com/,,https://www.linkedin.com/company/ebmi-corse/,,11-50,Infrastructure et logiciels de gestion,2026-09-22
EDF,energy|industrial,Lucciana,https://corse.edf.fr/,https://www.edf.fr/edf-recrute,https://www.linkedin.com/company/edf/,,1000+,Production et pilotage électrique,2026-09-22
LNG Informatique,ai|software,Bastia,https://www.lnginfo.net/,,https://www.linkedin.com/company/lng-informatique/,,1-10,Logiciels métier et infogérance,2026-09-22
Novacoms,saas|software,Bastia,https://www.novacoms.com/,,https://www.linkedin.com/company/novacoms/,,1-10,Éditeur de logiciels de gestion,2026-09-22
Orange,telecom,Bastia,https://www.orange.fr/,https://orange.jobs/,https://www.linkedin.com/company/orange/,,1000+,Équipes techniques réseaux télécoms,2026-09-22
SASWAVE,saas|software,Bastia,https://saswave.com/,,https://www.linkedin.com/company/saswave/,,1-10,SaaS et automatisation,2026-09-22
SITEC,cybersecurity|industrial|software,Bastia,https://www.sitec.corsica/,https://www.sitec.corsica/recrutement/,https://www.linkedin.com/company/sitec-corse/,,11-50,Cloud et informatique industrielle,2026-09-22
StorIA Web,ai|software,Biguglia,https://www.storiaweb.fr/,,https://www.linkedin.com/company/storia-web/,,1-10,Logiciels métier et automatisation IA,2026-09-22
Volpy,ecommerce|software,Bastia,https://www.volpy.com/,,https://www.linkedin.com/company/volpy/,,11-50,Application de reprise de smartphones,2026-09-22
XEFI Bastia,cybersecurity|software,Bastia,https://www.xefi.fr/fr/agence/xefi-bastia/,https://www.xefi.fr/fr/recrutement/,https://www.linkedin.com/company/xefi/,,1-10,Infogérance et cybersécurité,2026-09-22
