name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
A.G.I.R. Informatique,it-services,Charleville-Mézières,https://www.agir-informatique.fr,,, ,1-10,ESN & services informatiques,2026-09-24
ACD Groupe,software,Charleville-Mézières,https://www.acdgroupe.fr,,, ,51-1000,Éditeur de logiciels de gestion,2026-09-24
Ardennes Métropole (Direction du Numérique),public-sector,Charleville-Mézières,https://www.ardennes-metropole.fr,,, ,51-1000,Équipe informatique locale,2026-09-24
Arketeam,it-services,Charleville-Mézières,https://www.arketeam.fr,,, ,11-50,ESN et conseil numérique,2026-09-24
AXA France (Centre de Gestion Ardennes),insurance,Charleville-Mézières,https://www.axa.fr,,, ,1000+,Équipe informatique locale,2026-09-24
BV Informatique,it-services,Charleville-Mézières,https://bvinformatique.net,,, ,1-10,Services informatiques & réseaux,2026-09-24
Caisse d'Epargne Grand Est Europe (Siège régional),banking,Charleville-Mézières,https://www.caisse-epargne.fr,,, ,1000+,Équipe informatique locale,2026-09-24
Caisse Régionale du Crédit Agricole du Nord Est,banking,Charleville-Mézières,https://www.credit-agricole.fr/ca-nordest/,,, ,1000+,Équipe informatique locale,2026-09-24
Charleville-Mézières (Direction SI),public-sector,Charleville-Mézières,https://www.charleville-mezieres.fr,,, ,51-1000,Équipe informatique locale,2026-09-24
Cofilmo,software,Vivier-au-Court,https://www.cofilmo.fr,,, ,51-1000,Éditeur de logiciels & éditique,2026-09-24
Conseil Départemental des Ardennes (DSI),public-sector,Charleville-Mézières,https://www.cd08.fr,,, ,1000+,Équipe informatique locale,2026-09-24
EDF - Centre de Production Nucléaire de Chooz,industrial,Chooz,https://www.edf.fr,,, ,1000+,SI & ingénierie locale,2026-09-24
EiSINe (École d'Ingénieurs),deeptech,Charleville-Mézières,https://www.univ-reims.fr/eisine/,,, ,11-50,R&D et enseignement supérieur,2026-09-24
Electrolux France,industrial,Revin,https://www.electrolux.fr,,, ,51-1000,Équipe SI industrielle locale,2026-09-24
Hanon Systems France,industrial,Charleville-Mézières,https://www.hanonsystems.com,,, ,51-1000,R&D et SI industriel,2026-09-24
Innelec Multimedia,ecommerce,Givet,https://www.innelec.com,,, ,51-1000,Systèmes d'information & logistique,2026-09-24
Invicta Group,industrial,Donchery,https://www.invicta.fr,,, ,51-1000,Équipe SI industrielle locale,2026-09-24
Koesio Centre-Est,it-services,Villers-Semeuse,https://koesio.com,,, ,11-50,ESN & services numériques,2026-09-24
M3S,it-services,Charleville-Mézières,https://www.m3s.fr,,, ,1-10,Services informatiques & sécurité,2026-09-24
MCG France,it-services,Charleville-Mézières,https://www.mcg.fr,,, ,11-50,Services informatiques & infrastructure,2026-09-24
Mon Assistant Numérique Charleville,it-services,Charleville-Mézières,https://www.monassistantnumerique.com,,, ,1-10,Conseil & accompagnement numérique,2026-09-24
S11,it-services,Charleville-Mézières,https://s11.fr,,, ,1-10,ESN & services du numérique,2026-09-24
Stellantis (Usine de Bogny),industrial,Bogny-sur-Meuse,https://www.stellantis.com,,, ,1000+,SI & automatique industrielle,2026-09-24
Tarkett France,industrial,Givet,https://www.tarkett.fr,,, ,51-1000,Équipe SI industrielle locale,2026-09-24
UIMM Champagne-Ardenne (Pôle Formation),edtech,Charleville-Mézières,https://www.formation-uimm-champagne-ardenne.org,,, ,11-50,Formation aux métiers du numérique,2026-09-24
Xefi Charleville-Mézières,it-services,Charleville-Mézières,https://www.xefi.fr,,, ,1-10,Services informatiques & cloud,2026-09-24
