name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Accenture France (Centre de Services Reims),IT Services,Reims,https://www.accenture.com,,, ,51-1000,ESN & centre de delivery,2026-09-24
Ardans,Software,Reims,https://www.ardans.com,,, ,11-50,Éditeur KM & gestion des connaissances,2026-09-24
Arjo,Healthtech,Reims,https://www.arjo.com,,, ,51-1000,Dispositifs médicaux & systèmes santé,2026-09-24
Axians (Groupe VINCI Energies),Telecom,Châlons-en-Champagne,https://www.axians.fr,,, ,51-1000,Infrastructures réseaux & cloud,2026-09-24
Caisse d'Epargne Grand Est Europe (Siège Reims),Fintech / Insurtech,Reims,https://www.caisse-epargne.fr,,, ,1000+,Équipe informatique locale,2026-09-24
Caisse Régionale du Crédit Agricole du Nord Est (Siège),Fintech / Insurtech,Reims,https://www.credit-agricole.fr/ca-nordest/,,, ,1000+,Équipe informatique locale,2026-09-24
Charbonneaux-Brabant,Industry,Reims,https://www.charbonneaux.com,,, ,51-1000,Équipe SI industrielle locale,2026-09-24
Citésport / Webreathe,Software,Reims,https://webreathe.fr,,, ,11-50,SaaS & IoT analyse flux transport,2026-09-24
Communauté Urbaine Grand Reims (DSI),Public Sector,Reims,https://www.grandreims.fr,,, ,1000+,Équipe informatique locale,2026-09-24
Econocom France,IT Services,Reims,https://www.econocom.com,,, ,1000+,ESN & transformation numérique,2026-09-24
Innelec Multimedia (Siège social),E-commerce / Retail,Reims,https://www.innelec.com,,, ,51-1000,Distribution produits tech & gaming,2026-09-24
Innovact,Public Sector,Reims,https://www.innovact.com,,, ,1-10,Incubateur & écosystème tech,2026-09-24
Kandis,Software,Reims,https://www.kandis.fr,,, ,11-50,Éditeur logiciels SIG & réseaux,2026-09-24
Koesio Grand Est,IT Services,Reims,https://koesio.com,,, ,51-1000,ESN & services numériques,2026-09-24
LVMH / Moët & Chandon (DSI Vins & Spiritueux),Industry,Épernay,https://www.lvmh.fr,,, ,1000+,DSI & digital groupe,2026-09-24
Magnus (Groupe Berger-Levrault),Software,Châlons-en-Champagne,https://www.berger-levrault.com,,, ,1000+,Éditeur logiciels secteur public,2026-09-24
Marne Département (DSI),Public Sector,Châlons-en-Champagne,https://www.marne.fr,,, ,1000+,Équipe informatique locale,2026-09-24
MGI Coutier / Akwel,Industry,Champigny,https://akwel-automotive.com,,, ,1000+,Équipe SI industrielle locale,2026-09-24
Myre,Software,Reims,https://www.getmyre.com,,, ,11-50,SaaS proptech & asset management,2026-09-24
Net communications,IT Services,Châlons-en-Champagne,https://www.netcom-group.fr,,, ,11-50,Opérateur télécom & intégrateur IT,2026-09-24
Orange (Direction Régionale Champagne-Ardenne),Telecom,Reims,https://www.orange.fr,,, ,1000+,Réseaux & IT régional,2026-09-24
Piveteau,E-commerce / Retail,Sainte-Menehould,https://www.piveteau.com,,, ,51-1000,Équipe SI & logistique,2026-09-24
Prima Luce,Software,Reims,https://primaluce.fr,,, ,1-10,Éditeur SaaS & solutions web,2026-09-24
Sogetrel Champagne,Telecom,Reims,https://www.sogetrel.fr,,, ,1000+,Infrastructures télécoms & sûreté,2026-09-24
Sparkow,Software,Reims,https://www.sparkow.com,,, ,11-50,SaaS e-commerce & personnalisation,2026-09-24
Telenco distribution,Telecom,Reims,https://www.telenco-distribution.com,,, ,51-1000,Matériel & solutions télécoms,2026-09-24
Université de Reims Champagne-Ardenne (CReSTIC / DSI),Deeptech,Reims,https://www.univ-reims.fr,,, ,1000+,"R&D informatique, IA & DSI",2026-09-24
Vivescia (Siège groupe),Agtech,Reims,https://www.vivescia.com,,, ,1000+,DSI groupe & agtech,2026-09-24
Xefi Reims,IT Services,Reims,https://www.xefi.fr,,, ,11-50,Services informatiques & cloud,2026-09-24
