name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Andra,Public Sector,Bure,https://www.andra.fr,,, ,51-1000,SI & ingénierie données,2026-09-24
Aqualung France,Industry,Chaumont,https://www.aqualung.com,,, ,51-1000,Équipe SI industrielle locale,2026-09-24
Caisse Régionale du Crédit Agricole Champagne-Bourgogne,Fintech / Insurtech,Chaumont,https://www.credit-agricole.fr/ca-cb/,,, ,1000+,Équipe informatique locale,2026-09-24
Capgemini,IT Services,Saint-Dizier,https://www.capgemini.com,,, ,1000+,ESN & centre d'expertise IT,2026-09-24
Chaumont,Public Sector,Chaumont,https://www.chaumont.fr,,, ,51-1000,Équipe informatique locale,2026-09-24
Forrest,Industry,Nogent,https://www.forrest.fr,,, ,11-50,Équipe SI & fabrication numérique,2026-09-24
Forsem,IT Services,Saint-Dizier,https://www.forsem.fr,,, ,1-10,Services informatiques & infrastructure,2026-09-24
Haute-Marne Département (DSI),Public Sector,Chaumont,https://www.haute-marne.fr,,, ,1000+,Équipe informatique locale,2026-09-24
Hôpitaux de Haute-Marne (GHT - DSI),Healthtech,Chaumont,https://www.ch-chaumont.fr,,, ,1000+,Équipe informatique hospitalière,2026-09-24
Hory Brosse,Industry,Neuilly-l'Évêque,https://www.horybrosse.com,,, ,51-1000,Équipe SI industrielle locale,2026-09-24
Isagri,Software,Chaumont,https://www.isagri.fr,,, ,1000+,Éditeur logiciels de gestion agtech,2026-09-24
Keolis Haute-Marne,IT Services,Saint-Dizier,https://www.keolis.com,,, ,51-1000,Systèmes d'information transport,2026-09-24
Koesio Est,IT Services,Chaumont,https://koesio.com,,, ,11-50,ESN & services numériques,2026-09-24
Marle Group,Healthtech,Nogent,https://www.marlegroup.com,,, ,51-1000,Prothèses médicales & R&D/SI,2026-09-24
Miko / Unilever,Industry,Saint-Dizier,https://www.unilever.fr,,, ,51-1000,Équipe SI industrielle locale,2026-09-24
Onepoint,IT Services,Chaumont,https://www.groupeonepoint.com,,, ,1000+,ESN & conseil numérique,2026-09-24
Opac de la Haute-Marne,Public Sector,Chaumont,https://www.opac52.fr,,, ,51-1000,Équipe informatique locale,2026-09-24
Pack'R,Industry,Saint-Dizier,https://www.packr.com,,, ,51-1000,Machines industrielles & automatisme,2026-09-24
Prototypage Rapide,Deeptech,Nogent,https://www.nogentech.org,,, ,11-50,R&D & ingénierie logicielle,2026-09-24
Safran Ferrotech,Industry,Nogent,https://www.safran-group.com,,, ,1000+,Aéronautique & SI industriel,2026-09-24
Saint-Dizier (Direction des Systèmes d'Information),Public Sector,Saint-Dizier,https://www.saint-dizier.fr,,, ,51-1000,Équipe informatique locale,2026-09-24
Sogetrel Haute-Marne,Telecom,Saint-Dizier,https://www.sogetrel.fr,,, ,1000+,Infrastructures réseaux télécom,2026-09-24
Syndicat Mixte Haute-Marne Numérique,Telecom,Chaumont,https://www.haute-marne-numerique.fr,,, ,1-10,Infrastructures très haut débit,2026-09-24
Vetoquinol,Healthtech,Lure,https://www.vetoquinol.com,,, ,1000+,Équipe SI santé animale,2026-09-24
Xefi Chaumont,IT Services,Chaumont,https://www.xefi.fr,,, ,1-10,Services informatiques & cloud,2026-09-24
