name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Acolad Digital,it-services,Nancy,https://www.acolad.com,,,,51-1000,ESN & services numériques,2026-09-24
ADM Concept,software,Nancy,https://www.adm-concept.com,,,,11-50,Éditeur de logiciels de gestion,2026-09-24
Atos,it-services,Nancy,https://atos.net,,,,1000+,ESN & services informatiques,2026-09-24
Caisse Régionale du Crédit Agricole de Lorraine,banking,Nancy,https://www.credit-agricole.fr/ca-lorraine/,,,,1000+,Équipe informatique locale,2026-09-24
Capgemini,it-services,Nancy,https://www.capgemini.com,,,,1000+,ESN & conseil en technologie,2026-09-24
CGI France,it-services,Nancy,https://www.cgi.com/france,,,,1000+,ESN & conseil IT,2026-09-24
CHRU de Nancy (DSI),healthtech,Nancy,https://www.chru-nancy.fr,,,,1000+,Équipe informatique hospitalière,2026-09-24
Ciclad,software,Nancy,https://www.ciclad.fr,,,,11-50,Éditeur de logiciels,2026-09-24
Conseil Départemental de Meurthe-et-Moselle (DSI),public-sector,Nancy,https://www.meurthe-et-moselle.fr,,,,1000+,Équipe informatique locale,2026-09-24
Econocom,it-services,Nancy,https://www.econocom.com,,,,1000+,ESN & services numériques,2026-09-24
Eurofins Information Systems,healthtech,Nancy,https://www.eurofins.fr,,,,1000+,DSI & R&D logicielle,2026-09-24
Innelec,ecommerce,Nancy,https://www.innelec.com,,,,51-1000,Systèmes d'information & distribution,2026-09-24
Inria Centre Grand-Est,deeptech,Villers-lès-Nancy,https://www.inria.fr,,,,51-1000,Institut de recherche en numérique & IA,2026-09-24
Intelli'N,software,Nancy,https://www.intellin.fr,,,,11-50,Éditeur SaaS & solutions santé,2026-09-24
Keepeek,software,Nancy,https://www.keepeek.com,,,,11-50,Éditeur SaaS DAM & gestion médias,2026-09-24
Koesio Est,it-services,Nancy,https://koesio.com,,,,51-1000,ESN & services informatiques,2026-09-24
LORIA (CNRS / Inria / Université de Lorraine),deeptech,Villers-lès-Nancy,https://www.loria.fr,,,,51-1000,Laboratoire de recherche informatique,2026-09-24
Metropole du Grand Nancy (DSI),public-sector,Nancy,https://www.grandnancy.eu,,,,1000+,Équipe informatique locale,2026-09-24
Niji,it-services,Nancy,https://www.niji.fr,,,,51-1000,ESN & conseil transformation numérique,2026-09-24
Onepoint,it-services,Nancy,https://www.groupeonepoint.com,,,,1000+,ESN & conseil numérique,2026-09-24
Orange (Direction Régionale Lorraine),telecom,Nancy,https://www.orange.fr,,,,1000+,Infrastructures réseaux & IT,2026-09-24
Pharmagest (Groupe Equasens),software,Villers-lès-Nancy,https://equasens.com,,,,1000+,Éditeur de logiciels de santé,2026-09-24
Sogetrel,telecom,Nancy,https://www.sogetrel.fr,,,,1000+,Infrastructures réseaux & télécoms,2026-09-24
Sopra Steria,it-services,Nancy,https://www.soprasteria.com,,,,1000+,ESN & services du numérique,2026-09-24
SYS1,it-services,Nancy,https://www.sys1.fr,,,,11-50,ESN & infrastructures cloud,2026-09-24
Université de Lorraine (Direction du Numérique),public-sector,Nancy,https://www.univ-lorraine.fr,,,,1000+,Équipe informatique & R&D,2026-09-24
Vandoeuvre-lès-Nancy (DSI),public-sector,Vandœuvre-lès-Nancy,https://www.vandoeuvre.fr,,,,51-1000,Équipe informatique locale,2026-09-24
Xefi Nancy,it-services,Nancy,https://www.xefi.fr,,,,11-50,Services informatiques & cloud,2026-09-24
