name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Advanced MedioMatrix,cybersecurity|software,Metz,https://www.advanced-mediomatrix.com/,,,,,Datacenter souverain,2026-09-24
AIG,software,Metz,https://aig.fr/,,,,51-1000,Intégrateur de logiciels de gestion,2026-09-24
Astrée Software,industrial|software,Metz,https://www.astree-software.fr/,https://www.astree-software.fr/recrutement/,,,,Éditeur de logiciels MES,2026-09-24
AxioCode,software,Metz,https://www.axiocode.com/,,,,11-50,Développement logiciel sur mesure,2026-09-24
BPALC (Siège régional),banking,Metz,https://www.banquepopulaire.fr/bpalc/,,,,1000+,Équipe informatique locale,2026-09-24
Capgemini,software,Metz,https://www.capgemini.com/fr-fr/,https://www.capgemini.com/fr-fr/carrieres/,,,1000+,ESN,2026-09-24
CEA Tech,industrial,Metz,https://www.cea.fr/cea-tech/,https://www.emploi.cea.fr/,,,1000+,R&D technologique,2026-09-24
CSB-System,industrial|software,Metz,https://www.csb.com/fr/,,,,51-1000,Éditeur ERP agroalimentaire,2026-09-24
DATA-SUP,cybersecurity|software|telecom,Woippy,https://data-sup.fr/,,,,11-50,ESN et hébergeur,2026-09-24
Deskoin,fintech,Metz,https://www.deskoin.com/,,,,11-50,Plateforme crypto,2026-09-24
efluid,energy|software,Metz,https://www.efluid.com/,https://www.efluid.com/nous-rejoindre/,,,51-1000,Éditeur de logiciels énergie,2026-09-24
Eurosoft Plus,industrial|software,Forbach,https://www.eurosoft-plus.com/fr/home-francais/,,,,,Logiciels industriels et métiers,2026-09-24
FM Logistic,software|transport,Phalsbourg,https://www.fmlogistic.com/fr/,https://www.fmlogistic.com/fr/carrieres/,,,1000+,Équipe informatique groupe,2026-09-24
HEXANET,cybersecurity|software|telecom,Metz,https://www.hexanet.fr/,https://www.hexanet.fr/recrutement/,,,51-1000,Cloud et infogérance,2026-09-24
ID Réseau,cybersecurity|software|telecom,Sarreguemines,https://www.idreseau.com/,,,,11-50,Infrastructure et cybersécurité,2026-09-24
INGECAP,cybersecurity|healthtech|software,Metz,https://ingecap.fr/,,,,11-50,Hébergeur de données de santé,2026-09-24
ITS4U France,software,Metz,https://www.its4u-group.com/,https://www.its4u-group.com/carriere/,,,11-50,ESN,2026-09-24
Les Entrecodeurs,ai|software,Metz,https://www.lesentrecodeurs.com/,,,,1-10,Développement logiciel et IA,2026-09-24
Lucide,saas|software,Thionville,https://lucide.net/,,,,1-10,Éditeur de logiciels,2026-09-24
Micro Data,cybersecurity|software|telecom,Sarreguemines,https://www.microdata.fr/,,,,11-50,Intégrateur ERP et cybersécurité,2026-09-24
Neftis,software,Metz,https://www.neftis.com/,,,,11-50,Solutions web métiers,2026-09-24
OCI,cybersecurity|software|telecom,Norroy-le-Veneur,https://www.oci.fr/,https://www.oci.fr/recrutement/,,,51-1000,ESN,2026-09-24
Orange,telecom,Metz,https://www.orange.fr/,https://orange.jobs/,,,1000+,Équipes télécom locales,2026-09-24
Point-Soft,software,Behren-lès-Forbach,https://point-soft.fr/,,,,11-50,Éditeur de logiciels de gestion,2026-09-24
ProConsultant Informatique,software,Metz,https://www.proconsultant.net/,,,,11-50,Logiciels pour médias,2026-09-24
SC-Form Concept,saas|software,Metz,https://www.sc-form.com/,,,,11-50,Logiciels de gestion de formation,2026-09-24
SESAMm,ai|fintech,Metz,https://www.sesamm.com/,https://www.sesamm.com/company/careers/,,,51-1000,IA pour données financières,2026-09-24
SoluceTech,cybersecurity|software|telecom,Florange,https://www.solucetech.fr/,,,,1-10,Services informatiques,2026-09-24
Solutions Informatiques et Expertises,cybersecurity|software,Metz,https://www.sie-grandest.com/,,,,11-50,Infogérance et cybersécurité,2026-09-24
TECSOFT Informatique,software,Metz,http://www.tecsoft.fr/,,,,11-50,Éditeur de logiciels,2026-09-24
Two-i,ai|software,Metz,https://www.two-i.com/,,,,11-50,Analyse vidéo par IA,2026-09-24
UEM,energy|software|telecom,Metz,https://www.uem-metz.fr/,https://www.recrutement-uem-metz.fr/,,,1000+,Équipes numériques énergie,2026-09-24
Vivoka,ai|software,Metz,https://vivoka.com/,https://vivoka.com/careers/,,,11-50,IA vocale,2026-09-24
