name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
2CRSi,industrial|software,Strasbourg,https://2crsi.com,https://2crsi.com/fr/jobs,https://www.linkedin.com/company/2crsi/,,,Serveurs haute performance et infrastructure,2026-09-24
Actency,software,Strasbourg,https://www.actency.fr,https://www.actency.fr/decouvrez-nos-offres-demploi-en-france-et-linternational,https://www.linkedin.com/company/actency/,Drupal|React|GCP,,Développement web à forte expertise,2026-09-24
Agipi,fintech|banking,Schiltigheim,,,,,51-1000,DSI assurance,2026-09-23
ALE International,telecom|software,Illkirch-Graffenstaden,https://www.al-enterprise.com,https://jobs.al-enterprise.com,https://www.linkedin.com/company/alcatel-lucent-enterprise/,,,R&D télécom et logiciels,2026-09-24
Alteca,software,Schiltigheim,https://www.alteca.fr/,https://www.alteca.fr/offres/,https://www.linkedin.com/company/alteca/,,,ESN,2026-09-24
Atos,software|cybersecurity,Schiltigheim,https://atos.net/fr,https://atos.net/fr/carrieres,https://www.linkedin.com/company/atos/,,,ESN et services numériques,2026-09-24
BPCE Solutions Informatiques,banking|software,Schiltigheim,https://www.bpce-si.fr,https://www.bpce-si.fr/recrutement,https://www.linkedin.com/company/bpce-solutions-informatiques/,,,Informatique bancaire,2026-09-24
Bürkert France,industrial|software,Triembach-au-Val,https://www.burkert.fr,https://www.burkert.fr/fr/entreprise-et-carriere,https://www.linkedin.com/company/burkertfrance/,,,Automatisation et systèmes industriels,2026-09-24
Caisse d'Épargne Grand Est Europe,banking|software,Strasbourg,https://www.caisse-epargne.fr/grand-est-europe/,https://www.caisse-epargne.fr/grand-est-europe/recrutement/,https://www.linkedin.com/company/caisse-d-epargne-grand-est-europe/,,,Équipe informatique locale,2026-09-24
CALDUCEE,healthtech|saas,Oberhausbergen,https://www.calducee.fr,,,,,Logiciel de gestion médicale,2026-09-24
Capgemini,software,Schiltigheim,https://www.capgemini.com/fr-fr/,https://www.capgemini.com/fr-fr/carrieres/,https://www.linkedin.com/company/capgemini/,,,ESN,2026-09-24
CGI,software,Illkirch-Graffenstaden,https://www.cgi.com/france,https://www.cgi.com/france/fr-fr/carrieres,https://www.linkedin.com/company/cgi/,,,ESN,2026-09-24
Chargemap,energy|software,Strasbourg,https://chargemap.com,https://www.welcometothejungle.com/fr/companies/chargemap/jobs,https://www.linkedin.com/company/chargemap/,,,Plateforme de recharge électrique,2026-09-24
CITECH,software,Strasbourg,https://www.citech.fr/,https://jobs.smartrecruiters.com/CITECH,https://www.linkedin.com/company/citech-pro,,,ESN,2026-09-24
DEEP / Digora,software|cybersecurity,Strasbourg,https://www.deep.eu/fr/accueil,,https://www.linkedin.com/company/deep-eu/,,,Cloud et services managés,2026-09-24
Divalto,saas|software,Entzheim,https://www.divalto.com,https://www.divalto.com/carriere/,https://www.linkedin.com/company/divalto/,,,Éditeur ERP et CRM,2026-09-24
Dumarey Powerglide Strasbourg,industrial|software,Strasbourg,https://www.dumarey.com,https://www.dumarey.com/careers/,https://www.linkedin.com/company/dumarey-group/,,,Informatique industrielle automobile,2026-09-24
Easy-live,energy|software,Geispolsheim,https://www.easy-live.com,,,,,Supervision technique des bâtiments,2026-09-24
Electricité de Strasbourg,energy|software,Mundolsheim,https://www.es.fr,https://www.es.fr/recrutement,https://www.linkedin.com/company/electricite-de-strasbourg/,,,Systèmes énergétiques et numériques,2026-09-24
ESARIS Industries,industrial|software,Illkirch-Graffenstaden,https://www.esaris.fr,https://www.esaris.fr/fr/carrieres/offres-emploi.html,https://www.linkedin.com/company/esaris-industries/,,,R&D industrielle et systèmes embarqués,2026-09-24
Euro-Information,banking|software,Strasbourg,https://www.e-i.com,https://www.e-i.com/fr/recrutement,https://www.linkedin.com/company/euro-information/,,1000+,Informatique bancaire,2026-09-24
Groupama Grand Est,insurance|software,Schiltigheim,https://www.groupama.fr/regions/grand-est/,https://www.groupama.fr/regions/grand-est/recrutement/,https://www.linkedin.com/company/groupama-grand-est/,,,Équipe informatique locale,2026-09-24
Groupe ACESI,software|cybersecurity,Entzheim,https://www.acesi.fr,https://www.acesi.fr/recrutement/,https://www.linkedin.com/company/groupe-acesi/,,,Services IT et cloud,2026-09-24
Groupe SII,software|industrial,Strasbourg,https://sii-group.com/fr-FR,https://sii-group.com/fr-FR/carrieres,https://www.linkedin.com/company/groupe-sii/,,,ESN et ingénierie,2026-09-24
Hager,energy|industrial|software,Obernai,https://hagergroup.com,https://hagergroup.com/en/career,https://www.linkedin.com/company/hagergroup/,.NET|Azure,,Logiciels et objets connectés,2026-09-24
IDEMoov,software,Entzheim,https://www.idemoov.fr,,https://www.linkedin.com/company/idemoov/,,,Solutions IoT et données temps réel,2026-09-24
Inetum,software,Schiltigheim,https://www.inetum.com/fr,https://www.inetum.com/fr/carrieres,https://www.linkedin.com/company/inetum/,,,ESN,2026-09-24
Ippon Technologies,software,Strasbourg,https://fr.ippon.tech,https://fr.ippon.tech/ippon/recrutement-tech/,https://www.linkedin.com/company/ippon-technologies/,,,ESN cloud et data,2026-09-24
IRCAD France,healthtech|software,Strasbourg,https://www.ircad.fr,,https://www.linkedin.com/company/ircad/,,,Innovation chirurgicale et simulation,2026-09-24
Leanspace,saas|software,Schiltigheim,https://leanspace.io,https://leanspace.io/careers,https://www.linkedin.com/company/leanspace/,,,Logiciels pour opérations spatiales,2026-09-24
Nomios Strasbourg,cybersecurity,Entzheim,https://www.nomios.fr,https://www.nomios.fr/carrieres,https://www.linkedin.com/company/nomios/,,,Cybersécurité et réseaux,2026-09-24
NXO France,telecom|cybersecurity,Entzheim,https://www.nxo.eu,https://www.nxo.eu/carrieres,https://www.linkedin.com/company/nxo-france/,,,Réseaux et infrastructures sécurisées,2026-09-24
Objectware Strasbourg,software,Strasbourg,https://www.objectware.fr,https://www.objectware.fr/carrieres,https://www.linkedin.com/company/objectware/,,,ESN,2026-09-24
