name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
2LE,software,Mulhouse,https://www.2le.net/,,,,11-50,Développement de logiciels métier,2026-09-24
Actemium Mulhouse Plant Solutions,industrial,Ensisheim,https://www.actemium.fr/,,https://www.linkedin.com/company/actemium-mulhouse-plant-solutions-eie/,,1000+,Automatisation et robotique industrielle,2026-09-24
AMECS,cybersecurity,Mulhouse,,,,,1-10,Télécommunications et vidéo sécurisées,2026-09-24
Atoneo,software,Sausheim,https://www.atoneo.com/,,,,11-50,Applications et produits SaaS,2026-09-24
Bubendorff,industrial,Saint-Louis,https://www.bubendorff.com/,,,,1000+,R&D industrielle et objets connectés,2026-09-24
Clemessy,industrial,Mulhouse,https://www.clemessy.com/,https://www.eiffage.com/carrieres,,,1000+,Ingénierie et cybersécurité industrielles,2026-09-24
CMC Informatique,software,Mulhouse,https://www.cmc-informatique.fr/,,,,11-50,Développement d'outils numériques,2026-09-24
Constellium Neuf-Brisach,industrial,Biesheim,https://www.constellium.com/fr/sites-de-production/neuf-brisach,,,,1000+,Ingénierie industrielle aluminium,2026-09-24
Cryostar,industrial,Hésingue,https://cryostar.com/fr/,https://cryostar-careers.com/fr/,,,51-1000,Centre de recherche cryogénique,2026-09-24
DGS Création,software,Mulhouse,https://www.dgs-creation.fr/,,,,11-50,Logiciels métier et SaaS,2026-09-24
Diehl Metering,industrial,Saint-Louis,https://www.diehl.com/metering/en/,https://www.diehl.com/career/en/,,,1000+,IoT et comptage intelligent,2026-09-24
dsm-firmenich,healthtech,Village-Neuf,https://www.dsm-firmenich.com/fr-fr/home.html,https://careers.dsm-firmenich.com/,,,1000+,Site industriel et de recherche,2026-09-24
EL2i,software,Mulhouse,https://el2i.fr/,,,,11-50,Éditeur de logiciels immobiliers,2026-09-24
Endress+Hauser Flow France,industrial,Cernay,https://www.endress.com/en/endress-hauser-group/product-center-competencies/endress-hauser-flow/company-facts/flow-france,https://careers.endress.com/,,,1000+,Instrumentation et automatisation industrielle,2026-09-24
Fives Celes,industrial,Lautenbach,https://www.fivesgroup.com/,,,,51-1000,Technologies d'induction industrielle,2026-09-24
Fortil,industrial,Mulhouse,https://fortil.group/fr/,,,,1000+,Conseil en ingénierie technologique,2026-09-24
Informatique & Logiciels Colmar,cybersecurity,Colmar,https://www.ilcolmar.fr/,,https://www.linkedin.com/company/ilcolmar/,,11-50,Infrastructure IT et cybersécurité,2026-09-24
Liebherr Mining Equipment Colmar,industrial,Colmar,https://www.liebherr.com/,,,,1000+,Conception d'engins miniers,2026-09-24
Liebherr-France,industrial,Colmar,https://www.liebherr.com/,,,,1000+,Ingénierie et production industrielle,2026-09-24
MAHLE Behr France Rouffach,industrial,Rouffach,https://www.mahle.com/,https://www.jobs.mahle.com/france/fr/,,,1000+,Production et informatique locale,2026-09-24
Meranti,software,Mulhouse,https://www.meranti.fr/,,,,1-10,Développement logiciel et blockchain,2026-09-24
Novartis,healthtech,Huningue,https://www.novartis.com/fr-fr/,https://www.novartis.com/careers,,,1000+,Production biotechnologique,2026-09-24
NSC,industrial,Guebwiller,https://www.nsc-schlumberger.fr/,,,,51-1000,Conception de machines textiles,2026-09-24
OCI,software,Brunstatt-Didenheim,https://www.oci.fr/,https://www.oci.fr/recrutement/,,,51-1000,ESN et cybersécurité,2026-09-24
Ricoh Industrie France,industrial,Wettolsheim,https://www.ricoh.com/,,,,1000+,R&D et production technologique,2026-09-24
Schmidt Groupe,industrial,Lièpvre,https://www.groupe.schmidt/,,,,1000+,Équipes digitales et R&D,2026-09-24
SEGULA Technologies,industrial,Mulhouse,https://www.segulatechnologies.com/fr/,https://careers.segulatechnologies.com/,,,1000+,Ingénierie technologique,2026-09-24
SILMAT,industrial,Colmar,https://silmat-industrie.com/,,,,11-50,Automatisme et informatique industrielle,2026-09-24
Staff & Go,saas,Mulhouse,https://staffngo.com/,https://staffngo.com/recrutement/,https://www.linkedin.com/company/staffngo/,,51-1000,SaaS de gestion RH,2026-09-24
Stellantis,industrial,Sausheim,https://www.stellantis.com/fr,https://careers.stellantis.com/,,,1000+,Usine automobile automatisée,2026-09-24
Superba,industrial,Mulhouse,https://superba.com/,,,,51-1000,Robotique et machines textiles,2026-09-24
Systancia,cybersecurity,Sausheim,https://www.systancia.com/,https://www.systancia.com/carrieres/,,,51-1000,Éditeur de logiciels cybersécurité,2026-09-24
The Timken Company,industrial,Colmar,https://www.timken.com/,https://careers.timken.com/,,,1000+,Ingénierie de roulements industriels,2026-09-24
Tronox France,industrial,Thann,https://www.tronox.com/,https://www.tronox.com/careers/,,,1000+,Procédés chimiques industriels,2026-09-24
Veryboost,software,Mulhouse,https://www.veryboost.com/,,,,1-10,Logiciels SaaS et IA,2026-09-24
Vialis,telecom,Colmar,https://societe.vialis.net/,,https://www.linkedin.com/company/vialiscolmar/,,51-1000,Opérateur télécom local,2026-09-24
