name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Actarus,industrial,Saint-Dié-des-Vosges,http://www.actarus-sas.fr/,,https://www.linkedin.com/company/actarus-sas/,,11-50,Solutions de surveillance industrielle,2026-09-24
Action'Services,software,Épinal,https://actionservices.fr/,,https://www.linkedin.com/company/action-services-informatique/,,11-50,Intégrateur de logiciels BTP,2026-09-24
AM Services,cybersecurity,Saint-Étienne-lès-Remiremont,https://www.amservices.eu/,,,,,Infrastructures IT et cybersécurité,2026-09-24
CIRTES,industrial,Saint-Dié-des-Vosges,https://www.cirtes.com/,,https://www.linkedin.com/company/cirtes/,,,R&D en fabrication additive,2026-09-24
Clementine.fr,fintech,Épinal,https://www.clementine.fr/,,https://www.linkedin.com/company/compta-clementine/,,51-1000,Comptabilité en ligne,2026-09-24
CottonTail Logiciels,ai,Épinal,https://cottontail-logiciels.fr/,,,,1-10,Éditeur de logiciels IA,2026-09-24
Digitel Solutions,telecom,Épinal,https://digitel-solutions-lorraine.fr/,,https://www.linkedin.com/company/digitel-solutions/,,11-50,Télécom informatique et cybersécurité,2026-09-24
EUREKA Informatique,software,Saint-Dié-des-Vosges,https://www.eureka-informatique.fr/,,https://www.linkedin.com/company/eureka-informatique/,,1-10,Services IT et développement applicatif,2026-09-24
Fives Cryo,industrial,Golbey,https://www.fivesgroup.com/,,,,,Ingénierie cryogénique,2026-09-24
Gantois Industries,industrial,Saint-Dié-des-Vosges,https://www.gantois.com/,https://www.gantois.com/fr/recrutement.php,https://www.linkedin.com/company/gantois-industries-sas/,,,Industrie métallique innovante,2026-09-24
Garrett Motion,industrial,Thaon-les-Vosges,https://www.garrettmotion.com/,,,,51-1000,Site industriel et centre R&D,2026-09-24
Humbert Aviation,industrial,Ramonchamp,https://www.humbert-aviation.com/,,,,1-10,Conception et fabrication aéronautique,2026-09-24
Koolookoo,healthtech,Senones,https://koolookoo.com/,,https://www.linkedin.com/company/koolookoo/,,1-10,Jeu éducatif technologique,2026-09-24
Le Sur-Mesure Industriel,industrial,Thaon-les-Vosges,https://www.le-sur-mesure-industriel.fr/,,https://www.linkedin.com/company/le-sur-mesure-industriel/,,1-10,Automatisation et robotique industrielle,2026-09-24
Maille Verte Vosgienne,industrial,Saint-Nabord,https://www.maillevertevosgienne.fr/,,https://www.linkedin.com/company/mvvosges/,,11-50,R&D textiles techniques,2026-09-24
MVS,software,Sainte-Marguerite,https://www.mvs.fr/,,https://www.linkedin.com/company/mvs-sa/,,11-50,Éditeur de logiciels industriels,2026-09-24
Norske Skog Golbey,industrial,Golbey,https://norskeskog-golbey.com/,,https://www.linkedin.com/company/norske-skog-golbey/,,51-1000,Usine automatisée et ingénierie,2026-09-24
Numalliance,industrial,Saint-Michel-sur-Meurthe,https://www.numalliance.com/,,https://www.linkedin.com/company/numalliance/,,51-1000,Automatisation et R&D industrielle,2026-09-24
O-I France,industrial,Gironcourt-sur-Vraine,https://www.o-i.com/,https://www.o-i.com/careers/,,,51-1000,Technologies verrières industrielles,2026-09-24
SOTTYE,saas,Saint-Dié-des-Vosges,https://sottye.fr/,,https://www.linkedin.com/company/sottye/,,1-10,SaaS et logiciels métier,2026-09-24
SpinaBrain Software,software,Épinal,,,,,1-10,Simulateurs VR et IA,2026-09-24
Trane,industrial,Charmes,https://trane.eu/fr/,https://careers.tranetechnologies.com/,,,51-1000,Production et validation R&D,2026-09-24
WriteControl,saas,Épinal,https://www.writecontrol.fr/,,,,1-10,Logiciel d'écriture assistée,2026-09-24
