name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Antiane,cybersecurity|telecom,Baie-Mahault,https://www.antiane.com/,,https://www.linkedin.com/company/antiane,,,ESN ; infogérance et sécurité informatique,2026-09-21
Antilles Systèmes Expert,software,Baie-Mahault,https://asegp.com/,,,,,Logiciels de gestion et développement sur mesure,2026-09-21
C2i Outremer,software|cybersecurity,Baie-Mahault,https://www.c2i-outremer.com/,,,,,ESN ; développement et services managés,2026-09-21
CyberNova GP,software|cybersecurity,Le Moule,https://www.cybernova-gp.fr/,,,,,Infogérance et développement sur mesure,2026-09-21
Digital Smart Concept Innovations,software|ai|cybersecurity,Petit-Canal,https://digitalsmart.fr/,,,,,ESN ; développement web et mobile,2026-09-21
ES2I Caraïbes,software,Baie-Mahault,https://www.es2icaraibes.com/,,,,,Intégration de logiciels de gestion et maintenance informatique,2026-09-21
Exelcia,software,Baie-Mahault,https://www.exelcia-it.com/,https://www.exelcia-it.com/rejoignez-nous,,,11-50,ESN et éditeur de logiciels,2026-09-21
Exodata,software|cybersecurity,Baie-Mahault,https://www.exodata.fr/,https://www.exodata.fr/recrutement,,,,ESN ; cloud et infogérance,2026-09-21
iDOM Technologies,telecom|cybersecurity,Baie-Mahault,https://www.idom.fr/,,,,,Réseaux d'entreprise et services cloud,2026-09-21
IPEOS,software|cybersecurity,Baie-Mahault,https://www.ipeos.com/,,,,,ESN et éditeur de solutions open source,2026-09-21
Milhet Software Innovation,software,Sainte-Anne,https://www.milhet-software.com/,,,,,Développement et reprise d'applications web,2026-09-21
