name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Agence Web Guyane,software|ecommerce,Cayenne,https://agencewebguyane.fr/,,,,,Création de sites web et maintenance informatique,2026-09-21
Appznet,software|ecommerce,Cayenne,https://www.appznet.net/,,,,,Agence digitale ; développement web,2026-09-21
ARIAS Informatique,cybersecurity|telecom,Cayenne,https://www.ariasnet.com/,,,,,ESN ; réseaux et virtualisation Linux,2026-09-21
C2i Outremer,software|cybersecurity,Matoury,https://www.c2i-outremer.com/,,,,,ESN ; développement et services managés,2026-09-21
ES2I Caraïbes,software,Cayenne,https://www.es2icaraibes.com/,,,,,Intégration de logiciels de gestion et maintenance informatique,2026-09-21
Exodata,software|cybersecurity,Cayenne,https://www.exodata.fr/,https://www.exodata.fr/recrutement,,,,ESN ; cloud et infogérance,2026-09-21
iDOM Technologies,telecom|cybersecurity,Cayenne,https://www.idom.fr/,,,,,Réseaux d'entreprise et services cloud,2026-09-21
Infodom,software,Cayenne,https://www.infodom.com/,,,,,ESN ; intégration de systèmes et solutions cloud,2026-09-21
Mission Informatique,cybersecurity|telecom,Rémire-Montjoly,https://www.mi973.com/,,,,,Intégration et infogérance de systèmes et réseaux,2026-09-21
Nuage Com,software|ecommerce,Cayenne,https://nuagecom.com/,,,,,Agence de communication avec équipe de développement web,2026-09-21
Yanacom,software,Cayenne,https://yanaweb.net/,,,,,Pôle web Yanaweb ; création de sites et applications,2026-09-21
