name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
2SI Systèmes,software,Villeneuve-Saint-Germain,https://www.2si-systemes.fr/,,,,11-50,ESN et intégrateur,2026-09-22
A2MAC1,software,Hary,https://www.a2mac1.com/,,,,1000+,Plateforme de benchmarking automobile,2026-09-22
AIG,software,Saint-Quentin,https://a-i-g.net/,,,,1-10,Intégrateur de logiciels de gestion,2026-09-22
Aisne Plastiques Industrie,industrial,Château-Thierry,https://www.api.fr/,,,,,R&D en plasturgie de précision,2026-09-22
AISNEDIT,software,Saint-Quentin,https://www.aisnedit.fr/,,https://www.linkedin.com/company/aisnedit,,11-50,Solutions de gestion documentaire,2026-09-22
Alpha 3 Informatique,software,Soissons,https://www.alpha3.fr/,,https://fr.linkedin.com/company/alpha-3-informatique-picardie-champagne-ardenne,,11-50,ESN et infogérance,2026-09-22
BE-Ware Informatique,software,Saint-Quentin,https://www.beware.fr/,,,,,Développement logiciel et infogérance,2026-09-22
Biolabo,healthtech,Maizy,https://www.biolabo.fr/,,,,,Réactifs de diagnostic médical,2026-09-22
Capeoni,cybersecurity,Saint-Quentin,https://www.capeoni.fr/,,,,11-50,Cybersécurité et infogérance,2026-09-22
ClariLog Groupe,software,Saint-Quentin,https://www.clarilog.com/,https://www.clarilog.com/recrutement/,,,11-50,Éditeur de logiciels ITSM,2026-09-22
DEFTA,industrial,Essômes-sur-Marne,https://www.defta.eu/,,,,,Ingénierie automobile,2026-09-22
e-Progest,software,Laon,https://e-progest.fr/,,,,,ESN et cybersécurité,2026-09-22
EuroKera,industrial,Chierry,https://eurokera.com/,,https://www.linkedin.com/company/eurokera,,51-1000,R&D en vitrocéramique,2026-09-22
GEA Westfalia Separator,industrial,Château-Thierry,https://www.gea.com/fr/france/,,,,1000+,Ingénierie de procédés industriels,2026-09-22
Mob-ion,transport,Guise,https://mob-ion.com/,,https://www.linkedin.com/company/mob-ion/,,1-10,Conception de scooters électriques,2026-09-22
Nestlé,industrial,Boué,https://www.nestle.fr/,https://www.nestle.fr/jobs,,,1000+,Production nutrition infantile,2026-09-22
Novacel Optical,healthtech,Château-Thierry,https://novacel-optical.com/,,,,51-1000,R&D et fabrication optique,2026-09-22
NTN Transmissions Europe,industrial,Crézancy,https://www.ntn-snr.com/,,,,1000+,Ingénierie automobile,2026-09-22
Roquette,industrial,Vic-sur-Aisne,https://www.roquette.com/,https://www.roquette.com/careers,,,1000+,Centre expertise protéines végétales,2026-09-22
SERIAM,software,Saint-Quentin,https://seriam.fr/,,,,,ESN et logiciels de gestion,2026-09-22
Skeps AI,ai,Saint-Quentin,https://skeps.ai/,,https://www.linkedin.com/company/skeps-ai,,1-10,IA et IoT industriels,2026-09-22
SNCF Voyageurs,transport,Tergnier,https://www.sncf-voyageurs.com/,https://emploi.sncf.com/,,,1000+,Technicentre industriel ferroviaire,2026-09-22
Tereos,industrial,Origny-Sainte-Benoite,https://tereos.com/,https://tereos.com/fr/carrieres/,,,1000+,R&D et procédés agro-industriels,2026-09-22
Volkswagen Group France,transport,Villers-Cotterêts,https://volkswagengroup.fr/,https://volkswagengroup.fr/nous-rejoindre/,,,1000+,Siège et équipes numériques,2026-09-22
Vossloh Cogifer,transport,Fère-en-Tardenois,https://www.vossloh.com/fr/,https://www.vossloh.com/fr/carriere/,,,1000+,Ingénierie ferroviaire,2026-09-22
West Pharmaceutical Services,healthtech,Le Nouvion-en-Thiérache,https://www.westpharma.com/,https://careers.westpharma.com/,,,1000+,R&D dispositifs pharmaceutiques,2026-09-22
XEFI Saint-Quentin,software,Saint-Quentin,https://www.xefi.fr/fr/agence/xefi-saint-quentin/,,,,,ESN et infogérance,2026-09-22
Yamaha Motor Manufacturing Europe,industrial,Saint-Quentin,https://www.yamaha-motor.eu/fr/fr/,,,,1000+,R&D et production de deux-roues,2026-09-22
Zehnder Group,industrial,Vaux-Andigny,https://www.zehnder.fr/fr,,,,1000+,R&D systèmes thermiques,2026-09-22
