name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Accenture,software,Lille,https://www.accenture.com/fr-fr,https://www.accenture.com/fr-fr/careers,,,1000+,Conseil et services numériques,2026-09-22
Access IT,software,Villeneuve-d'Ascq,https://www.access-it.fr/,,,,11-50,ESN spécialisée Microsoft,2026-09-22
ACSSI,software,Villeneuve-d'Ascq,https://www.acssi.fr/,,,,51-1000,ESN data et cloud,2026-09-22
ADEO,ecommerce,Ronchin,https://www.adeo.com/,https://www.adeo.com/carrieres/,,,1000+,Équipes digitales du groupe,2026-09-22
Advens,cybersecurity,Lille,https://www.advens.com/,https://www.advens.com/carrieres/,,,51-1000,Cybersécurité,2026-09-22
Alstom,transport,Crespin,https://www.alstom.com/fr,https://jobsearch.alstom.com/,,,1000+,Ingénierie ferroviaire,2026-09-22
Ankama,gaming,Roubaix,https://www.ankama.com/,https://jobs.ankama.com/,,,51-1000,Studio de jeux vidéo,2026-09-22
ArcelorMittal,industrial,Dunkerque,https://france.arcelormittal.com/,https://careers.arcelormittal.com/,,,1000+,Ingénierie industrielle et numérique,2026-09-22
Atos,software,Lille,https://atos.net/fr/,https://atos.net/fr/carrieres,,,1000+,ESN,2026-09-22
Auchan Retail,ecommerce,Villeneuve-d'Ascq,https://www.auchan-retail.com/,https://auchan-recrute.fr/,,,1000+,Équipes digitales du groupe,2026-09-22
Bonduelle,industrial,Villeneuve-d'Ascq,https://www.bonduelle.com,,,,,Équipe informatique groupe,2026-09-25
Boulanger,ecommerce,Lesquin,https://www.boulanger.com/,https://www.boulanger-recrute.com/,,,1000+,Équipes produit et e-commerce,2026-09-22
Capgemini,software,Lille,https://www.capgemini.com/fr-fr/,https://www.capgemini.com/fr-fr/carrieres/,,,1000+,ESN et lab innovation retail,2026-09-22
Cegedim Business Services,software,Lille,https://www.cegedim-business-services.com/,https://careers.cegedim.com/,,,1000+,Éditeur de logiciels de gestion,2026-09-22
Cegid,software,Wasquehal,https://www.cegid.com,,,,,Éditeur de logiciels de gestion,2026-09-25
CGI,software,Lille,https://www.cgi.com/france/fr-fr,https://www.cgi.com/france/fr-fr/carrieres,,,1000+,ESN,2026-09-22
