name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
ACC,energy,Billy-Berclau,https://www.acc-emotion.com/,https://careers.acc-emotion.com/,,,1000+,Gigafactory de batteries,2026-09-22
Actemium Douvrin Manufacturing,industrial,Douvrin,https://www.actemium.fr/entreprise/actemium-douvrin-manufacturing/,https://jobs.vinci.com/,,,51-1000,Automatisation et informatique industrielle,2026-09-22
Alcatel Submarine Networks,telecom,Calais,https://www.asn.com/,https://www.asn.com/careers/,,,1000+,Câbles sous-marins et fibre optique,2026-09-22
Aperam,industrial,Isbergues,https://www.aperam.com/,https://www.aperam.com/careers/,,,1000+,Métallurgie avancée,2026-09-22
Arc France,industrial,Arques,https://www.arc-intl.com/,https://careers.arc-intl.com/,,,1000+,R&D verrière,2026-09-22
ARTELEC,industrial,Douvrin,https://artelec-sarl.com/,,https://fr.linkedin.com/company/artelec-sarl,,11-50,Automatismes et supervision GTB,2026-09-22
Audace Digital Learning,software,Douvrin,https://www.audace-digital-learning.fr/,,https://fr.linkedin.com/company/audace-digital-learning,,11-50,Logiciels immersifs de formation,2026-09-22
Be'IT,software,Béthune,http://www.be-infotech.fr,,https://fr.linkedin.com/company/be-infotech,,11-50,ESN,2026-09-22
Claude Bernard,healthtech,Boulogne-sur-Mer,https://www.claudebernard.fr/,,,,51-1000,Éditeur de logiciels de santé,2026-09-22
DELZEN Group,industrial,Douvrin,https://www.delzen.fr/,,https://fr.linkedin.com/company/delzen-group,,51-1000,Composants pour batteries connectées,2026-09-22
DTI,software,Liévin,https://www.dtinformatique-avis.fr/,,https://fr.linkedin.com/company/dti-service-informatique,,,Infogérance et infrastructures IT,2026-09-22
ELECTROMER Saint-Omer,industrial,Campagne-lès-Wardrecques,https://etn.fr/,,https://fr.linkedin.com/company/electromer-saint-omer,,11-50,Automatisme robotique et vision,2026-09-22
EnerSys,energy,Arras,https://www.enersys.com/fr/,https://jobs.enersys.com/,,,1000+,Technologies de stockage d'énergie,2026-09-22
EQIOM,industrial,Lumbres,https://www.eqiom.com/,https://www.eqiom.com/carrieres,,,1000+,Innovation industrielle bas carbone,2026-09-22
Getlink,transport,Coquelles,https://www.getlinkgroup.com/,https://jobs.getlinkgroup.com/,,,1000+,Systèmes ferroviaires et IT,2026-09-22
Groupe Atlantic,energy,Billy-Berclau,https://www.groupe-atlantic.fr/,https://recrutement.groupe-atlantic.fr/,,,1000+,Centre R&D pompes à chaleur,2026-09-22
HEP,software,Boulogne-sur-Mer,http://www.hep.fr/,,https://fr.linkedin.com/company/leshautsdecault,,1-10,Éditeur de progiciels,2026-09-22
IndeLab,industrial,Lapugnoy,http://www.indelab.fr/,,,,1-10,Fablab et prototypage industriel,2026-09-22
Ingredia,industrial,Arras,https://www.ingredia.com/,https://www.ingredia.com/carrieres/,,,51-1000,R&D ingrédients laitiers,2026-09-22
IRIS Informatique,software,Douvrin,http://www.iris-it.eu/,,https://fr.linkedin.com/company/iris-informatique,,51-1000,Services et cycle de vie IT,2026-09-22
Kongruence,software,Lens,http://kongruence.fr,,https://fr.linkedin.com/company/kongruence-sas,,1-10,Logiciels métiers sur mesure,2026-09-22
La Fibre Numérique 59 62,telecom,Arras,http://lafibrenumerique5962.fr,,https://fr.linkedin.com/company/la-fibre-num-rique-59-62,,1-10,Opérateur public de services numériques,2026-09-22
LFB,healthtech,Arras,https://www.groupe-lfb.com/,https://www.groupe-lfb.com/carrieres/,,,1000+,Bioproduction pharmaceutique,2026-09-22
McCain Foods,industrial,Harnes,https://www.mccain.fr/,https://careers.mccain.com/,,,1000+,Ingénierie agro-industrielle,2026-09-22
NORGAY SMB,software,Arras,https://ase2i-norgaysmb.fr/,,https://fr.linkedin.com/company/norgay-smb,,11-50,ESN et cybersécurité,2026-09-22
ODC,software,Saint-Martin-Boulogne,https://odc.fr/,https://odc.fr/recrutement,https://fr.linkedin.com/company/odc-performance-digitale,,11-50,ESN et intégration ERP,2026-09-22
Roquette,industrial,Lestrem,https://www.roquette.com/,https://www.roquette.com/careers,,,1000+,Centre mondial de R&D,2026-09-22
Socarenam,industrial,Boulogne-sur-Mer,https://www.socarenam.fr/,,,,51-1000,Ingénierie navale,2026-09-22
Stellantis,industrial,Douvrin,https://www.stellantis.com/fr,https://careers.stellantis.com/,,,1000+,Ingénierie automobile et batteries,2026-09-22
Valeo,industrial,Étaples-sur-Mer,https://www.valeo.com/fr/,https://www.valeo.com/fr/carrieres/,,,1000+,R&D mobilité électrique,2026-09-22
