name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Actemium Abbeville,industrial,Abbeville,https://www.actemium.fr/implantations/actemium-abbeville/presentation/,https://jobs.vinci.com/,,,51-1000,Automatisme et informatique industrielle,2026-09-22
Actemium Amiens,industrial,Amiens,https://www.actemium.fr/implantations/actemium-amiens/presentation/,https://jobs.vinci.com/,,,51-1000,Automatisme robotique et MES,2026-09-22
Airbus Atlantic,industrial,Méaulte,https://www.airbus.com/fr/products-services/commercial-aircraft/airframes/airbus-atlantic,https://www.airbus.com/en/careers,,,1000+,R&D aéronautique et robotique,2026-09-22
Awelty,software,Amiens,https://www.awelty.fr/,,https://fr.linkedin.com/company/awelty,,11-50,Éditeur de solutions web et IA,2026-09-22
Axians,telecom,Camon,https://www.axians.fr/,https://jobs.vinci.com/,,,1000+,Cloud réseaux et cybersécurité,2026-09-22
Decayeux,industrial,Feuquières-en-Vimeu,https://www.decayeux.com/,,,,51-1000,R&D systèmes connectés et sécurité,2026-09-22
DETECTIT,cybersecurity,Dury,https://www.detectit.fr/fr,,https://fr.linkedin.com/company/detectit,,1-10,Cybersécurité et infrastructures IT,2026-09-22
DevByStep,software,Amiens,https://devbystep.fr/,,https://fr.linkedin.com/company/devbystep,,1-10,Développement de logiciels métiers,2026-09-22
Evolucare,healthtech,Villers-Bretonneux,https://www.evolucare.com/fr/,,https://fr.linkedin.com/company/groupe-evolucare,,51-1000,Éditeur de logiciels de santé,2026-09-22
FAVI,industrial,Hallencourt,https://www.favi.com/,,,,51-1000,R&D fonderie et mobilité électrique,2026-09-22
H2air,energy,Amiens,https://h2air.fr/,https://h2air.fr/nous-rejoindre.html,,,51-1000,Ingénierie des énergies renouvelables,2026-09-22
HAXES,cybersecurity,Amiens,https://www.haxes.com/,,,,11-50,Infogérance et cybersécurité,2026-09-22
Idéation Informatique,software,Villers-Bretonneux,https://www.ideation.fr,,https://fr.linkedin.com/company/ideationinformatique,,11-50,Éditeur et ESN,2026-09-22
Innovafeed,industrial,Nesle,https://innovafeed.com/,,,,51-1000,Biotechnologie et usine automatisée,2026-09-22
Innovation Conseil,software,Amiens,https://www.innovationconseil.fr,,https://fr.linkedin.com/company/innovationconseil,,1-10,Développement logiciel et ingénierie,2026-09-22
Koesio,software,Longueau,https://koesio.com/agence/amiens-koesio-nord-ouest/,,,,1000+,ESN et transformation numérique,2026-09-22
Manaps,cybersecurity,Amiens,https://www.manaps.com,,https://fr.linkedin.com/company/manaps,,11-50,Services managés et cybersécurité,2026-09-22
Metarom,industrial,Boves,https://metarom.eu/,,,,51-1000,Centre R&D arômes,2026-09-22
NilObstat,software,Amiens,https://www.nilobstat.com/,,,ASP.NET; PHP; Symfony; Umbraco,11-50,Développement web et e-commerce,2026-09-22
Picardie Informatique,software,Amiens,http://www.picardie-informatique.fr,,https://fr.linkedin.com/company/picardie-informatique,,11-50,ESN et développement applicatif,2026-09-22
PLUG IT,software,Ailly-sur-Noye,http://www.plug-it.com,,https://fr.linkedin.com/company/plug-it-amiens,,11-50,Cloud privé et infrastructures,2026-09-22
Procter & Gamble,industrial,Amiens,https://fr.pg.com/,https://www.pgcareers.com/,,,1000+,Usine fortement automatisée,2026-09-22
Tereos,industrial,Nesle,https://www.tereos.com/,https://careers.tereos.com/,,,1000+,Ingénierie amidonnière,2026-09-22
TIAMAT,energy,Amiens,https://www.tiamat-energy.com/,,,,11-50,Batteries sodium-ion,2026-09-22
Ubiquité Services,software,Amiens,https://ubiquite-services.fr/,,https://fr.linkedin.com/company/ubiquit%C3%A9-services,,1-10,Réalité augmentée industrielle,2026-09-22
Unither Pharmaceuticals,healthtech,Amiens,https://www.unither-pharma.com/,,,,1000+,Développement et production pharmaceutique,2026-09-22
Valeo,industrial,Amiens,https://www.valeo.com/fr/,https://www.valeo.com/fr/carrieres/,,,1000+,Technologies de propulsion automobile,2026-09-22
Verescence,industrial,Mers-les-Bains,https://verescence.com/fr/,,,,1000+,Centre mondial R&D verrière,2026-09-22
Wabtec,transport,Amiens,https://www.wabteccorp.com/,https://careers.wabtec.com/,,,1000+,Ingénierie ferroviaire,2026-09-22
XEFI Amiens,software,Amiens,https://agences.xefi.com/fr/hauts-de-france/somme/amiens/xefi-amiens-245,,,,1000+,ESN et cybersécurité,2026-09-22
