name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
AB Tasty,saas|software,Paris,https://www.abtasty.com/,,,,,Optimisation de l'expérience numérique,2026-09-24
Aircall,saas|telecom,Paris,https://aircall.io/,,,,,Téléphonie cloud,2026-09-24
Alan,healthtech|insurance,Paris,https://alan.com/,,,,,Assurance santé numérique,2026-09-24
Algolia,saas|software,Paris,https://www.algolia.com/,,,,,Moteur de recherche SaaS,2026-09-24
Alice & Bob,deeptech,Paris,https://alice-bob.com,,,,,Informatique quantique,2026-09-25
Alma,fintech,Paris,https://almapay.com/,,,,,Paiement fractionné,2026-09-24
Ankorstore,ecommerce|saas,Paris,https://www.ankorstore.com/,,,,,Marketplace B2B,2026-09-24
Aqemia,ai|healthtech,Paris,https://aqemia.com,,,,,IA pour la découverte de médicaments,2026-09-25
Artefact,ai|software,Paris,https://www.artefact.com/,,,,,Data et IA,2026-09-24
Back Market,ecommerce,Paris,https://www.backmarket.fr/,,,,,Marketplace de produits reconditionnés,2026-09-24
Batch,saas|software,Paris,https://batch.com/,,,,,Plateforme d'engagement client,2026-09-24
Believe,software,Paris,https://www.believe.com/,,,,,Plateforme musicale numérique,2026-09-24
Bioptimus,ai|healthtech,Paris,https://www.bioptimus.com,,,,,Modèles fondamentaux pour la biologie,2026-09-25
BlaBlaCar,transport,Paris,https://www.blablacar.fr/,,,,,Plateforme de mobilité,2026-09-24
Botify,saas|software,Paris,https://www.botify.com/,,,,,SaaS d'optimisation web,2026-09-24
Brevo,saas|software,Paris,https://www.brevo.com/fr/,,,,,Plateforme CRM et marketing,2026-09-24
Brigad,saas|software,Paris,https://www.brigad.co/,,,,,Plateforme de mise en relation,2026-09-24
C12,deeptech,Paris,https://www.c12qe.com,,,,,Informatique quantique,2026-09-25
Contentsquare,ai|saas,Paris,https://contentsquare.com,,,,,Analyse de l'expérience numérique,2026-09-25
Criteo,ai|software,Paris,https://www.criteo.com/,,,,,Technologies publicitaires,2026-09-24
Cyberwatch,cybersecurity|software,Paris,https://cyberwatch.fr/,,,,,Éditeur de cybersécurité,2026-09-24
Dailymotion,software,Paris,https://www.dailymotion.com/,,,,,Plateforme vidéo,2026-09-24
Dashlane,cybersecurity|saas,Paris,https://www.dashlane.com,,,,,Gestionnaire de mots de passe,2026-09-25
Datadog,saas|software,Paris,https://www.datadoghq.com,,,,,Supervision cloud et sécurité,2026-09-25
Dataiku,ai|software,Paris,https://www.dataiku.com/,,,,,Plateforme data et IA,2026-09-24
Deepki,energy|saas,Paris,https://www.deepki.com/,,,,,SaaS de performance énergétique,2026-09-24
Deezer,software,Paris,https://www.deezer.com/,,,,,Streaming musical,2026-09-24
Dfns,cybersecurity|fintech,Paris,https://www.dfns.co/,,,,,Infrastructure de portefeuilles numériques,2026-09-24
Didomi,saas|software,Paris,https://www.didomi.io/,,,,,Gestion du consentement,2026-09-24
Doctolib,healthtech|saas,Paris,https://www.doctolib.fr/,,,,,Plateforme de santé,2026-09-24
Doctrine,saas|software,Paris,https://www.doctrine.fr/,,,,,Logiciel juridique,2026-09-24
Dust,ai|saas,Paris,https://dust.tt/,,,,,Agents IA pour entreprises,2026-09-24
EcoVadis,saas|software,Paris,https://ecovadis.com/,,,,,SaaS d'évaluation RSE,2026-09-24
Electra,energy|software,Paris,https://www.go-electra.com/,,,,,Recharge électrique,2026-09-24
Escape,cybersecurity|saas,Paris,https://escape.tech/,,,,,Tests de sécurité automatisés,2026-09-24
Filigran,cybersecurity|software,Paris,https://filigran.io/,,,,,Cyber threat intelligence,2026-09-24
Front,saas|software,Paris,https://front.com/,,,,,Plateforme de relation client,2026-09-24
Gameloft,gaming,Paris,https://www.gameloft.com/,,,,,Studio et éditeur de jeux,2026-09-24
Gatewatcher,cybersecurity,Paris,https://www.gatewatcher.com/,,,,,Éditeur de cybersécurité,2026-09-24
Getaround,software|transport,Paris,https://fr.getaround.com/,,,,,Plateforme d'autopartage,2026-09-24
Giskard,ai|saas,Paris,https://www.giskard.ai,,,,,Tests et sécurité des modèles IA,2026-09-25
GitGuardian,cybersecurity|saas,Paris,https://www.gitguardian.com/,,,,,Sécurité du code,2026-09-24
Google France,ai|software,Paris,https://about.google/intl/fr_fr/,,,,,Centre de recherche et ingénierie,2026-09-25
Greenly,energy|saas,Paris,https://greenly.earth/fr-fr,,,,,SaaS de comptabilité carbone,2026-09-24
H Company,ai|software,Paris,https://hcompany.ai/,https://hcompany.ai/careers,,,,IA agentique,2026-09-24
HarfangLab,cybersecurity|software,Paris,https://harfanglab.io/,,,,,Éditeur EDR,2026-09-24
Heetch,software|transport,Paris,https://www.heetch.com/,,,,,Plateforme de mobilité,2026-09-24
Homa,gaming|software,Paris,https://www.homagames.com/,,,,,Plateforme de jeux mobiles,2026-09-24
Hugging Face,ai|software,Paris,https://huggingface.co/,,,,,Plateforme open source IA,2026-09-24
Iliad,telecom,Paris,https://www.iliad.fr/,,,,,Télécommunications et cloud,2026-09-24
Implicity,healthtech|saas,Paris,https://www.implicity.com/,,,,,Télésurveillance cardiaque,2026-09-24
Kameleoon,ai|saas,Paris,https://www.kameleoon.com/,,,,,Optimisation et expérimentation numérique,2026-09-24
Kardinal,ai|transport,Paris,https://kardinal.ai/,,,,,Optimisation logistique par IA,2026-09-24
Karos,software|transport,Paris,https://www.karos.fr/,,,,,Covoiturage domicile-travail,2026-09-24
Kayrros,ai|energy,Paris,https://www.kayrros.com/,,,,,Intelligence climatique et énergétique,2026-09-24
Kili Technology,ai|saas,Paris,https://kili-technology.com/,,,,,Plateforme de données pour IA,2026-09-24
Klaxoon,saas|software,Paris,https://klaxoon.com/,,,,,Logiciel de collaboration,2026-09-24
Ledger,cybersecurity|fintech,Paris,https://www.ledger.com/,,,,,Sécurité des actifs numériques,2026-09-24
Lemonway,fintech,Paris,https://www.lemonway.com/,,,,,Paiement pour plateformes,2026-09-24
Lifen,healthtech|software,Paris,https://www.lifen.fr/,,,,,Logiciels de santé,2026-09-24
Lucca,saas|software,Paris,https://www.lucca.fr/,,,,,Éditeur de logiciels RH,2026-09-24
Lydia,fintech,Paris,https://www.lydia-app.com/,,,,,Services financiers mobiles,2026-09-24
Madbox,gaming,Paris,https://madbox.io/,,,,,Studio de jeux mobiles,2026-09-24
Malt,saas|software,Paris,https://www.malt.fr/,,,,,Marketplace de freelances,2026-09-24
ManoMano,ecommerce,Paris,https://www.manomano.fr/,,,,,Marketplace spécialisée,2026-09-24
Mirakl,ecommerce|saas,Paris,https://www.mirakl.com/,,,,,Plateforme de marketplace,2026-09-24
Mistral AI,ai|software,Paris,https://mistral.ai/,https://mistral.ai/careers/,,,,Modèles et plateforme IA,2026-09-24
MongoDB,saas|software,Paris,https://www.mongodb.com/,,,,,Plateforme de données,2026-09-24
Mooncard,fintech|saas,Paris,https://www.mooncard.co/,,,,,Gestion des dépenses professionnelles,2026-09-24
Nabla,ai|healthtech,Paris,https://www.nabla.com/,,,,,Assistant clinique IA,2026-09-24
Nickel,banking|fintech,Paris,https://nickel.eu/fr,,,,,Compte de paiement numérique,2026-09-24
NW,energy|software,Paris,https://www.nw-groupe.com/,,,,,Stockage et recharge électrique,2026-09-24
Octo Technology,software,Paris,https://www.octo.com/,,,,,Conseil et réalisation numérique,2026-09-24
October,fintech,Paris,https://october.eu/,,,,,Plateforme de financement,2026-09-24
Oh BiBi,gaming,Paris,https://ohbibi.com/,,,,,Studio de jeux mobiles,2026-09-24
Onepoint,software,Paris,https://www.groupeonepoint.com/,,,,,Conseil et transformation numérique,2026-09-24
OpenAI,ai|software,Paris,https://openai.com,,,,,Recherche et déploiement en IA,2026-09-25
OpenClassrooms,saas|software,Paris,https://openclassrooms.com/,,,,,Plateforme d'éducation numérique,2026-09-24
Ornikar,saas|transport,Paris,https://www.ornikar.com/,,,,,Auto-école numérique,2026-09-24
Owkin,ai|healthtech,Paris,https://www.owkin.com/,,,,,IA pour la recherche médicale,2026-09-24
Partoo,saas|software,Paris,https://www.partoo.co/,,,,,SaaS de présence locale,2026-09-24
Patrowl,cybersecurity|saas,Paris,https://patrowl.io/,,,,,Cybersécurité offensive automatisée,2026-09-24
PayFit,saas|software,Paris,https://payfit.com/fr/,,,,,Logiciel de paie et RH,2026-09-24
Pennylane,fintech|saas,Paris,https://www.pennylane.com/,,,,,Plateforme financière et comptable,2026-09-24
Photoroom,ai|software,Paris,https://www.photoroom.com/,,,,,Édition d'images par IA,2026-09-24
Pigment,saas|software,Paris,https://www.pigment.com/,,,,,Plateforme de planification,2026-09-24
Planity,saas|software,Paris,https://www.planity.com/,,,,,Logiciel de réservation,2026-09-24
Platform.sh,saas|software,Paris,https://platform.sh/,,,,,Plateforme cloud applicative,2026-09-24
Poolside,ai|software,Paris,https://poolside.ai/,,,,,IA pour le développement logiciel,2026-09-24
Powens,banking|fintech,Paris,https://www.powens.com/,,,,,Open banking,2026-09-24
Qonto,banking|fintech,Paris,https://qonto.com/fr,https://qonto.com/fr/careers/paris,,,,Services financiers professionnels,2026-09-24
Resilience,healthtech|software,Paris,https://www.resilience.care/,,,,,Suivi numérique en oncologie,2026-09-24
Riot,cybersecurity|saas,Paris,https://tryriot.com/,,,,,Sensibilisation à la cybersécurité,2026-09-24
S3NS,cybersecurity|saas,Paris,https://www.s3ns.io/,,,,,Cloud de confiance,2026-09-24
Salesforce,saas|software,Paris,https://www.salesforce.com/fr/,,,,,Éditeur CRM cloud,2026-09-24
Scaleway,saas|software,Paris,https://www.scaleway.com/,,,,,Cloud européen,2026-09-24
Sekoia.io,cybersecurity|saas,Paris,https://www.sekoia.io/,,,,,Plateforme de cybersécurité,2026-09-24
Shift Technology,ai|insurance,Paris,https://www.shift-technology.com/,,,,,IA pour l'assurance,2026-09-24
Shippeo,saas|transport,Paris,https://www.shippeo.com/,,,,,Visibilité transport en temps réel,2026-09-24
Skello,saas|software,Paris,https://www.skello.io/,,,,,Logiciel de gestion d'équipes,2026-09-24
Snowflake,saas|software,Paris,https://www.snowflake.com/,,,,,Plateforme cloud de données,2026-09-24
Sonio,ai|healthtech,Paris,https://sonio.ai/,,,,,IA pour l'échographie prénatale,2026-09-24
Sopra Steria,software,Paris,https://www.soprasteria.com/fr,https://careers.soprasteria.fr/,,,,ESN et éditeur de logiciels,2026-09-24
Sorare,gaming|software,Paris,https://sorare.com/,,,,,Jeu de fantasy sport,2026-09-24
Spendesk,fintech|saas,Paris,https://www.spendesk.com/,,,,,Gestion des dépenses professionnelles,2026-09-24
Stoïk,cybersecurity|insurance,Paris,https://www.stoik.io/,,,,,Cyberassurance technologique,2026-09-24
Swan,banking|fintech,Paris,https://www.swan.io/,,,,,Banking-as-a-Service,2026-09-24
Swile,fintech|saas,Paris,https://www.swile.co/,,,,,Solutions de paiement salarié,2026-09-24
Tehtris,cybersecurity|software,Paris,https://tehtris.com/,,,,,Éditeur XDR,2026-09-24
Tilak Healthcare,gaming|healthtech,Paris,https://www.tilakhealthcare.com/,,,,,Jeux médicaux numériques,2026-09-24
Treezor,banking|fintech,Paris,https://www.treezor.com/,,,,,Banking-as-a-Service,2026-09-24
Vestiaire Collective,ecommerce,Paris,https://www.vestiairecollective.com/,,,,,Marketplace de mode,2026-09-24
Voodoo,gaming|software,Paris,https://www.voodoo.io/,,,,,Jeux et applications mobiles,2026-09-24
Wallix,cybersecurity|software,Paris,https://www.wallix.com/,,,,,Sécurité des accès privilégiés,2026-09-24
Wandercraft,healthtech|industrial,Paris,https://www.wandercraft.eu/,,,,,Robotique médicale,2026-09-24
Welcome to the Jungle,saas|software,Paris,https://www.welcometothejungle.com/fr,,,,,Plateforme emploi et RH,2026-09-24
YesWeHack,cybersecurity|saas,Paris,https://www.yeswehack.com/,,,,,Plateforme de bug bounty,2026-09-24
Younited,fintech,Paris,https://younited.com/,,,,,Crédit numérique,2026-09-24
Yousign,saas|software,Paris,https://yousign.com/fr-fr,,,,,Signature électronique,2026-09-24
Zeplug,energy|software,Paris,https://www.zeplug.com/,,,,,Recharge de véhicules électriques,2026-09-24
