name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
AGLI,software,Champs-sur-Marne,https://www.agli.fr/,,,,,Éditeur de logiciels,2026-09-24
ALEA Prevention,saas|software,Champs-sur-Marne,http://www.alea-prevention.com/,,,,,Éditeur SaaS prévention,2026-09-24
Anata Consulting,ai|software,Champs-sur-Marne,https://www.anataconsulting.com/,,,,,Data et IA,2026-09-24
Axelor,saas|software,Champs-sur-Marne,https://axelor.com/fr/,https://axelor.com/fr/carrieres/,,,51-1000,Éditeur ERP low-code,2026-09-24
CELESTE,telecom,Champs-sur-Marne,https://www.celeste.fr/,https://www.celeste.fr/recrutement/,,,,Opérateur fibre et cloud,2026-09-24
Clever Technologies,software|telecom,Croissy-Beaubourg,https://www.clever.fr/,,,,,Logiciels de supervision et alertes,2026-09-24
Coros Space,industrial|software,Bussy-Saint-Georges,https://www.coros-space.com/,,,,,Informatique embarquée spatiale,2026-09-24
CyberSpector,cybersecurity,Champs-sur-Marne,https://cyberspector.com/,,,,,Cybersécurité,2026-09-24
CyLoKe,cybersecurity,Lagny-sur-Marne,https://cyloke.com/,,,,,Cybersécurité,2026-09-24
Deep Block,software,Chessy,https://deepblock.eu/,,,,,Éditeur blockchain et ESN,2026-09-24
DIPTICK,saas|software,Champs-sur-Marne,https://diptick.fr/,,,,,Logiciel de gestion culturelle,2026-09-24
EDF,energy|industrial,Moret-Loing-et-Orvanne,https://www.edf.fr/,https://www.edf.fr/edf-recrute,,,,Centre R&D Les Renardières,2026-09-24
Factory Systèmes,industrial|software,Champs-sur-Marne,https://www.factorysystemes.fr/,,,,,Logiciels et informatique industriels,2026-09-24
GEOBSYS,industrial,Champs-sur-Marne,https://geobsys.com/,,,,,Technologies de géolocalisation,2026-09-24
ICON Photonics,industrial|telecom,Champs-sur-Marne,https://icon-photonics.com/,,,,,Photonique et fibre optique,2026-09-24
ITCOZEN,software,Chessy,https://itcozen.com/,,,,,ESN,2026-09-24
ITQ Group,cybersecurity|industrial,Serris,https://itqgroup.fr/,,,,,Intégrateur de systèmes de sécurité,2026-09-24
Leviia,software,Montévrain,https://www.leviia.com/,https://www.leviia.com/recrutement/,,,,Cloud souverain,2026-09-24
METAVISIO,industrial,Pontault-Combault,https://www.metavisio.eu/,,,,,Conception informatique,2026-09-24
Mobeelity,saas|transport,Noisiel,https://mobeelity.io/,,,,,SaaS de mobilité,2026-09-24
MoHawk Cloud,software,Champs-sur-Marne,https://mohawkcloud.io/,,,,,Conseil et intégration cloud,2026-09-24
NETNOW,industrial|software,Émerainville,https://netnowiot.com/,,,,,Électronique et objets connectés,2026-09-24
Num-Evo,cybersecurity|software|telecom,Serris,https://www.num-evo.fr/fr/,,https://www.linkedin.com/company/num-evo/,,11-50,Services informatiques et cybersécurité,2026-09-24
NumConseils,cybersecurity,Champs-sur-Marne,https://www.numconseils.fr/,,,,,Cybersécurité,2026-09-24
Ohay.io,software,Champs-sur-Marne,https://ohay.io/,,,,,Infrastructure numérique souveraine,2026-09-24
Safran Aircraft Engines,industrial,Réau,https://www.safran-group.com/fr/societes/safran-aircraft-engines,https://www.safran-group.com/fr/emploi,,,,R&D et production aéronautique,2026-09-24
Safran Electrical & Power,industrial,Réau,https://www.safran-group.com/fr/societes/safran-electrical-power,https://www.safran-group.com/fr/emploi,,,,R&D industrielle aéronautique,2026-09-24
Safran Engineering Services,industrial,Moissy-Cramayel,https://www.safran-group.com/fr/societes/safran-engineering-services,https://www.safran-group.com/fr/emploi,,,,Bureau d'études aéronautique,2026-09-24
SENSAR,industrial|software,Champs-sur-Marne,http://www.sensar.fr/,,,,,Vision industrielle,2026-09-24
Youree,energy|software,Bussy-Saint-Georges,https://youree.io/,,,,,Recharge électrique intelligente,2026-09-24
