name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Air Liquide,energy|industrial,Les Loges-en-Josas,https://www.airliquide.com/fr,https://www.airliquide.com/fr/carrieres,,,1000+,Campus innovation Paris-Saclay,2026-09-23
Airbus Defence and Space,industrial|software,Élancourt,https://www.airbus.com/en/products-services/defence,https://www.airbus.com/en/careers,,,1000+,Systèmes spatiaux et logiciels,2026-09-23
Ardans,saas|software,Montigny-le-Bretonneux,https://www.ardans.fr/,https://www.ardans.fr/recrutement/,,Java|TypeScript|React|Angular|SQL Server,11-50,Éditeur de logiciels,2026-09-23
ArianeGroup,industrial|software,Les Mureaux,https://www.ariane.group/,https://www.ariane.group/carrieres/,,,1000+,R&D aérospatiale,2026-09-23
Arquus,industrial|software,Versailles,https://www.arquus-defense.com/,https://www.arquus-defense.com/fr/carrieres,,,1000+,R&D véhicules de défense,2026-09-23
Assystem,energy|industrial|software,Montigny-le-Bretonneux,https://www.assystem.com/fr/,https://www.assystem.com/fr/carrieres/,,,1000+,Ingénierie et solutions digitales,2026-09-23
ATERMES,industrial|software,Montigny-le-Bretonneux,https://www.atermes.fr/,https://www.atermes.fr/en/jobs/,,,51-1000,Systèmes et logiciels embarqués,2026-09-23
Bertin Technologies,industrial|software,Montigny-le-Bretonneux,https://www.bertin-technologies.com/,https://www.bertin-technologies.com/carrieres/,,,51-1000,Instrumentation et logiciels scientifiques,2026-09-23
Bouygues Construction,industrial|software,Guyancourt,https://www.bouygues-construction.com/,https://carrieres.bouygues-construction.com/,,,1000+,Équipes numériques locales,2026-09-23
Capgemini Engineering,industrial|software,Montigny-le-Bretonneux,https://www.capgemini.com/fr-fr/about-us/who-we-are/our-brands/capgemini-engineering/,https://www.capgemini.com/fr-fr/carrieres/,,,1000+,Ingénierie et R&D,2026-09-23
Colas Digital Solutions,software,Vélizy-Villacoublay,https://www.colas.com/fr,https://careers.colasjobs.com/,,,51-1000,Solutions digitales pour le BTP,2026-09-23
Crédit Agricole Payment Services,banking|fintech|software,Guyancourt,https://www.ca-paymentservices.com/,https://groupecreditagricole.jobs/,,,1000+,Technologies de paiement,2026-09-23
Dassault Systèmes,industrial|saas|software,Vélizy-Villacoublay,https://www.3ds.com/fr,https://www.3ds.com/fr/careers,,,1000+,Éditeur de logiciels industriels,2026-09-23
Egis,industrial|software,Guyancourt,https://www.egis-group.com/fr,https://jobs.egis-group.com/,,,1000+,Ingénierie et solutions numériques,2026-09-23
Eviden,ai|cybersecurity|software,Les Clayes-sous-Bois,https://eviden.com/fr-fr/,https://jobs.atos.net/eviden/,,,1000+,R&D calcul avancé et sécurité,2026-09-23
Exail,industrial|software,Saint-Germain-en-Laye,https://www.exail.com/,https://www.exail.com/careers,,,1000+,Robotique et systèmes autonomes,2026-09-23
Expleo,industrial|software,Montigny-le-Bretonneux,https://expleo.com/global/fr/,https://careers.expleo.com/,,,1000+,Ingénierie et logiciels embarqués,2026-09-23
FERCHAU France,industrial|software,Élancourt,https://www.ferchau.com/fr/fr,https://www.ferchau.com/fr/fr/carriere,,,51-1000,Conseil en ingénierie et IT,2026-09-23
GE HealthCare,healthtech|industrial|software,Buc,https://www.gehealthcare.fr/,https://careers.gehealthcare.com/,,,1000+,R&D imagerie médicale,2026-09-23
Groupe SII,ai|software,Vélizy-Villacoublay,https://sii-group.com/fr-FR,https://careers.sii-group.com/,,Java|Python,1000+,ESN,2026-09-23
JCDecaux,software,Plaisir,https://www.jcdecaux.fr/,https://www.jcdecaux.fr/talents,,Java|JavaScript,1000+,DSI et technologies publicitaires,2026-09-23
Kerlog,saas|software,Le Pecq,https://www.kerlog.com/,https://www.kerlog.com/nous-rejoindre/,,Java|SQL,11-50,Logiciels de gestion des déchets,2026-09-23
KNDS France,industrial|software,Versailles,https://www.knds.fr/,https://www.knds.fr/carrieres,,,1000+,Systèmes de défense et logiciels,2026-09-23
Médiane Système,industrial|software,Le Pecq,https://www.medianesysteme.com/,https://www.medianesysteme.com/recrutement/,,,51-1000,Systèmes embarqués et logiciels,2026-09-23
