name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Accor Tech & Digital,software,Évry-Courcouronnes,https://group.accor.com/,https://careers.accor.com/,,,1000+,Équipes tech et digitales,2026-09-23
Alten,industrial|software,Massy,https://www.alten.com/,https://www.alten.com/careers/,,,1000+,Conseil en ingénierie et IT,2026-09-23
Anritsu,industrial|telecom,Les Ulis,https://www.anritsu.com/fr-fr/,https://www.anritsu.com/en-us/about-anritsu/employment,,,1000+,Technologies de test télécom,2026-09-23
ArianeGroup,industrial|software,Vert-le-Petit,https://www.ariane.group/,https://www.ariane.group/carrieres/,,,1000+,R&D aérospatiale,2026-09-23
Arquus,industrial|software,Lisses,https://www.arquus-defense.com/,https://www.arquus-defense.com/fr/carrieres,,,1000+,Systèmes embarqués de défense,2026-09-23
Carrefour,ecommerce|software,Massy,https://www.carrefour.com/fr,https://recrute.carrefour.fr/,,,1000+,Équipes data et digitales,2026-09-23
Colt Technology Services,telecom,Les Ulis,https://www.colt.net/fr/,https://www.colt.net/careers/,,,1000+,Infrastructure télécom,2026-09-23
Danone Research,healthtech|industrial,Gif-sur-Yvette,https://www.danone.com/fr,https://careers.danone.com/,,,1000+,Centre mondial de recherche,2026-09-23
DATA4,saas|telecom,Marcoussis,https://www.data4group.com/fr/,https://www.data4group.com/fr/carrieres/,,,51-1000,Opérateur de centres de données,2026-09-23
Digital Security,cybersecurity,Bures-sur-Yvette,https://www.digitalsecurity.fr/,https://www.digitalsecurity.fr/recrutement/,,,51-1000,Cybersécurité,2026-09-23
EDF,ai|energy|software,Palaiseau,https://www.edf.fr/,https://www.edf.fr/edf-recrute,,,1000+,Centre R&D Paris-Saclay,2026-09-23
Enchanted Tools,ai|industrial|software,Palaiseau,https://enchanted.tools/,https://enchanted.tools/jobs/,,,51-1000,Robotique humanoïde,2026-09-23
Ericsson,telecom,Massy,https://www.ericsson.com/fr,https://www.ericsson.com/en/careers,,,1000+,R&D télécom,2026-09-23
Eviden,cybersecurity|software,Bruyères-le-Châtel,https://eviden.com/fr-fr/,https://jobs.atos.net/eviden/,,,1000+,Cybersécurité et calcul avancé,2026-09-23
Exotrail,industrial|software,Massy,https://www.exotrail.com/,https://careers.exotrail.com/jobs,,,51-1000,Logiciels et systèmes spatiaux,2026-09-23
FANUC France,industrial|software,Lisses,https://www.fanuc.eu/fr/fr,https://www.fanuc.eu/fr/fr/qui-sommes-nous/carrieres,,,1000+,Robotique industrielle,2026-09-23
Généthon,healthtech,Évry-Courcouronnes,https://www.genethon.fr/,https://www.genethon.fr/recrutement/,,,51-1000,R&D en thérapie génique,2026-09-23
Global Bioenergies,energy|industrial,Évry-Courcouronnes,https://www.global-bioenergies.com/,https://www.global-bioenergies.com/recrutement/,,,51-1000,Biotechnologies industrielles,2026-09-23
HORIBA France,industrial|software,Palaiseau,https://www.horiba.com/fra/,https://www.horiba.com/fra/careers/,,,1000+,Instrumentation et logiciels scientifiques,2026-09-23
IntegraGen,healthtech,Évry-Courcouronnes,https://www.integragen.com/,,,,11-50,Génomique et bio-informatique,2026-09-23
Ivalua,saas|software,Massy,https://www.ivalua.com/fr/,https://www.ivalua.com/fr/carrieres/,,,1000+,Éditeur de logiciels achats,2026-09-23
KERYS Software,cybersecurity|software,Palaiseau,https://www.kerys-software.com/,,,,11-50,Éditeur de logiciels,2026-09-23
Keysight Technologies,industrial|software|telecom,Les Ulis,https://www.keysight.com/fr/,https://jobs.keysight.com/,,,1000+,Test électronique et logiciels,2026-09-23
Lesaffre ALTAR,healthtech|industrial|software,Évry-Courcouronnes,https://www.lesaffre.com/,https://careers.lesaffre.com/,,Java|Docker|PostgreSQL|SQL Server,1000+,Plateforme biotech automatisée,2026-09-23
NcodiN,ai|industrial,Palaiseau,https://www.ncodin.com/,https://jobs.ashbyhq.com/ncodin,,,11-50,Photonique pour processeurs IA,2026-09-23
Nokia,software|telecom,Nozay,https://www.nokia.com/fr_fr/,https://www.nokia.com/about-us/careers/,,,1000+,R&D télécom et 5G,2026-09-23
PASQAL,ai|industrial|software,Massy,https://www.pasqal.com/,https://careers.pasqal.com/fr/jobs,,,51-1000,Informatique quantique,2026-09-23
Quandela,ai|industrial|software,Massy,https://www.quandela.com/fr/,https://www.quandela.com/about-us/careers/,,,51-1000,Informatique quantique photonique,2026-09-23
Safran Aircraft Engines,industrial|software,Évry-Courcouronnes,https://www.safran-group.com/fr/societes/safran-aircraft-engines,https://www.safran-group.com/fr/emplois,,,1000+,R&D aéronautique et SI,2026-09-23
Safran.AI,ai|industrial|software,Massy,https://www.safran-group.com/fr/societes/safran-ai,https://jobs.lever.co/safran-ai,,,51-1000,IA pour aéronautique et défense,2026-09-23
Sensome,healthtech|industrial,Massy,https://sensome.com/,https://sensome.com/careers/,,,11-50,Capteurs médicaux connectés,2026-09-23
Servier,healthtech|industrial,Gif-sur-Yvette,https://servier.com/,https://jobs.servier.com/,,,1000+,Institut de recherche Paris-Saclay,2026-09-23
SFR,cybersecurity|telecom,Les Ulis,https://www.sfr.fr/,https://recrutement.sfr.com/,,,1000+,Services réseaux et cybersécurité,2026-09-23
SOCOTEC,ai|industrial|software,Palaiseau,https://www.socotec.fr/,https://careers.socotec.com/,,,1000+,Équipe IA locale,2026-09-23
Thales,ai|cybersecurity|industrial|software,Palaiseau,https://www.thalesgroup.com/fr,https://careers.thalesgroup.com/,,Python,1000+,Centre de recherche technologique,2026-09-23
TotalEnergies,ai|energy|industrial,Palaiseau,https://totalenergies.com/fr,https://careers.totalenergies.com/fr,,,1000+,R&D énergie et IA,2026-09-23
Viridien,energy|industrial|software,Massy,https://www.viridiengroup.com/,https://www.viridiengroup.com/careers,,,1000+,Géosciences et calcul scientifique,2026-09-23
Visionairy,ai|saas|software,Palaiseau,https://www.visionairy.com/,,,,1-10,Inspection visuelle par IA,2026-09-23
W3TEL,software|telecom,Les Ulis,https://www.w3tel.com/,,,,11-50,Logiciels de téléphonie,2026-09-23
WALLIX,cybersecurity|saas|software,Massy,https://www.wallix.com/fr/,https://www.wallix.com/fr/carrieres/,,Go|Python|JavaScript|PostgreSQL,51-1000,Éditeur de cybersécurité,2026-09-23
