name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Accor Tech & Digital,software,Issy-les-Moulineaux,https://group.accor.com/,https://careers.accor.com/,,,,Équipe tech et data,2026-09-23
agap2IT,software,Boulogne-Billancourt,https://www.agap2-it.fr/,https://www.agap2-it.fr/nous-rejoindre/,,,51-1000,ESN,2026-09-23
Alten,software,Boulogne-Billancourt,https://www.alten.com/,https://www.alten.com/careers/,,,1000+,Conseil en ingénierie et IT,2026-09-23
Aneo,software,Boulogne-Billancourt,https://www.aneo.eu/,https://www.aneo.eu/carrieres/,,,51-1000,Conseil tech et data,2026-09-23
AXA,insurance,Nanterre,https://www.axa.fr/,https://recrutement.axa.fr/,,,1000+,Équipes informatiques locales,2026-09-23
Bleu,saas|cybersecurity,Puteaux,https://www.bleucloud.fr/,https://www.bleucloud.fr/nous-rejoindre/,,,51-1000,Cloud de confiance,2026-09-23
Boursobank,banking|fintech,Boulogne-Billancourt,https://www.boursobank.com/,https://www.boursobank-group.com/recrutement/,,,1000+,Banque en ligne,2026-09-23
Bouygues Telecom,telecom,Meudon,https://www.bouyguestelecom.fr/,https://www.bouyguestelecom.fr/recrutement,,,1000+,Télécom et équipes logicielles,2026-09-23
Canal+,software,Issy-les-Moulineaux,https://www.canalplusgroup.com/,https://jobs.canalplus.com/,,,1000+,Technologies média et streaming,2026-09-23
Capgemini,software,Issy-les-Moulineaux,https://www.capgemini.com/fr-fr/,https://www.capgemini.com/fr-fr/carrieres/,,,1000+,ESN,2026-09-23
Cegedim,software|healthtech,Boulogne-Billancourt,https://www.cegedim.fr/,https://careers.cegedim.com/,,,1000+,Logiciels pour la santé,2026-09-23
ChapsVision,ai|cybersecurity|software,Suresnes,https://www.chapsvision.com/,https://www.chapsvision.com/carrieres/,,,1000+,Éditeur data et IA,2026-09-23
CNP Assurances,insurance,Issy-les-Moulineaux,https://www.cnp.fr/,https://www.cnp.fr/le-groupe-cnp-assurances/nous-rejoindre,,,1000+,Équipes informatiques locales,2026-09-23
CO2 AI,ai|saas,Neuilly-sur-Seine,https://www.co2ai.com/,https://www.co2ai.com/careers,,,51-1000,SaaS de décarbonation,2026-09-23
Colibri,saas|software,Boulogne-Billancourt,https://www.colibri-snop.com/,,,,11-50,Logiciel de supply chain,2026-09-23
Dalet,software,Levallois-Perret,https://www.dalet.com/,https://www.dalet.com/careers/,,,51-1000,Technologies médias,2026-09-23
Dassault Aviation,industrial|software,Saint-Cloud,https://www.dassault-aviation.com/,https://carriere.dassault-aviation.com/,,,1000+,Logiciels aéronautiques,2026-09-23
Datanumia,energy|software,Courbevoie,https://www.datanumia.com/,https://www.datanumia.com/recrutement/,,AWS|Kubernetes|PostgreSQL,51-1000,Éditeur de logiciels énergétiques,2026-09-23
Davidson,software,Boulogne-Billancourt,https://www.davidson.fr/,https://www.davidson.fr/recrutement/,,,1000+,Conseil technologique,2026-09-23
Devoteam,software,Levallois-Perret,https://www.devoteam.com/fr/,https://careers.devoteam.com/,,,1000+,Conseil cloud et cybersécurité,2026-09-23
DQE,saas|software,Levallois-Perret,https://www.dqe.tech/,https://www.dqe.tech/carriere/,,,51-1000,Qualité des données,2026-09-23
Econocom,software,Puteaux,https://www.econocom.com/fr,https://www.econocom.com/fr/nous-rejoindre,,,1000+,Services numériques,2026-09-23
Euris,healthtech|saas|software,Boulogne-Billancourt,https://www.euris.com/,https://www.euris.com/recrutement/,,,11-50,Santé connectée,2026-09-23
Exclusive Networks,cybersecurity,Boulogne-Billancourt,https://www.exclusive-networks.com/fr/,https://www.exclusive-networks.com/careers/,,,1000+,Distribution cybersécurité,2026-09-23
Fortinet,cybersecurity,Boulogne-Billancourt,https://www.fortinet.com/fr,https://www.fortinet.com/corporate/careers,,,1000+,Cybersécurité,2026-09-23
Huawei France,telecom,Boulogne-Billancourt,https://www.huawei.com/fr/,,,,,R&D télécom et numérique,2026-09-25
IBM,it-services,Bois-Colombes,https://www.ibm.com/fr-fr,,,,,Cloud IA et services numériques,2026-09-25
IDEMIA,cybersecurity|software,Courbevoie,https://www.idemia.com/,https://www.idemia.com/careers,,,1000+,Identité numérique,2026-09-23
ILLUIN Technology,ai|software,Courbevoie,https://www.illuin.tech/,https://www.illuin.tech/carrieres/,,,51-1000,IA et développement logiciel,2026-09-23
Intersec,ai|software,Puteaux,https://www.intersec.com/,https://www.intersec.com/careers/,,,51-1000,Logiciels de données télécom,2026-09-23
InvestHub,fintech|saas,Neuilly-sur-Seine,https://www.investhub.cloud/,,,,11-50,SaaS pour le private equity,2026-09-23
ITINOV,software,Levallois-Perret,https://www.itinov.fr/,https://www.itinov.fr/recrutement/,,,11-50,ESN,2026-09-23
KERYS Software,cybersecurity|software,Issy-les-Moulineaux,https://www.kerys-software.com/,,,,11-50,Éditeur de logiciels,2026-09-23
Keyrus,ai|software,Levallois-Perret,https://keyrus.com/fr/fr,https://keyrus.com/fr/fr/carrieres,,,1000+,Conseil data et IA,2026-09-23
Kurmi Software,saas|software|telecom,Boulogne-Billancourt,https://www.kurmi-software.com/,https://www.kurmi-software.com/company/careers/,,,51-1000,Logiciels de communications unifiées,2026-09-23
MBDA France,industrial|software,Le Plessis-Robinson,https://www.mbda-systems.com/,https://www.mbda-systems.com/careers/,,C++,1000+,Logiciels de défense,2026-09-23
Memority,cybersecurity|saas|software,Puteaux,https://www.memority.com/,https://www.memority.com/careers/,,,51-1000,Éditeur de gestion des identités,2026-09-23
Microsoft,software,Issy-les-Moulineaux,https://www.microsoft.com/fr-fr/,https://careers.microsoft.com/,,,1000+,Logiciels et cloud,2026-09-23
ModuloTech,saas|software,Issy-les-Moulineaux,https://www.modulotech.fr/,,,,51-1000,Logiciels et applications mobiles,2026-09-23
Netatmo,software,Boulogne-Billancourt,https://www.netatmo.com/,https://www.netatmo.com/careers,,,51-1000,Objets connectés,2026-09-23
Odigo,saas|software,Boulogne-Billancourt,https://www.odigo.com/fr/,https://www.odigo.com/fr/carrieres/,,,1000+,Logiciel de centre de contact,2026-09-23
Orange,telecom,Issy-les-Moulineaux,https://www.orange.com/fr,https://orange.jobs/,,,1000+,Télécom et équipes logicielles,2026-09-23
Orange Cyberdefense,cybersecurity,Nanterre,https://www.orangecyberdefense.com/fr/,https://jobs.orangecyberdefense.com/,,,1000+,Cybersécurité,2026-09-23
Renault Group,industrial|software,Boulogne-Billancourt,https://www.renaultgroup.com/,https://www.renaultgroup.com/talents/,,,1000+,Logiciels et ingénierie automobile,2026-09-23
Sagemcom,industrial|software,Bois-Colombes,https://www.sagemcom.com/,https://www.sagemcom.com/fr/carrieres,,,1000+,R&D télécom et logiciels,2026-09-23
SAP,saas|software,Levallois-Perret,https://www.sap.com/france/,https://jobs.sap.com/,,,1000+,Éditeur de logiciels,2026-09-23
SCC France,software,Nanterre,https://france.scc.com/,https://careers.scc.com/fr/,,,1000+,Services numériques,2026-09-23
Schneider Electric,energy|industrial|software,Rueil-Malmaison,https://www.se.com/fr/fr/,https://www.se.com/fr/fr/about-us/careers/,,,1000+,R&D industrielle et logiciels,2026-09-23
Société Générale,banking,Puteaux,https://www.societegenerale.com/,https://careers.societegenerale.com/,,Java|Spring Boot|Docker|Kubernetes|PostgreSQL,1000+,Équipes informatiques locales,2026-09-23
Sopra Steria,software,Courbevoie,https://www.soprasteria.com/fr,https://www.soprasteria.com/fr/carrieres,,,1000+,ESN,2026-09-23
TD SYNNEX,software,Courbevoie,https://fr.tdsynnex.com/,https://careers.tdsynnex.com/,,,1000+,Solutions et distribution IT,2026-09-23
Thales,cybersecurity|industrial|software,Gennevilliers,https://www.thalesgroup.com/fr,https://careers.thalesgroup.com/,,,1000+,R&D industrielle et logicielle,2026-09-23
TotalEnergies,energy|software,Courbevoie,https://totalenergies.com/fr,https://careers.totalenergies.com/fr,,,1000+,Équipes numériques locales,2026-09-23
VIDAL,healthtech|software,Issy-les-Moulineaux,https://www.vidal.fr/,https://www.vidal.fr/recrutement.html,,,51-1000,Logiciels d'information médicale,2026-09-23
VINCI,industrial|software,Nanterre,https://www.vinci.com/,https://jobs.vinci.com/,,,1000+,Équipes informatiques locales,2026-09-23
VISEO,software,Boulogne-Billancourt,https://www.viseo.com/fr,https://www.viseo.com/fr/emplois-et-carrieres,,,1000+,ESN,2026-09-23
Visian,ai|software,Courbevoie,https://www.visian.fr/,https://www.visian.fr/nous-rejoindre/,,,51-1000,Conseil data et IA,2026-09-23
Warren Walter,software,Puteaux,https://www.warren-walter.com/,https://www.warren-walter.com/recrutement/,,,11-50,ESN et accessibilité numérique,2026-09-23
Withings,healthtech|software,Issy-les-Moulineaux,https://www.withings.com/fr/fr/,https://www.withings.com/fr/fr/careers,,,51-1000,Santé connectée,2026-09-23
Yxir,ai|saas|software,Puteaux,https://www.yxir.com/,,,,11-50,SaaS qualité industrielle,2026-09-23
