name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
2C Conseil,software|ai,Noisy-le-Grand,https://2cconseil.fr/,,https://www.linkedin.com/company/2cconseil/,,11-50,ESN et automatisation,2026-09-23
AFNOR,enterprise,Saint-Denis,https://www.afnor.org,,,,,Plateformes et services numériques,2026-09-25
Airbus Helicopters,industrial,Dugny,https://www.airbus.com/en/products-services/helicopters,https://www.airbus.com/en/careers,https://www.linkedin.com/company/airbus-helicopters/,,1000+,Maintenance et ingénierie aéronautique,2026-09-23
Alstom,transport|industrial|software,Saint-Ouen-sur-Seine,https://www.alstom.com/fr,https://jobsearch.alstom.com/,https://www.linkedin.com/company/alstom/,,1000+,Ingénierie et mobilité numérique,2026-09-23
Altametris,software|industrial,Saint-Denis,https://www.altametris.com/,https://www.altametris.com/nous-rejoindre/,https://www.linkedin.com/company/altametris/,Azure|Docker|Kubernetes,51-1000,Jumeaux numériques et données 3D,2026-09-23
Artelia,industrial,Saint-Ouen-sur-Seine,https://www.arteliagroup.com,,,,,Ingénierie et solutions numériques,2026-09-25
BNP Paribas,banking|fintech|software,Montreuil,https://group.bnpparibas/,https://group.bnpparibas/emploi-carriere,https://www.linkedin.com/company/bnp-paribas/,,1000+,Direction informatique groupe,2026-09-23
BNP Paribas Partners for Innovation,banking|software|cybersecurity,Montreuil,https://group.bnpparibas/,https://group.bnpparibas/emploi-carriere,https://www.linkedin.com/company/bnp-paribas-partners-for-innovation/,,51-1000,Production informatique bancaire,2026-09-23
CGI,software,Montreuil,https://www.cgi.com/france/fr-fr,https://www.cgi.com/france/fr-fr/carrieres,https://www.linkedin.com/company/cgi/,,1000+,ESN,2026-09-23
Chanel,industrial,Pantin,https://www.chanel.com/fr/,https://www.chanel.com/fr/carrieres/,https://www.linkedin.com/company/chanel/,,1000+,Innovation et production industrielle,2026-09-23
Coriance,energy|industrial,Noisy-le-Grand,https://www.groupe-coriance.fr/,https://www.groupe-coriance.fr/recrutement/,https://www.linkedin.com/company/groupe-coriance/,,51-1000,Ingénierie des réseaux énergétiques,2026-09-23
Dassault Falcon Service,transport|industrial,Le Bourget,https://www.dassaultfalconservice.com/,https://carriere.dassault-aviation.com/,https://www.linkedin.com/company/dassault-falcon-service/,,51-1000,Maintenance aéronautique et ingénierie,2026-09-23
Digital Essence,software,Montreuil,https://digitalessence.fr/,,https://www.linkedin.com/company/digital-essence-sas/,,1-10,Logiciels interactifs immersifs,2026-09-23
Digital Realty,software,Aubervilliers,https://www.digitalrealty.com/fr,https://www.digitalrealty.com/careers,https://www.linkedin.com/company/digitalrealty/,,1000+,Centres de données,2026-09-23
EasyVista,software|saas|ai,Noisy-le-Grand,https://www.easyvista.com/fr,https://www.easyvista.com/fr/carrieres,https://www.linkedin.com/company/easyvista/,,51-1000,Éditeur SaaS gestion IT,2026-09-23
EDF,energy|software,Saint-Denis,https://www.edf.fr/,https://www.edf.fr/edf-recrute,https://www.linkedin.com/company/edf/,,1000+,Ingénierie et équipes numériques,2026-09-23
Egis,transport|industrial|software,Montreuil,https://www.egis-group.com/fr,https://www.egis-group.com/fr/carrieres,https://www.linkedin.com/company/egis/,,1000+,Ingénierie et solutions numériques,2026-09-23
Enedis,energy|software,Noisy-le-Grand,https://www.enedis.fr/,https://www.enedis.fr/recrute,https://www.linkedin.com/company/enedis/,,1000+,Systèmes numériques énergétiques,2026-09-23
Equinix,software,Aubervilliers,https://www.equinix.fr/,https://careers.equinix.com/,https://www.linkedin.com/company/equinix/,,1000+,Centres de données,2026-09-23
France Travail (DSI),public-sector,Noisy-le-Grand,https://www.francetravail.fr,,,,,Équipe informatique nationale,2026-09-25
Generali France,insurance|software,Saint-Denis,https://www.generali.fr/,https://www.generali.fr/institutionnel/emploi-carriere/,https://www.linkedin.com/company/generali-france/,,1000+,Équipes informatiques assurance,2026-09-23
GRDF,energy|software,Saint-Denis,https://www.grdf.fr/,https://www.grdf.fr/institutionnel/travailler-chez-grdf,https://www.linkedin.com/company/grdf/,,1000+,Ingénierie et systèmes numériques,2026-09-23
Groupe ADP,transport|software,Le Bourget,https://www.parisaeroport.fr/,https://www.groupeadp.fr/fr/groupe/ressources-humaines,https://www.linkedin.com/company/groupe-adp/,,1000+,Technologies aéroportuaires,2026-09-23
Groupe ITM,telecom|software,Pantin,https://www.groupe-itm.com/,,https://www.linkedin.com/company/groupe-itm/,,11-50,Intégration IT et télécom,2026-09-23
Hermès,industrial,Pantin,https://www.hermes.com/fr/fr/,https://talents.hermes.com/,https://www.linkedin.com/company/hermes-group/,,1000+,Innovation et production industrielle,2026-09-23
Inetum,software,Saint-Ouen-sur-Seine,https://www.inetum.com/fr,https://www.inetum.com/fr/carrieres,https://www.linkedin.com/company/inetum/,,1000+,ESN,2026-09-23
InnovQube,software|saas|ai,Noisy-le-Grand,https://innovqube.com/,,https://www.linkedin.com/company/innovqube/,,11-50,Cloud IA et SaaS,2026-09-23
Jamespot,saas,Montreuil,https://www.jamespot.com,,,,,Éditeur de plateforme collaborative,2026-09-25
Kallys,software,Noisy-le-Grand,https://www.kallys.fr/,,https://www.linkedin.com/company/kallys/,,11-50,Services informatiques spécialisés,2026-09-23
Karoil,software|cybersecurity,Montreuil,https://www.karoil.fr/,,https://www.linkedin.com/company/karoil/,,11-50,Logiciels et cyber-accompagnement,2026-09-23
La Poste,software,Noisy-le-Grand,https://www.lapostegroupe.com/fr,https://www.laposterecrute.fr/,https://www.linkedin.com/company/groupe-la-poste/,,1000+,Systèmes d'information courrier,2026-09-23
Makersquad,software|saas,Montreuil,https://www.makersquad.fr/,,https://www.linkedin.com/company/makersquad/,Python|Docker|Kubernetes|PostgreSQL,1-10,Studio de développement produit,2026-09-23
Nexpublica,software,Saint-Ouen-sur-Seine,https://www.nexpublica.com/,https://www.nexpublica.com/carrieres,https://www.linkedin.com/company/nexpublica/,,1000+,Éditeur de logiciels,2026-09-23
RATP Smart Systems,transport|software,Noisy-le-Grand,https://www.ratpsmartsystems.com/,https://www.ratp.fr/carrieres,https://www.linkedin.com/company/ratpsmartsystems/,,51-1000,Logiciels de mobilité,2026-09-23
Réseau Local,gaming|telecom,Montreuil,https://www.reseau-local.fr/,,https://www.linkedin.com/company/reseau-local/,,11-50,Technologies gaming et esport,2026-09-23
RTE,energy,Saint-Denis,https://www.rte-france.com,,,,,Systèmes numériques énergétiques,2026-09-25
Saint-Gobain Research Paris,industrial,Aubervilliers,https://www.sgr-paris.saint-gobain.com/,https://joinus.saint-gobain.com/,https://www.linkedin.com/company/saint-gobain-research-paris/,,51-1000,Centre R&D industrielle,2026-09-23
Samsung Electronics France,telecom|industrial,Saint-Ouen-sur-Seine,https://www.samsung.com/fr/,https://www.samsung.com/fr/about-us/careers/,https://www.linkedin.com/company/samsung-electronics/,,1000+,Technologies électroniques et mobiles,2026-09-23
SFR,telecom,Saint-Denis,https://www.sfr.com,,,,,Télécom et équipes numériques,2026-09-25
Showroomprivé,ecommerce|software,Saint-Denis,https://www.showroomprive.com/,https://careers.showroomprive.com/,https://www.linkedin.com/company/showroomprive.com/,,1000+,Équipes tech e-commerce,2026-09-23
Siemens,industrial,Saint-Denis,https://www.siemens.com/fr/fr.html,,,,,R&D et solutions numériques,2026-09-25
SNCF Connect & Tech,transport|software,Saint-Denis,https://www.sncf-connect.com,,,,,Équipes produit et ingénierie,2026-09-25
SNCF Réseau,transport|software,Saint-Denis,https://www.sncf-reseau.com/fr,https://emploi.sncf.com/,https://www.linkedin.com/company/sncf-reseau/,,1000+,Ingénierie et systèmes ferroviaires,2026-09-23
SYSTRA,transport|software,Saint-Denis,https://www.systra.com,,,,,Ingénierie et systèmes de transport,2026-09-25
TDF,telecom,Romainville,https://www.tdf.fr,,,,,Infrastructures de diffusion numérique,2026-09-25
Ubisoft Paris,gaming|software,Montreuil,https://www.ubisoft.com/fr-fr/studio/paris,https://www.ubisoft.com/fr-fr/company/careers/locations/paris-area/ubisoft-paris,https://www.linkedin.com/company/ubisoft/,,51-1000,Studio de jeux vidéo,2026-09-23
Valeo,transport|industrial|software,Bobigny,https://www.valeo.com/fr/,https://valeo.wd3.myworkdayjobs.com/fr-FR/valeo_jobs,https://www.linkedin.com/company/valeo/,,1000+,Centre R&D automobile,2026-09-23
Veepee,ecommerce|software,Saint-Denis,https://www.veepee.com/,https://careers.veepee.com/,https://www.linkedin.com/company/veepee/,,1000+,Équipes tech e-commerce,2026-09-23
Veolia,energy|software,Aubervilliers,https://www.veolia.com/fr,https://jobs.veolia.com/,https://www.linkedin.com/company/veolia-environnement/,,1000+,Équipes innovation et numériques,2026-09-23
VIXLO,software,Pantin,https://vixlotech.com/,,https://www.linkedin.com/company/vixlo/,,51-1000,Développement logiciel,2026-09-23
