name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
10positif,software|saas,Saint-Denis,https://www.10positif.com/,https://www.10positif.com/carrieres,,,,Développement de logiciels métier et plateformes SaaS,2026-09-21
Antiane,cybersecurity|telecom,Saint-Denis,https://www.antiane.com/,,https://www.linkedin.com/company/antiane,,,ESN ; infogérance et sécurité informatique,2026-09-21
DOMTOM INFO SERVICES,software,Saint-Pierre,https://dis.re/,,,,,ESN ; infogérance et développement de progiciels sur mesure,2026-09-21
Exelcia,software,Saint-Denis,https://www.exelcia-it.com/,https://www.exelcia-it.com/rejoignez-nous,,,11-50,ESN et éditeur de logiciels,2026-09-21
Exodata,software|cybersecurity,Saint-Denis,https://www.exodata.fr/,https://www.exodata.fr/recrutement,,,,ESN ; cloud et infogérance,2026-09-21
iDOM Technologies,telecom|cybersecurity,Saint-Denis,https://www.idom.fr/,,,,,Réseaux d'entreprise et services cloud,2026-09-21
Isodom,software,Saint-Denis,https://www.isodom.com/,https://www.isodom.com/fr-fr/nous-rejoindre/,,Java|Angular,,Conseil en systèmes d'information et développement,2026-09-21
Medialight,software,Le Port,https://www.medialight.com/,,,,,ESN et éditeur de logiciels métier,2026-09-21
Seyes,software|ai|ecommerce,Sainte-Marie,https://seyes.re/,,,,,ESN ; développement web et mobile sur mesure,2026-09-21
V Dev,software|ai,Saint-Leu,https://www.vdev.re/,,,,,Développement web et mobile ; systèmes d'information géographique,2026-09-21
XTM Technologie,software,Saint-Leu,https://www.xtmtechnologie.com/,https://www.xtmtechnologie.com/,https://fr.linkedin.com/company/xtm-technologie-sas,Java|PHP,11-50,ESN ; développement d'applications,2026-09-21
