name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Antiane,cybersecurity|telecom,Le Lamentin,https://www.antiane.com/,,https://www.linkedin.com/company/antiane,,,ESN ; infogérance et sécurité informatique,2026-09-21
ATECH,software,Fort-de-France,https://www.atechinc.fr/,,,,,Développement sur mesure et gestion de parc informatique,2026-09-21
C2i Outremer,software|cybersecurity,Le Lamentin,https://www.c2i-outremer.com/,,,,,ESN ; développement et services managés,2026-09-21
EMC2,software,Le Lamentin,https://www.emc2-informatique.com/,,,,,Éditeur de logiciels de gestion commerciale,2026-09-21
EXOCET,ai|software|cybersecurity,Le Robert,https://www.exocet2i.fr/,,,,,ESN ; assistants virtuels et conseil informatique,2026-09-21
Exodata,software|cybersecurity,Le Lamentin,https://www.exodata.fr/,https://www.exodata.fr/recrutement,,,,ESN ; cloud et infogérance,2026-09-21
iDOM Technologies,telecom|cybersecurity,Ducos,https://www.idom.fr/,,,,,Réseaux d'entreprise et services cloud,2026-09-21
Infodom,software,Le Lamentin,https://www.infodom.com/,,,,,ESN ; intégration de systèmes et solutions cloud,2026-09-21
ISSCEO,software,Le Lamentin,https://issceo.com/,,,,,Intégration de logiciels de gestion et GED,2026-09-21
NASDY,software,Fort-de-France,https://www.nasdy.fr/,,,,,Développement d'applications et intégration Odoo,2026-09-21
