name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
ADCIS - Groupe Evolucare,software,Caen,http://www.adcis.net,,https://fr.linkedin.com/company/adcis,,11-50,Logiciels d'analyse d'images,2026-09-22
Agile,ai,Hérouville-Saint-Clair,https://www.agile-tech.fr,,https://fr.linkedin.com/company/agile-fc,,1-10,Solutions numériques et IA,2026-09-22
Altilog,software,Caen,https://www.altilog.fr,,,,11-50,Développement de logiciels,2026-09-22
Arterya,healthtech,Hérouville-Saint-Clair,https://www.arterya.com/,,https://www.linkedin.com/company/arterya,,1-10,Dispositif médical connecté,2026-09-22
ASL Conseil,software,Saint-André-sur-Orne,http://www.al-informatique.fr,,https://fr.linkedin.com/company/al-informatique14,,1-10,Éditeur de logiciels,2026-09-22
Attineos,software,Caen,https://www.attineos.com,,https://fr.linkedin.com/company/attineos,,51-1000,ESN,2026-09-22
Axilos,software,Caen,https://www.axilos.com/,,https://fr.linkedin.com/company/axilosdigital,,,Développement logiciel,2026-09-22
BiMP - OSINX,cybersecurity,Hérouville-Saint-Clair,https://www.actimac.fr,,https://fr.linkedin.com/company/bimp-osinx,,11-50,Infrastructure IT et cybersécurité,2026-09-22
BodyCAP,healthtech,Hérouville-Saint-Clair,http://www.bodycap-medical.com,,https://fr.linkedin.com/company/bodycap,,11-50,Capteurs médicaux connectés,2026-09-22
Concerti,healthtech,Caen,http://www.byconcerti.com,,https://fr.linkedin.com/company/lemaestrobyconcerti,,1-10,Dispositif sensoriel connecté,2026-09-22
Conscience Robotics,ai,Hérouville-Saint-Clair,https://conscience-robotics.com/,,https://fr.linkedin.com/company/conscience-robotics,,11-50,IA et robotique autonome,2026-09-22
Dataouest,software,Caen,https://www.dataouest.fr,,https://fr.linkedin.com/company/dataouest,,11-50,ESN cloud et logiciels,2026-09-22
Datexim,healthtech,Caen,https://datexim.ai/,,https://fr.linkedin.com/company/datexim,,11-50,IA pour l'imagerie médicale,2026-09-22
EDUCENTRIC,saas,Caen,http://www.educentric.fr,,https://fr.linkedin.com/company/educentric-fr,,1-10,SaaS pour l'éducation,2026-09-22
EFF'INNOV Technologies,industrial,Colombelles,https://www.effinnov.com,,https://fr.linkedin.com/company/eff%27innov-technologies,,11-50,Systèmes embarqués et IoT,2026-09-22
ELDIM Technologies,industrial,Hérouville-Saint-Clair,http://www.eldim.fr,,https://fr.linkedin.com/company/eldim-technologies,,51-1000,Technologies de mesure optique,2026-09-22
ELITT,fintech,Colombelles,http://www.elitt.com,,https://fr.linkedin.com/company/elitt,,51-1000,Tests de paiements sécurisés,2026-09-22
Kanta,saas,Caen,https://www.kanta.fr/,,https://fr.linkedin.com/company/kanta-web-app,,11-50,SaaS de conformité financière,2026-09-22
Koesio Nord Ouest,software,Hérouville-Saint-Clair,https://koesio.com/agence/caen-koesio-nord-ouest/,,,,1000+,ESN et infogérance,2026-09-22
Leancure,software,Mondeville,http://leancure.com,,https://fr.linkedin.com/company/leancure-mes-performance-industrielle,,1-10,Logiciel MES industriel,2026-09-22
Murata Integrated Passive Solutions,industrial,Caen,https://www.murata.com/,,,,1000+,R&D microélectronique,2026-09-22
NCI Informatique,software,Saint-André-sur-Orne,https://www.nci.fr/,,https://fr.linkedin.com/company/nci-informatique,,,ESN et applications métiers,2026-09-22
Ob'dO,industrial,Colombelles,https://www.ob-do.com,,https://fr.linkedin.com/company/ob-do,,11-50,Systèmes embarqués et IoT,2026-09-22
Orange Labs,telecom,Caen,https://www.orange.com/fr/innovation,https://orange.jobs/,,,1000+,Centre R&D télécom,2026-09-22
Parsewaves,industrial,Caen,,,https://www.linkedin.com/company/parsewaves/,,1-10,Technologies de mesure radar,2026-09-22
Renault Trucks,transport,Blainville-sur-Orne,https://www.renault-trucks.com/fr/presence-industrielle,,,,1000+,R&D industrielle et mobilité électrique,2026-09-22
Safran Data Systems,industrial,Colombelles,https://www.safran-group.com/fr/implantations/france/safran-data-systems-colombelles-2077983,https://www.safran-group.com/fr/offres,,,1000+,Systèmes de test et télémesure,2026-09-22
SII,software,Saint-Contest,https://sii-group.com/fr-FR/sii-ouest,https://sii-group.com/fr-FR/offres-emploi,,,1000+,ESN,2026-09-22
SoyHuCe,ai,Caen,https://soyhuce.fr/,,,,51-1000,Data cloud et IA,2026-09-22
Tech&Dev,software,Caen,https://tech-and-dev.fr,,https://fr.linkedin.com/company/techanddev,,1-10,Développement logiciel,2026-09-22
Webaxys,telecom,Saint-André-sur-Orne,https://www.webaxys.fr,,https://fr.linkedin.com/company/webaxys,,11-50,Datacenter cloud et télécom,2026-09-22
Yousign,saas,Caen,https://yousign.com/fr-fr,https://jobs.yousign.com/,,,51-1000,Signature électronique SaaS,2026-09-22
