name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
5ING Consulting,software,Val-de-Reuil,https://www.5ing.fr/,,,,1-10,Conseil en systèmes d'information,2026-09-22
Accelonix France,industrial,Évreux,https://www.accelonix.fr,,https://fr.linkedin.com/company/accelonix-sas,,11-50,Équipements et logiciels électroniques,2026-09-22
Alt-S,software,Évreux,https://alt-s.fr/,,https://fr.linkedin.com/company/alt-s-evreux-rouen,,1-10,Services IT et cybersécurité,2026-09-22
Altitude Infra,telecom,Val-de-Reuil,https://www.altitudeinfra.fr,,https://fr.linkedin.com/company/altitude-infra/,,51-1000,Infrastructures fibre optique,2026-09-22
ALTIX MGI GROUP,industrial,Val-de-Reuil,https://www.altix.fr/en/,,https://www.linkedin.com/company/altix,,51-1000,Imagerie et logiciels industriels,2026-09-22
Aptar Pharma,healthtech,Le Vaudreuil,https://aptar.com/en-us/news-events/aptar-pharma-s-opens-expanded-r-d-center-in-france,https://aptar.com/en-us/careers/working-at-aptar/emea,,,1000+,Centre R&D dispositifs médicaux,2026-09-22
ArianeGroup,industrial,Vernon,https://ariane.group/,https://jobs.ariane.group/,,,1000+,R&D propulsion spatiale,2026-09-22
Arkema,industrial,Serquigny,https://www.arkema.com/france/fr/locations/r-and-d-centers/cerdato-serquigny/,,,,1000+,Centre R&D matériaux avancés,2026-09-22
CERA ELECTRONIQUE,industrial,Val-de-Reuil,,,https://fr.linkedin.com/company/cera-electronique,,51-1000,Électronique et objets connectés,2026-09-22
Collins Aerospace,industrial,Saint-Marcel,https://www.collinsaerospace.com/,,,,1000+,R&D systèmes aéronautiques,2026-09-22
DEMGY Normandie,industrial,Saint-Aubin-sur-Gaillon,https://www.demgy.com/page/facilities/demgy-normandie,,https://fr.linkedin.com/company/demgy-normandie,,51-1000,R&D polymères et composites,2026-09-22
EET Service,telecom,Évreux,,https://www.linkedin.com/company/eet-service/jobs/,https://www.linkedin.com/company/eet-service,,11-50,Réseaux et télécommunications,2026-09-22
Erlab,industrial,Val-de-Reuil,https://www.erlab.com/,,,,51-1000,R&D filtration de laboratoire,2026-09-22
Evolnet,ai,Évreux,https://www.evolnet.fr/,,https://fr.linkedin.com/company/evolnet-agency,,1-10,SaaS commercial avec IA,2026-09-22
Groupe SEB,industrial,Vernon,https://www.groupeseb.com/fr,https://groupeseb-careers.com/,,,1000+,Centre R&D et production,2026-09-22
GSK,healthtech,Évreux,https://fr.gsk.com/fr-fr/notre-entreprise/decouvrez-gsk-en-france/site-industriel-d-evreux/,https://fr.gsk.com/fr-fr/carrieres/,,,1000+,Production pharmaceutique automatisée,2026-09-22
Hébus,telecom,Évreux,https://www.hebus-ip.com/,,,,11-50,Réseaux télécom et supervision,2026-09-22
IDEA Informatique,software,Évreux,https://www.idea-informatique.fr,,https://fr.linkedin.com/company/idea-informatique,,11-50,Éditeur ERP métier,2026-09-22
IMACS Services,cybersecurity,Évreux,https://imacservices.fr/,,,,1-10,Infogérance et cybersécurité,2026-09-22
Janssen-Cilag,healthtech,Val-de-Reuil,https://www.jnj.com/innovativemedicine/research-and-development/locations,,,,1000+,Centre de recherche pharmaceutique,2026-09-22
JCL Ingénierie,industrial,Val-de-Reuil,http://jcl-ingenierie.com/,,https://fr.linkedin.com/company/jclingenierie,,1-10,Automatismes et robotique industrielle,2026-09-22
JustAI,ai,Évreux,https://justai.fr/,,https://fr.linkedin.com/company/justai-france,,11-50,Ingénierie et plateforme IA,2026-09-22
MALICO,telecom,Évreux,https://malico-telecom.com,,https://fr.linkedin.com/company/malico-telecom,,11-50,Équipements réseaux fibre optique,2026-09-22
OHé - Orthographe Héros,saas,Le Neubourg,https://www.orthographe-heros.fr/,,https://www.linkedin.com/company/oh%C3%A9-orthographe-h%C3%A9ros,,1-10,Application EdTech,2026-09-22
RM3A,cybersecurity,Val-de-Reuil,https://rm3a.fr,,https://fr.linkedin.com/company/rm3a-normandie,,1-10,Cybersécurité,2026-09-22
Safran Spacecraft Propulsion,industrial,Vernon,https://www.safran-group.com/fr/implantations/france/vernon-2077314,https://www.safran-group.com/fr/offres,,,1000+,R&D propulsion électrique spatiale,2026-09-22
Sanofi,healthtech,Val-de-Reuil,https://www.sanofi.fr/fr/notre-entreprise/nos-sites-en-france/le-site-de-production-de-val-de-reuil,https://jobs.sanofi.com/,,,1000+,Biotechnologies et production vaccins,2026-09-22
Schneider Electric,industrial,Le Vaudreuil,https://www.se.com/fr/fr/about-us/events/local/innovation-hub/le-vaudreuil/,https://www.se.com/fr/fr/about-us/careers/,,,1000+,Usine 4.0 et IIoT,2026-09-22
SOLCERA,industrial,Évreux,https://www.solcera.com/,,https://www.linkedin.com/company/solcera/,,51-1000,R&D céramiques techniques,2026-09-22
SYSNAV,industrial,Vernon,https://www.sysnav.fr/,,https://fr.linkedin.com/company/sysnav,,51-1000,Navigation et géolocalisation avancées,2026-09-22
Valdepharm,healthtech,Val-de-Reuil,https://www.valdepharm.com/,,,,51-1000,Développement et production pharmaceutique,2026-09-22
