name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
ACIEF,industrial,Cherbourg-en-Cotentin,,,https://fr.linkedin.com/company/acief-group,,1-10,Ingénierie électrique et numérique,2026-09-23
Acigo Informatique,software,Saint-Lô,https://acigo-informatique.fr/,,,,,Logiciels de gestion métier,2026-09-23
ACOME,telecom|industrial,Romagny Fontenay,https://www.acome.com/,https://www.acome.com/fr/carrieres,,,1000+,R&D câbles et télécoms,2026-09-23
Actemium Cherbourg,industrial,Cherbourg-en-Cotentin,https://www.actemium.fr/implantations/actemium-cherbourg/,https://jobs.vinci.com/,,,1000+,Automatisme et informatique industrielle,2026-09-23
ALTEN,software|industrial,Cherbourg-en-Cotentin,https://www.alten.fr/,https://www.alten.fr/jobs/,,,1000+,Ingénierie et services IT,2026-09-23
Altitude Création,software,Cherbourg-en-Cotentin,http://www.altitude-creation.fr,,https://fr.linkedin.com/company/altitude-cr%C3%A9ation,,11-50,Développement de logiciels,2026-09-23
Assystem,industrial,Cherbourg-en-Cotentin,https://www.assystem.com/,https://careers.assystem.com/,,,1000+,Ingénierie et solutions digitales,2026-09-23
CHEREAU,transport|industrial,Ducey-Les Chéris,https://www.chereau.com/,https://www.chereau.com/recrutement/,,,51-1000,R&D véhicules frigorifiques,2026-09-23
CMN,industrial,Cherbourg-en-Cotentin,https://www.cmn-group.com/,https://www.cmn-group.com/careers/,,,51-1000,Conception navale,2026-09-23
Dataouest,software|telecom|cybersecurity,Saint-Lô,https://www.dataouest.fr/,https://www.dataouest.fr/recrutement/,https://fr.linkedin.com/company/dataouest,,11-50,ESN et datacenters,2026-09-23
DEFTLINE EAI,industrial,Cherbourg-en-Cotentin,https://www.deftline.com/,,https://www.linkedin.com/company/eai-ingenierie,,11-50,Ingénierie et IT industrielle,2026-09-23
ECIA,industrial,Cherbourg-en-Cotentin,https://www.ecia.fr/,https://www.ecia.fr/nous-rejoindre/,https://www.linkedin.com/company/ecia-equans,,51-1000,Ingénierie nucléaire,2026-09-23
Edeis Ingénierie,industrial,Cherbourg-en-Cotentin,https://www.edeis.com/,https://www.edeis.com/carrieres/,,,51-1000,Ingénierie industrielle,2026-09-23
EDF,energy|industrial,Flamanville,https://www.edf.fr/,https://www.edf.fr/edf-recrute,,,1000+,Équipes techniques nucléaires,2026-09-23
EFINOR,industrial,Cherbourg-en-Cotentin,https://www.efinor.com/,https://www.efinor.com/recrutement/,https://fr.linkedin.com/company/efinor,,51-1000,Ingénierie navale et nucléaire,2026-09-23
elvia electronics,industrial,Coutances,https://elviaelectronics.com/,https://elviaelectronics.com/recrutement/,,,51-1000,R&D circuits imprimés,2026-09-23
Ingeliance,industrial,Cherbourg-en-Cotentin,https://ingeliance.com/,https://ingeliance.com/carrieres/,,,51-1000,Ingénierie navale et nucléaire,2026-09-23
JADE Solutions Collaboratives,software|saas,Coutances,http://www.jade.fr,,https://www.linkedin.com/company/jade-rs-com,,1-10,Éditeur de logiciels collaboratifs,2026-09-23
Koesio Nord Ouest,software|telecom,Cherbourg-en-Cotentin,https://koesio.com/agence/cherbourg-koesio-nord-ouest/,https://carrieres.koesio.com/,,,1000+,ESN,2026-09-23
Lecapitaine,transport|industrial,Saint-Lô,https://www.lecapitaine.com/,https://www.lecapitaine.com/fr-fr/carriere,,,51-1000,R&D véhicules frigorifiques,2026-09-23
LM Wind Power,energy|industrial,Cherbourg-en-Cotentin,https://www.lmwindpower.com/,https://jobs.gecareers.com/vernova/global/en/lm-wind-power,,,1000+,R&D et production éolienne,2026-09-23
Naval Group,industrial,Cherbourg-en-Cotentin,https://www.naval-group.com/,https://www.naval-group.com/fr/talents,,,1000+,Conception et systèmes navals,2026-09-23
Onet Technologies,energy|industrial,Cherbourg-en-Cotentin,https://www.onet.fr/ingenierie-services-nucleaires/,https://www.onet.fr/nous-rejoindre/,,,1000+,Ingénierie nucléaire,2026-09-23
Orano,energy|industrial,Cherbourg-en-Cotentin,https://www.orano.group/,https://www.orano.group/jobs/,,,1000+,Ingénierie nucléaire,2026-09-23
PROBENT,industrial,Cherbourg-en-Cotentin,https://www.probent.com/,https://www.probent.com/recrutement/,https://www.linkedin.com/company/groupe-probent,,51-1000,Mécatronique et ingénierie,2026-09-23
Scalian,software|industrial,Cherbourg-en-Cotentin,https://www.scalian.com/,https://careers.scalian.com/,,,1000+,Ingénierie et systèmes numériques,2026-09-23
SEGULA Technologies,industrial,Cherbourg-en-Cotentin,https://www.segulatechnologies.com/,https://careers.segulatechnologies.com/,,,1000+,Ingénierie industrielle,2026-09-23
SPIE Nucléaire,energy|industrial,La Hague,https://www.spie-nucleaire.com/,https://www.spie-job.com/,,,1000+,Contrôle-commande et automatisme,2026-09-23
Technodoc,software,Cherbourg-en-Cotentin,http://www.technodoc.fr/,,https://fr.linkedin.com/company/technodoc,,1-10,Ingénierie informationnelle,2026-09-23
XEFI Saint-Lô,software|cybersecurity,Saint-Lô,https://www.xefi.fr/fr/agence/xefi-saint-lo/,https://www.xefi.fr/fr/carriere/,,,1000+,ESN,2026-09-23
