name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
ACG Automation,industrial,Tinchebray-Bocage,https://www.acg-automatismes.com/,,,,,Automatisation et robotique industrielles,2026-09-23
AppliDev',software,Alençon,https://applidev.fr/,,,,,Éditeur de logiciels,2026-09-23
ASPerience,software,Damigny,https://www.asperience.fr/,,https://fr.linkedin.com/company/asperience-sarl,,1-10,ESN logiciels libres,2026-09-23
AZNETWORK,cybersecurity|software,Alençon,https://www.aznetwork.eu/,,,,11-50,Datacenter et cybersécurité,2026-09-23
CMEI,cybersecurity|telecom,Larré,https://cmei.fr/,,,,1-10,Services informatiques managés,2026-09-23
Delorme Informatique,ai|software,Aube,https://www.delorme-informatique.fr/,,,,,Solutions logicielles et IA,2026-09-23
ESPRI Digital,ai|software,Argentan,https://espridigital.fr/,,https://fr.linkedin.com/company/espri-digital,,,IoT et logiciels sur mesure,2026-09-23
FORVIA,industrial,Caligny,https://www.forvia.com/,https://www.forvia.com/careers,,,1000+,Centre mondial de R&D,2026-09-23
IMV Technologies,healthtech|industrial,L'Aigle,https://www.imv-technologies.com/,https://www.imv-technologies.com/careers,,,51-1000,Biotechnologies de la reproduction,2026-09-23
Infocob,software|saas,Alençon,https://infocob.com/,,,,,Éditeur de logiciels de gestion,2026-09-23
Intell'equ,industrial|software,Alençon,https://www.intellequ.fr/,,,,,Systèmes embarqués de simulation,2026-09-23
K1,software,Argentan,http://www.k1info.com/,,https://fr.linkedin.com/company/k1info,,1-10,Innovation technologique,2026-09-23
Lineotec,cybersecurity|telecom,Alençon,https://www.lineotec.fr/,,,,1-10,Infrastructure et cybersécurité,2026-09-23
MixSystems,saas|software,Messei,https://www.mixsuite.fr/,,https://fr.linkedin.com/company/mixsystems,,1-10,Éditeur ERP agroalimentaire,2026-09-23
Process Développements,software,Bretoncelles,https://www.prodev-web.fr/,,,,1-10,Éditeur de logiciels,2026-09-23
Sinari,software|transport,La Ferté Macé,https://www.sinari.com/,,,,,Éditeur de logiciels transport,2026-09-23
Subteno,software,Alençon,https://www.subteno.com/,,https://fr.linkedin.com/company/subteno-it,,11-50,Intégrateur ERP Odoo,2026-09-23
TalkMe,saas|software|industrial,Alençon,https://talkme.tech/,,https://fr.linkedin.com/company/talkmetech,,1-10,Éditeur de logiciel MES,2026-09-23
Thermocoax,industrial,Caligny,https://www.thermocoax.com/,,,,51-1000,R&D industrielle,2026-09-23
