name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Artelia Digital Solutions,software,Le Havre,https://www.arteliadigitalsolutions.com/,https://www.arteliadigitalsolutions.com/nous-rejoindre/,,,11-50,ESN,2026-09-23
Attineos,software|cybersecurity,Rouen,https://www.attineos.com/,https://www.attineos.com/carrieres/,https://www.linkedin.com/company/attineos/,,51-1000,ESN et cybersécurité,2026-09-23
Axians,telecom|cybersecurity,Saint-Étienne-du-Rouvray,https://www.axians.fr/,https://www.axians.fr/carrieres/,,,1000+,Intégration numérique,2026-09-23
Churn Hero,saas,Rouen,https://www.churnhero.io/,,,,,Logiciel SaaS,2026-09-23
Cleyrop,ai|saas,Rouen,https://cleyrop.com/,https://cleyrop.com/carrieres/,https://www.linkedin.com/company/cleyrop/,,51-1000,Plateforme Data et IA,2026-09-23
ETRIA Manufacturing,industrial,Martin-Église,https://toshibatec.fr/societe/usine-etria-manufacturing-france/,,,,,Industrie numérique,2026-09-23
Etudes et Applications Informatiques,software,Le Havre,https://eai.fr/,,https://www.linkedin.com/company/etudes-et-applications-informatiques/,.NET,1-10,Éditeur de logiciels industriels,2026-09-23
Experis,software|cybersecurity,Rouen,https://www.experisfrance.fr/,,,,1000+,ESN,2026-09-23
Groupe Trace,software|energy,Saint-Romain-de-Colbosc,https://www.groupetrace.com/,,https://www.linkedin.com/company/groupe-trace/,,51-1000,Éditeur de logiciels,2026-09-23
HandGoSoft,software,Le Havre,https://handgosoft.com/,,https://www.linkedin.com/company/handgosoft/,,,Éditeur de logiciels,2026-09-23
Hucency,cybersecurity,Rouen,https://www.hucency.com/,https://www.hucency.com/careers/,,,,Cybersécurité,2026-09-23
Kappalys,software|cybersecurity,Maromme,https://www.kappalys.com/,,https://www.linkedin.com/company/kappalys/,,11-50,Cloud et cybersécurité,2026-09-23
Logicom Informatique,software,Barentin,https://www.logicom-informatique.fr/,,https://www.linkedin.com/company/logicom-informatique/,,,Éditeur de logiciels,2026-09-23
Lùkla,software,Rouen,https://www.lukla.fr/,https://www.lukla.fr/nous-rejoindre/,,,51-1000,ESN,2026-09-23
Matmut,insurance,Rouen,https://www.matmut.fr/,https://recrutement.matmut.fr/,,,,Équipes systèmes d'information,2026-09-23
NORMA,ai|software,Rouen,https://www.norma.dev/,,https://www.linkedin.com/company/norma-dev-rouen/,,11-50,IA et logiciels,2026-09-23
Ollca,ecommerce|saas,Rouen,https://www.ollca.com/,,,,11-50,Plateforme e-commerce,2026-09-23
Orange Business,telecom|cybersecurity,Rouen,https://www.orange-business.com/fr,https://orange.jobs/,,,1000+,Services numériques et télécom,2026-09-23
PayGreen,fintech|ecommerce,Rouen,https://www.paygreen.io/,https://www.lemonway.com/fr/nous-rejoindre/,https://www.linkedin.com/company/paygreen/,,11-50,Paiement en ligne,2026-09-23
Proxiad,software|cybersecurity,Rouen,https://www.proxiad.com/,https://www.proxiad.com/carriere/,,,1000+,ESN,2026-09-23
Qwant,software,Rouen,https://www.qwant.com/,https://about.qwant.com/jobs/,,,51-1000,Moteur de recherche,2026-09-23
Saagie,saas|ai,Le Petit-Quevilly,https://www.saagie.com/fr/,https://www.saagie.com/fr/carriere/,https://www.linkedin.com/company/saagie/,Docker,51-1000,Plateforme DataOps,2026-09-23
Safran Nacelles,industrial,Gonfreville-l'Orcher,https://www.safran-group.com/fr/societes/safran-nacelles,https://www.safran-group.com/fr/emplois,,,1000+,R&D industrielle,2026-09-23
Sidel,industrial,Octeville-sur-Mer,https://www.sidel.com/fr/,https://www.sidel.com/fr/carrieres/,,,1000+,R&D industrielle,2026-09-23
SIXMON,software,Le Havre,https://www.sixmon.net/,,https://www.linkedin.com/company/sixmon/,,11-50,Développement logiciel,2026-09-23
Sopra Steria,software,Rouen,https://www.soprasteria.fr/,https://careers.soprasteria.fr/,,,1000+,ESN,2026-09-23
Virtuosis AI,ai|healthtech,Rouen,https://www.virtuosis.ai/,,,,,IA pour la santé,2026-09-23
Visionic,industrial|software,Saint-Aubin-lès-Elbeuf,https://www.visionic.fr/,,,,51-1000,Vision industrielle et robotique,2026-09-23
Webaxys,telecom|cybersecurity,Sotteville-lès-Rouen,https://www.webaxys.fr/,https://www.webaxys.fr/recrutement/,https://www.linkedin.com/company/webaxys/,,11-50,Datacenter et cloud,2026-09-23
YesWeHack,cybersecurity,Rouen,https://www.yeswehack.com/,https://www.yeswehack.com/company/careers/,,,51-1000,Cybersécurité,2026-09-23
