name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
16h33,agency,Angoulême,,,,,,Agence web,2026-09-23
Actigraph,agency,Angoulême,,,,,,Agence web,2026-09-23
Agorinfo,software,Gond-Pontouvre,,,,,,Logiciels agroalimentaire,2026-09-23
Apik,it-services,Angoulême,,,,,,Hébergement et infogérance,2026-09-23
Blue Spirit,studio,Angoulême,,,,,,Studio d'animation,2026-09-23
Cheops Technology,it-services,L'Isle-d'Espagnac,,,,,,ESN et Cloud,2026-09-23
Cortex Productions,studio,Angoulême,,,,,,3D VR et médical,2026-09-23
Crédit Agricole Charente-Périgord,enterprise,Soyaux,,,,,1000+,DSI régionale,2026-09-23
Digital Concept,agency,Cognac,,,,,,Agence digitale,2026-09-23
Equilibre Games,gaming,Angoulême,,,,,,Studio de jeux vidéo,2026-09-23
Fiducial Informatique,software,Champniers,,,,,,Éditeur de logiciels,2026-09-23
G4F,gaming,Angoulême,,,,,,Technologies audio gaming,2026-09-23
Garandeau,enterprise,Val-de-Cognac,,,,,,Équipe informatique locale,2026-09-23
Hennessy,enterprise,Cognac,,,,,1000+,DSI et R&D,2026-09-23
Iteca,software,Angoulême,,,,,,Logiciels 3D et IA,2026-09-23
Koesio,it-services,Champniers,,,,,,ESN et services IT,2026-09-23
Malil'Art,studio,Angoulême,,,,,,Technologies AR/VR,2026-09-23
Martell,enterprise,Cognac,,,,,,Équipe informatique corporate,2026-09-23
Mutuelle 403,enterprise,Angoulême,,,,,,Équipe informatique locale,2026-09-23
Naval Group,enterprise,Ruelle-sur-Touvre,,,,,1000+,R&D systèmes navals,2026-09-23
Nexeya,enterprise,La Couronne,,,,,,Systèmes embarqués,2026-09-23
Nidec Leroy-Somer,enterprise,Angoulême,,,,,1000+,R&D industrielle,2026-09-23
Nodal Studio,studio,Angoulême,,,,,,XR VR et réalité augmentée,2026-09-23
Océalia,enterprise,Cognac,,,,,,DSI coopérative agricole,2026-09-23
Rémy Cointreau,enterprise,Cognac,,,,,,DSI corporate,2026-09-23
RS2i,it-services,Angoulême,,,,,,ESN et intégration logicielle,2026-09-23
Saft,enterprise,Nersac,,,,,1000+,R&D et informatique,2026-09-23
SCC,it-services,Angoulême,,,,,,Agence locale ESN,2026-09-23
Seed by Seed,gaming,Angoulême,,,,,,Studio de jeux vidéo,2026-09-23
Smatis,enterprise,Angoulême,,,,,,DSI Mutuelle,2026-09-23
SolidAnim,software,Angoulême,,,,,,Logiciels motion capture,2026-09-23
Studio Hari,studio,Angoulême,,,,,,Studio d'animation (R&D),2026-09-23
Studio Nyx,gaming,Angoulême,,,,,,Jeux vidéo et VR,2026-09-23
Superprod,studio,Angoulême,,,,,,R&D animation et 3D,2026-09-23
Terreal,enterprise,Terres-de-Haute-Charente,,,,,1000+,Équipe IT industrielle,2026-09-23
Un je ne sais quoi,gaming,Angoulême,,,,,,Studio de jeux vidéo,2026-09-23
Visiativ,software,Angoulême,,,,,,Éditeur et intégrateur IT,2026-09-23
Xilam,studio,Angoulême,,,,,,Studio d'animation,2026-09-23
