name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
A2D,ai,La Rochelle,https://www.a2d.fr/,,, ,11-50,IA inspection infrastructures,2026-09-23
Adista,telecom,La Rochelle,https://www.adista.fr/,,, ,51-1000,Opérateur télécom local,2026-09-23
Alter Way,it-services,La Rochelle,https://www.alterway.fr/,,, ,51-1000,ESN cloud DevOps,2026-09-23
Cybercape,cybersecurity,La Rochelle,https://www.cybercape.fr/,,, ,1-10,Cybersécurité PME,2026-09-23
Keypup,software,La Rochelle,https://www.keypup.io/,,, ,1-10,Éditeur analytics dev,2026-09-23
La Compagnie Rochelaise du Logiciel,software,La Rochelle,https://corolo.fr/,,, ,11-50,Éditeur logiciels métier,2026-09-23
LicenceOne,saas,La Rochelle,https://www.licenceone.com/,,, ,11-50,SaaS gestion licences,2026-09-23
Macompta.fr,saas,Lagord,https://www.macompta.fr/,,, ,11-50,SaaS comptabilité gestion,2026-09-23
RMD Technologies,saas,La Rochelle,https://www.rmd-technologies.com/,,, ,11-50,SaaS revenue management,2026-09-23
Sellsy,saas,La Rochelle,https://go.sellsy.com/,,, ,51-1000,SaaS CRM facturation,2026-09-23
Shark Robotics,robotics,La Rochelle,https://www.shark-robotics.com/,,, ,51-1000,Robots intervention,2026-09-23
Systel SA,software,Aytré,https://www.systel-sa.fr/,,, ,51-1000,Éditeur systèmes sécurité civile,2026-09-23
Ubidreams,software,La Rochelle,https://www.ubidreams.com/,,, ,11-50,Apps mobiles IoT,2026-09-23
