name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
ACS'IT,ESN,Malemort,,,,,,Intégrateur IT et cybersécurité,2026-09-23
Allmaint,Software,Meymac,,,,,,Logiciels GMAO,2026-09-23
Amedia Solutions,Software,Brive-la-Gaillarde,,,,,,Éditeur et intégrateur,2026-09-23
Astraklic,Agency,Tulle,,,,,,Agence digitale,2026-09-23
Axioma,Corporate,Brive-la-Gaillarde,,,,,,R&D Agritech,2026-09-23
Beacon Studio,Agency,Brive-la-Gaillarde,,,,,,Création web,2026-09-23
Cogitime,Software,Brive-la-Gaillarde,,,,,,Solutions numériques,2026-09-23
ECP Informatique,ESN,Brive-la-Gaillarde,,,,,,SSII ESN locale,2026-09-23
E-SEI,Software,Brive-la-Gaillarde,,,,,,Éditeur et services IT,2026-09-23
Faurie Telecom,Corporate,Brive-la-Gaillarde,,,,,,Équipe informatique locale,2026-09-23
Inseco,ESN,Brive-la-Gaillarde,,,,,,IT et infogérance,2026-09-23
IT Store Pro,ESN,Brive-la-Gaillarde,,,,,,Solutions IT,2026-09-23
Izianet,Agency,Brive-la-Gaillarde,,,,,,Agence web,2026-09-23
Koesio,ESN,Brive-la-Gaillarde,,,,,,ESN et services IT,2026-09-23
Kontic,Software,Brive-la-Gaillarde,,,,,,Développement web et mobile,2026-09-23
Le bureau fonctionnel,Software,Tulle,,,,,,Éditeur de logiciels,2026-09-23
Mourlon Informatique,Software,Ussel,,,,,,Logiciels sur mesure,2026-09-23
Odyssée Informatique,ESN,Tulle,,,,,,ESN et maintenance,2026-09-23
OPTEAM'IP,ESN,Malemort,,,,,,Opérateur télécom et IT,2026-09-23
PCI Ussel,ESN,Ussel,,,,,,Services IT,2026-09-23
Silab,Corporate,Saint-Viance,,,,,,R&D et informatique,2026-09-23
Spark,Agency,Tulle,,,,,,Agence digitale,2026-09-23
TDI Services,ESN,Brive-la-Gaillarde,,,,,,ESN locale,2026-09-23
Tech'IN,ESN,Saint-Viance,,,,,,ESN et cybersécurité,2026-09-23
Terratis,Corporate,Brive-la-Gaillarde,,,,,,R&D Biotech,2026-09-23
YZAR,Software,Brive-la-Gaillarde,,,,,,Solutions 3D et VR,2026-09-23
