name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Adekoi,software,Sanilhac,https://adekoi.fr/,,, ,11-50,Développement logiciel No code,2026-09-23
ADM Informatique,cybersecurity,Bergerac,,,, ,1-10,Cybersécurité conseil,2026-09-23
Aplose,it-services,Beleymas,https://aplose.fr/,,, ,11-50,ESN logiciels libres ERP,2026-09-23
Apsodia,digital,Périgueux,https://apsodia.fr/,,, ,11-50,Agence digitale,2026-09-23
Artefact Design,digital,Périgueux,,,, ,1-10,Solutions No Code Low Code,2026-09-23
Atelier du PC,it-services,Sarlat-la-Canéda,,,, ,1-10,Services informatiques,2026-09-23
BatirUp,saas,Vergt,,,, ,1-10,SaaS automatisation BTP,2026-09-23
Be in BI,data,Sanilhac,,,, ,1-10,BI data automatisation,2026-09-23
Cogitime,it-services,Saint-Léon-sur-l'Isle,,,, ,11-50,Digitalisation solutions,2026-09-23
Dreamtronic,gaming,Chancelade,https://dreamtronic.net/,,, ,11-50,Tablettes jeux interactifs,2026-09-23
Evocati,gaming,Hautefort,,,, ,11-50,Traduction localisation jeux,2026-09-23
Nevea,saas,Vergt,https://nevea.fr/,,, ,11-50,Éditeur logiciels formation,2026-09-23
TechProg,software,Sanilhac,https://techprog.fr/,,, ,1-10,Développement logiciel IA,2026-09-23
