name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
A6Landes Informatique,cybersecurity,Mont-de-Marsan,https://a6landes.fr/,,, ,11-50,Cybersécurité infogérance,2026-09-23
ActuelBuro,esn,Dax,https://www.actuelburo.fr/,,, ,51-1000,Infogérance cybersécurité logiciels,2026-09-23
MDM Informatique,esn,Mont-de-Marsan,https://www.mdminformatique.fr/,,, ,11-50,Infogérance cybersécurité cloud,2026-09-23
Sudokeys,software,Mont-de-Marsan,https://www.sudokeys.com/,,, ,11-50,Édition logiciels applicatifs,2026-09-23
Sysnove,software,Saint-Paul-lès-Dax,,,, ,1-10,Hébergement développement conseil,2026-09-23
Adour Gestion Informatique,software,Saint-Pierre-du-Mont,,,, ,1-10,Développement logiciels,2026-09-23
Assistance Conseil Informatique Professionnel,esn,Mont-de-Marsan,,,, ,1-10,Services informatiques,2026-09-23
Sayaris,software,Dax,,,, ,1-10,Logiciels gestion compétences,2026-09-23
Inveni,software,Dax,,,, ,1-10,Développement logiciels,2026-09-23
Clic Tech,software,Oeyreluy,,,, ,1-10,Logiciels progiciels,2026-09-23
Les Artisans du Net,digital,Mont-de-Marsan,,,, ,1-10,Développement web,2026-09-23
Talentik Conseil,software,Soustons,,,, ,1-10,Logiciels conseil,2026-09-23
Jonas Formation,software,Saint-Martin-de-Seignanx,,,, ,1-10,Logiciels formation,2026-09-23
HIMC2,software,Soorts-Hossegor,,,, ,1-10,Logiciels,2026-09-23
IPS40,esn,Dax,,,, ,1-10,Services informatiques,2026-09-23
