name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
A2C System,software,Villeneuve-sur-Lot,,,,,1-10,Éditeur logiciels services,2026-09-23
Appify,software,Sainte-Livrade-sur-Lot,,,,,1-10,Programmation informatique,2026-09-23
AS Informatique,it-services,Villeneuve-sur-Lot,,,,,1-10,Conseil systèmes,2026-09-23
Berger-Levrault,software,Villeneuve-sur-Lot,https://www.berger-levrault.com/,,,,1000+,Éditeur logiciels publics,2026-09-23
Bunkerity,cybersecurity,Agen,,,,,1-10,Cybersécurité,2026-09-23
C2I Développement,software,Agen,,,,,1-10,Développement logiciels,2026-09-23
Chrono Informatique,it-services,Agen,https://www.chrono-informatique.com/,,,,11-50,Services informatiques,2026-09-23
Coaxis Informatique,it-services,Castelculier,,,,,1-10,Services informatiques,2026-09-23
Consult DD,software,Villeneuve-sur-Lot,,,,,1-10,Édition logiciels,2026-09-23
Contact Informatique,it-services,Agen,http://www.contactinformatique.fr/,,,,11-50,Matériel logiciels maintenance,2026-09-23
Declic SI,it-services,Villeneuve-sur-Lot,,,,,1-10,Services SI,2026-09-23
Expertisis,software,Allez-et-Cazeneuve,,,,,1-10,Conseil logiciels,2026-09-23
Just Informatique,it-services,Boé,https://www.just-informatique.fr/,,,,1-10,Conseil SI,2026-09-23
Koesio,it-services,Le Passage,https://koesio.com/,,,,51-1000,ESN solutions numériques,2026-09-23
Morphaius,ai,Agen,https://morphaius.com/,,,,1-10,Solutions IA sur-mesure,2026-09-23
Profil Web,digital,Penne-d'Agenais,,,,,1-10,Agence web,2026-09-23
QSP Systems,software,Colayrac-Saint-Cirq,,,,,1-10,Éditeur logiciels,2026-09-23
Wycan,digital,Villeneuve-sur-Lot,,,,,1-10,Agence web e-commerce,2026-09-23
