name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
2Moro,software,Bidart,,,,,1-10,Éditeur logiciels,2026-09-23
Adaxis,software,Bayonne,,,,,1-10,Développement logiciels,2026-09-23
Adista,it-services,Pau,https://www.adista.fr/,,,,51-1000,Opérateur IT cloud services,2026-09-23
Aguila Technologies,industrial,Bidart,https://www.aguila.fr,,,,,IoT et systèmes embarqués,2026-09-25
Belza AI,ai,Biarritz,,,,,1-10,Intelligence artificielle,2026-09-23
Capgemini,it-services,Pau,https://www.capgemini.com/,,,,1000+,ESN transformation digitale,2026-09-23
CGI France,it-services,Pau,https://www.cgi.com/france,,,,,ESN et conseil IT,2026-09-25
Clip Industrie,software,Pau,,,,,11-50,Logiciels industriels,2026-09-23
Cosoluce,software,Pau,,,,,11-50,Éditeur logiciels,2026-09-23
Datagates,software,Bayonne,,,,,11-50,Édition logiciels applicatifs,2026-09-23
Datamis,software,Biarritz,,,,,1-10,Éditeur logiciels,2026-09-23
Dev64,it-services,Bayonne,,,,,1-10,Services informatiques,2026-09-23
Elqano,ai,Bidart,https://www.elqano.com,,,,,Éditeur de logiciels IA,2026-09-25
Escape Technologies,software,Biarritz,,,,,1-10,Logiciels,2026-09-23
Escore Software,software,Pau,,,,,1-10,Éditeur logiciels,2026-09-23
Euralis,agtech,Lescar,https://www.euralis.fr,,,,,Équipe informatique groupe,2026-09-25
Filigramme,ai,Pays Basque,,,,,1-10,IA générative applications,2026-09-23
GPC Solutions,it-services,Pau,,,,,1-10,Conseil SI,2026-09-23
Groupe SII,it-services,Pau,https://sii-group.com,,,,,ESN et ingénierie,2026-09-25
Hizkia,software,Bayonne,,,,,1-10,Éditeur logiciels,2026-09-23
HUPI,ai,Bidart,https://www.hupi.fr,,,,,IA et science des données,2026-09-25
Inetum,it-services,Pau,https://www.inetum.com/,,,,1000+,ESN services numériques,2026-09-23
Intersystems,software,Bayonne,,,,,11-50,Éditeur logiciels,2026-09-23
JMP Solutions,it-services,Pau,,,,,11-50,Services informatiques,2026-09-23
Kerena,software,Bayonne,,,,,1-10,Éditeur logiciels,2026-09-23
Kitview,software,Pau,,,,,1-10,Logiciels,2026-09-23
Lawxer,ai,Bidart,,,,,1-10,IA analyse contrats,2026-09-23
Lynxter,industrial,Bayonne,https://lynxter.fr,,,,,Impression 3D industrielle,2026-09-25
Maha Tech,software,Biarritz,,,,,1-10,Éditeur logiciels,2026-09-23
Mamia,software,Saint-Pée-sur-Nivelle,https://www.mamia.fr,,,,,Logiciels de pilotage industriel,2026-09-25
Middle Web,digital,Pau,,,,,11-50,Agence digitale,2026-09-23
Njuko,saas,Bayonne,,,,,11-50,SaaS gestion événements sportifs,2026-09-23
Openema,it-services,Hendaye,https://www.openema.fr,,,,,Cloud et infrastructures numériques,2026-09-25
Orange,telecom,Pau,https://www.orange.com,,,,,Télécom et équipes numériques,2026-09-25
Safran Helicopter Engines,industrial,Bordes,https://www.safran-group.com,,,,,R&D aéronautique et logiciels,2026-09-25
Satlantis France,deeptech,Bidart,https://www.satlantis.com,,,,,Imagerie spatiale et logiciels,2026-09-25
SEI,software,Bidart,,,,,11-50,Solutions supply chain,2026-09-23
Sig-Image,software,Bidart,,,,,11-50,Logiciels travaux publics,2026-09-23
SitInCloud,cybersecurity,Pau,https://www.sitincloud.com,,,,,Cybersécurité et intégration cloud,2026-09-25
Skuria,cybersecurity,Hasparren,https://www.skuria.com,,,,,Cloud souverain et cybersécurité,2026-09-25
Softivert,software,Gabaston,,,,,1-10,Logiciels,2026-09-23
Synthetic Solutions France,software,Pau,,,,,1-10,Solutions logicielles,2026-09-23
Teréga,energy,Pau,https://www.terega.fr,,,,,Équipes data et numériques,2026-09-25
TotalEnergies CSTJF,energy,Pau,https://totalenergies.com,,,,,R&D et calcul scientifique,2026-09-25
UPPA LIUPPA,deeptech,Pau,https://liuppa.univ-pau.fr,,,,,Recherche en informatique,2026-09-25
Wanao,software,Bidart,https://www.wanao.com,,,,,Logiciels de veille marchés publics,2026-09-25
Wave Bumper,software,Bayonne,,,,,1-10,Logiciels innovation,2026-09-23
Wikicampers,ecommerce,Bidart,https://www.wikicampers.fr,,,,,Plateforme numérique de location,2026-09-25
Yellowstone Software,software,Bidart,,,,,1-10,Éditeur logiciels,2026-09-23
ZestMeUp,saas,Biarritz,https://www.zestmeup.com,,,,,SaaS d'engagement collaborateur,2026-09-25
