name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Adeo Services,software,Niort,https://www.adeo.com/,,,,1000+,Antenne informatique et digitale,2026-09-23
Adista,telecom|software,Niort,https://www.adista.fr/,,,,51-1000,Opérateur et hébergeur,2026-09-23
Alten,software,Niort,https://www.alten.com/,,,,1000+,ESN,2026-09-23
Apside,software,Niort,https://www.apside.com/,,,,1000+,ESN,2026-09-23
Atos,software|cybersecurity,Niort,https://atos.net/fr/,,,,1000+,ESN et cybersécurité,2026-09-23
Axians,telecom|software,Niort,https://www.axians.fr/,,,,1000+,Réseaux et intégration IT,2026-09-23
BIM Services,software,Niort,https://www.bim-services.com/,,,,11-50,Logiciels et modélisation 3D,2026-09-23
CGI,software,Niort,https://www.cgi.com/fr/,,,,1000+,Centre de services ESN,2026-09-23
Cheops Technology,software|cybersecurity,Niort,https://www.cheops.fr/,,,,51-1000,Cloud et ESN,2026-09-23
Cofidis Group,fintech|corporate,Niort,https://www.cofidis.fr/,,,,1000+,Équipe IT et services financiers,2026-09-23
Crédit Agricole Mutuel de la Charente-Maritime et des Deux-Sèvres,fintech|corporate,Niort,https://www.credit-agricole.fr/ca-camca/,,,,1000+,DSI bancaire,2026-09-23
Dev-I,software,Niort,https://www.dev-i.fr/,,,,1-10,Développement et intégration,2026-09-23
Econocom,software,Niort,https://www.econocom.com/,,,,1000+,Services IT,2026-09-23
GMF,fintech|corporate,Niort,https://www.gmf.fr/,,,,1000+,DSI et équipes informatiques Covéa,2026-09-23
Groupama,fintech|corporate,Niort,https://www.groupama.fr/,,,,1000+,DSI régionale,2026-09-23
IDS,software,Niort,https://www.ids-informatique.fr/,,,,11-50,Éditeur de logiciels,2026-09-23
Inetum,software,Niort,https://www.inetum.com/,,,,1000+,ESN,2026-09-23
Isagri,software,Niort,https://www.isagri.fr/,,,,1000+,Éditeur de logiciels,2026-09-23
Koesio,software,Niort,https://koesio.com/,,,,1000+,ESN et services numériques,2026-09-23
Macif,fintech|corporate,Niort,https://www.macif.fr/,,,,1000+,Siège et grande DSI mutualiste,2026-09-23
Maif,fintech|corporate,Niort,https://www.maif.fr/,,,,1000+,Siège et grande DSI mutualiste,2026-09-23
Matmut,fintech|corporate,Niort,https://www.matmut.fr/,,,,1000+,DSI et équipes IT mutualistes,2026-09-23
Mismo,software|cybersecurity,Niort,https://www.mismo.fr/,,,,51-1000,ESN et cybersécurité,2026-09-23
Niort Numérique,telecom,Niort,https://www.niort-numerique.fr/,,,,1-10,Infrastructures numériques,2026-09-23
Orange,telecom|software,Niort,https://www.orange.com/,,,,1000+,Centre de services et réseau,2026-09-23
Pro solvuntur,software,Bressuire,https://www.pro-solvuntur.fr/,,,,1-10,Éditeur de logiciels,2026-09-23
Sopra Steria,software,Niort,https://www.soprasteria.com/,,,,1000+,ESN et centre de services,2026-09-23
Terrena,corporate,Niort,https://www.terrena.fr/,,,,1000+,Équipe informatique locale,2026-09-23
Visiativ,software,Niort,https://www.visiativ.com/,,,,1000+,Éditeur et intégrateur,2026-09-23
