name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Adeo Informatique,software,Poitiers,,,,,,ESN et intégrateur,2026-09-23
Adista,telecom|software,Chasseneuil-du-Poitou,https://www.adista.fr/,,,,51-1000,Opérateur et hébergeur,2026-09-23
Agoralie,software,Poitiers,,,,,,Solutions numériques,2026-09-23
Aigle,ecommerce|industrial,Ingrandes,https://www.aigle.com/,,,,51-1000,SI et logistique,2026-09-23
Alten,software,Chasseneuil-du-Poitou,https://www.alten.com/,,,,1000+,ESN,2026-09-23
Alterna Energie,energy,Poitiers,https://www.alterna-energie.fr/,,,,51-1000,IT énergie verte,2026-09-23
Apside,software,Chasseneuil-du-Poitou,https://www.apside.com/,,,,1000+,ESN,2026-09-23
Ateja,software,Chasseneuil-du-Poitou,https://www.ateja.fr/,,,,1-10,Éditeur et développement,2026-09-23
Atos,software|cybersecurity,Chasseneuil-du-Poitou,https://atos.net/fr/,,,,1000+,ESN et cybersécurité,2026-09-23
Axians,telecom|software,Poitiers,https://www.axians.fr/,,,,1000+,Réseaux et intégration,2026-09-23
B-Appli,software|saas,Chasseneuil-du-Poitou,,,,,,Éditeur de logiciels SaaS,2026-09-23
B. Braun,healthtech|industrial,Chasseneuil-du-Poitou,https://www.bbraun.fr/,,,,1000+,R&D dispositifs médicaux,2026-09-23
CGI,software,Chasseneuil-du-Poitou,https://www.cgi.com/fr/,,,,1000+,Centre d'excellence ESN,2026-09-23
Cheops Technology,software|cybersecurity,Chasseneuil-du-Poitou,https://www.cheops.fr/,,,,51-1000,Cloud et ESN,2026-09-23
CNED,software,Chasseneuil-du-Poitou,https://www.cned.fr/,,,,1000+,R&D EdTech,2026-09-23
Crédit Agricole de la Touraine et du Poitou,fintech|enterprise,Poitiers,https://www.credit-agricole.fr/ca-tourainepoitou/,,,,1000+,DSI régionale,2026-09-23
Dassault Aviation,industrial,Poitiers,https://www.dassault-aviation.com/,,,,1000+,IT et industrielle,2026-09-23
Docaposte,software|saas,Chasseneuil-du-Poitou,https://www.docaposte.com/,,,,1000+,Éditeur et ESN,2026-09-23
Econocom,software,Chasseneuil-du-Poitou,https://www.econocom.com/,,,,1000+,Services IT,2026-09-23
EDF,energy,Civaux,https://www.edf.fr/,,,,1000+,Équipe informatique locale,2026-09-23
Experis France,software,Chasseneuil-du-Poitou,https://www.experisfrance.fr/,,,,1000+,ESN,2026-09-23
Forsee Power,industrial|energy,Chasseneuil-du-Poitou,https://www.forseepower.com/,,,,51-1000,R&D logiciels embarqués,2026-09-23
Futuroscope,enterprise,Chasseneuil-du-Poitou,https://www.futuroscope.com/,,,,1000+,DSI parc d'attractions,2026-09-23
Idéine,software,Poitiers,https://www.ideine.fr/,,,,11-50,Développement logiciel et mobile,2026-09-23
Inetum,software,Chasseneuil-du-Poitou,https://www.inetum.com/,,,,1000+,ESN,2026-09-23
Isagri,software,Poitiers,https://www.isagri.fr/,,,,1000+,Éditeur de logiciels,2026-09-23
Koesio,software,Poitiers,https://koesio.com/,,,,1000+,ESN et services numériques,2026-09-23
Marelli,industrial,Châtellerault,https://www.marelli.com/,,,,1000+,R&D automobile,2026-09-23
Next-Alis,software,Chasseneuil-du-Poitou,https://www.next-alis.com/,,,,11-50,ESN,2026-09-23
Orange,telecom|software,Chasseneuil-du-Poitou,https://www.orange.com/,,,,1000+,Centre de développement,2026-09-23
Réseau Canopé,software,Chasseneuil-du-Poitou,https://www.reseau-canope.fr/,,,,1000+,Éditeur public EdTech,2026-09-23
Safran,industrial,Châtellerault,https://www.safran-group.com/,,,,1000+,Informatique industrielle,2026-09-23
SCC,software,Chasseneuil-du-Poitou,https://france.scc.com/,,,,1000+,ESN,2026-09-23
Serli,software,Chasseneuil-du-Poitou,https://www.serli.com/,,,,,Éditeur et experte Java,2026-09-23
Sopra Steria,software,Chasseneuil-du-Poitou,https://www.soprasteria.com/,,,,1000+,ESN,2026-09-23
Sorégies,energy|enterprise,Poitiers,https://www.soregies.fr/,,,,51-1000,DSI énergie,2026-09-23
SPIE ICS,telecom|software,Chasseneuil-du-Poitou,https://www.spie.com/,,,,1000+,Réseaux numériques,2026-09-23
Thales,industrial|cybersecurity,Châtellerault,https://www.thalesgroup.com/,,,,1000+,R&D avionique,2026-09-23
Valeo,industrial,Châtellerault,https://www.valeo.com/,,,,1000+,R&D logiciels embarqués,2026-09-23
Vienne Documentique,software,Poitiers,https://www.vienne-documentique.fr/,,,,11-50,Solutions informatiques,2026-09-23
Vienne Numérique,telecom,Poitiers,https://www.vienne-numerique.fr/,,,,11-50,Infrastructures télécom publiques,2026-09-23
