name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Adista,telecom|software,Limoges,https://www.adista.fr/,,,,51-1000,Opérateur et hébergeur,2026-09-23
Aisitec,software,Limoges,https://www.aisitec.fr/,,,,11-50,ESN locale,2026-09-23
Akkodis,software,Limoges,https://www.akkodis.com/,,,,1000+,ESN et ingénierie,2026-09-23
Alten,software,Limoges,https://www.alten.com/,,,,1000+,ESN,2026-09-23
Arquus,industrial,Limoges,https://www.arquus-defense.com/,,,,1000+,R&D défense et systèmes,2026-09-23
Atoo Next,software|saas,Limoges,https://www.atoo-next.net/,,,,1-10,Éditeur SaaS ERP,2026-09-23
Atos,software|cybersecurity,Limoges,https://atos.net/fr/,,,,1000+,ESN et cybersécurité,2026-09-23
Axians,telecom|software,Limoges,https://www.axians.fr/,,,,1000+,Réseaux et intégration IT,2026-09-23
Berger-Levrault,software,Limoges,https://www.berger-levrault.com/,,,,1000+,Éditeur de logiciels publics,2026-09-23
BPCE-IT,fintech|corporate,Limoges,,,,,1000+,IT bancaire,2026-09-23
Célios,software,Limoges,https://www.celios.fr/,,,,11-50,ESN et conseil IT,2026-09-23
CGI,software,Limoges,https://www.cgi.com/fr/,,,,1000+,ESN et conseil,2026-09-23
Cheops Technology,software|cybersecurity,Limoges,https://www.cheops.fr/,,,,51-1000,ESN et Cloud,2026-09-23
CHU de Limoges,healthtech|corporate,Limoges,https://www.chu-limoges.fr/,,,,1000+,DSI hospitalière,2026-09-23
Cogelog,software,Limoges,https://www.cogelog.com/,,,,11-50,Éditeur de logiciels,2026-09-23
Crédit Agricole Centre Ouest,fintech|corporate,Limoges,https://www.credit-agricole.fr/ca-centreouest/,,,,1000+,DSI bancaire régionale,2026-09-23
Devatics,software|ecommerce,Limoges,https://www.devatics.com/,,,,11-50,Éditeur solutions e-commerce,2026-09-23
Dorsal,telecom,Limoges,https://www.dorsal.fr/,,,,11-50,Infrastructures télécom publiques,2026-09-23
Econocom,software,Limoges,https://www.econocom.com/,,,,1000+,Services IT,2026-09-23
Enedis,energy|corporate,Limoges,https://www.enedis.fr/,,,,1000+,Équipe informatique locale,2026-09-23
Facil'iti,software|saas,Limoges,https://facil-iti.fr/,,,,11-50,Solution d'accessibilité numérique,2026-09-23
Haute-Vienne Numérique,telecom,Limoges,,,,,11-50,Infrastructures numériques,2026-09-23
I-Ceram,healthtech|industrial,Limoges,https://www.i-ceram.fr/,,,,11-50,R&D implants connectés,2026-09-23
Inetum,software,Limoges,https://www.inetum.com/,,,,1000+,ESN,2026-09-23
International Paper,industrial,Saillat-sur-Vienne,https://www.internationalpaper.com/,,,,1000+,IT et industrielle,2026-09-23
Isagri,software,Limoges,https://www.isagri.fr/,,,,1000+,Éditeur de logiciels agricoles,2026-09-23
Iteane,software,Limoges,https://www.iteane.fr/,,,,1-10,ESN locale,2026-09-23
Koesio,software,Limoges,https://koesio.com/,,,,1000+,ESN et services numériques,2026-09-23
Legrand,industrial|software,Limoges,https://www.legrand.fr/,,,,1000+,HQ et R&D domotique,2026-09-23
Novadial,telecom|software,Limoges,https://www.novadial.fr/,,,,11-50,Éditeur logiciel télécom,2026-09-23
Orange,telecom|software,Limoges,https://www.orange.com/,,,,1000+,Centre technique régional,2026-09-23
Orano,industrial|energy,Bessines-sur-Gartempe,https://www.orano.group/,,,,1000+,IT et systèmes industriels,2026-09-23
Sanilea,healthtech|software,Limoges,https://www.sanilea.fr/,,,,51-1000,Plateforme SaaS transport sanitaire,2026-09-23
SCC,software,Limoges,https://france.scc.com/,,,,1000+,ESN,2026-09-23
Sopra Steria,software,Limoges,https://www.soprasteria.com/,,,,1000+,ESN,2026-09-23
Spie ICS,telecom|software,Limoges,https://www.spie.com/,,,,1000+,Services numériques et réseaux,2026-09-23
Système U,corporate|ecommerce,Limoges,https://www.magasins-u.com/,,,,1000+,DSI centrale régionale,2026-09-23
Texelis,industrial,Limoges,https://texelis.com/,,,,51-1000,R&D systèmes mobilité,2026-09-23
URSSAF Limousin,corporate,Limoges,https://www.urssaf.fr/,,,,51-1000,DSI publique,2026-09-23
Visiativ,software,Limoges,https://www.visiativ.com/,,,,1000+,Éditeur et intégrateur,2026-09-23
