name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
ATOO NEXT,ecommerce|software,Nîmes,https://www.atoo-next.net/,,,,,Solutions e-commerce,2026-09-24
BEA Solutions,ai|cybersecurity|software,Alès,https://www.bea-solutions.fr/,,,,11-50,ESN,2026-09-24
Cekoya,energy|software,Nîmes,https://cekoya.fr/,,,,,Greentech,2026-09-24
Drone Geofencing,cybersecurity|industrial|software,Nîmes,https://www.drone-geofencing.fr/,,,,,Technologies drones,2026-09-24
Green4Cloud,energy|software,Alès,https://green4.cloud/,,,,,Cloud responsable,2026-09-24
GSI Concept,software,Nîmes,https://gsiconcept.fr/,,,,,Solutions numériques,2026-09-24
Humanix Cybersecurity,cybersecurity,Alès,https://humanix-cybersecurity.fr/,,,,,Cybersécurité,2026-09-24
Index LD,ai|software,Sommières,https://www.indexld.com/,,,,,Applications et IA,2026-09-24
Laboxy,ai|software,Nîmes,https://www.laboxy.fr/,,,,,Data analytics,2026-09-24
Leez IA,ai,Bagnols-sur-Cèze,https://leez-ia.com/,,,,,Intelligence artificielle,2026-09-24
Nexway,ecommerce|saas|software,Nîmes,https://www.nexway.com/,,,,51-1000,Éditeur SaaS,2026-09-24
O-BLANC,healthtech|software,Nîmes,https://www.o-blanc.com/,,,,,Beautytech,2026-09-24
Ol'Apps,saas|software,Nîmes,https://www.olapps.fr/,,,React|TypeScript|PostgreSQL,,Applications métier,2026-09-24
Sora Websoft,saas|software,Nîmes,https://www.sora-websoft.com/,,,,,Éditeur de logiciels,2026-09-24
StartingBloch,saas|software,Nîmes,https://www.startingbloch.com/,,,,,Legaltech,2026-09-24
Supernova Technologies,fintech|software,Nîmes,https://www.supernova-business.com/,,,,,Fintech,2026-09-24
Weekera,saas|software,Nîmes,https://weekera.fr/,,,,,Logiciel RH,2026-09-24
