name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
ACTIA,industrial|software,Toulouse,https://www.actia.com/,,,,1000+,Systèmes embarqués,2026-09-24
Airbus,industrial,Blagnac,https://www.airbus.com/,,https://www.linkedin.com/company/airbusgroup/,,1000+,R&D aéronautique,2026-09-24
Airbus Defence and Space,industrial|software,Toulouse,https://www.airbus.com/en/products-services/defence,,,,1000+,R&D aérospatiale,2026-09-24
Airbus Protect,cybersecurity,Toulouse,https://www.protect.airbus.com/,,,,51-1000,Cybersécurité,2026-09-24
AirSaas,saas|software,Labège,https://www.airsaas.io/,,,,,SaaS de pilotage,2026-09-24
Akkodis,software,Toulouse,https://www.akkodis.com/fr,,,,1000+,ESN,2026-09-24
ALTEN,software,Toulouse,https://www.alten.fr/,,,,1000+,Ingénierie et IT,2026-09-24
Antislash Studio,ai|software,Labège,https://www.antislash.studio/,,,,,Data et IA,2026-09-24
Apside,software,Toulouse,https://www.apside.com/fr/,,,,1000+,ESN,2026-09-24
Asayan,ai|saas,Labège,https://www.asayan.fr/,,,,,SaaS et IA,2026-09-24
Berger-Levrault,saas|software,Labège,https://www.berger-levrault.com/,,,,1000+,Éditeur de logiciels,2026-09-24
Bincy,energy|software,Labège,https://bincy.fr/,,,,,Solution connectée,2026-09-24
Bizzlite,ecommerce|saas,Labège,https://bizzlite.com/,,,,,SaaS commerce,2026-09-24
Capgemini,software,Toulouse,https://www.capgemini.com/fr-fr/,,,,1000+,ESN,2026-09-24
Capturs,industrial|software,Labège,https://www.capturs.com/,,,,,IoT et géolocalisation,2026-09-24
Cenareo,saas|software,Labège,https://www.cenareo.com/,,,,,Éditeur SaaS,2026-09-24
CGI,software,Toulouse,https://www.cgi.com/france/fr-fr,,,,1000+,ESN,2026-09-24
Chrysalis,ai|saas,Labège,https://www.chrysalis-innovation.com/,,,AWS|Azure|GCP,,Agents IA,2026-09-24
CIMPA,industrial|software,Blagnac,https://www.cimpa.com/,,,,1000+,PLM et ingénierie,2026-09-24
Click-Light,industrial|software,Labège,https://www.clic-light.com/,,,,,Objets connectés,2026-09-24
CLS,industrial|software,Ramonville-Saint-Agne,https://www.cls.fr/,,,,1000+,Applications spatiales,2026-09-24
CS Group,cybersecurity|software,Toulouse,https://www.csgroup.eu/,,,,1000+,Systèmes critiques,2026-09-24
Delair,ai|industrial|software,Labège,https://delair.aero/,,,,51-1000,Drones professionnels,2026-09-24
DOC2U,healthtech|software,Labège,https://www.doc2u.fr/,,,,,Télémédecine,2026-09-24
Donecle,ai|industrial|software,Toulouse,https://www.donecle.com/,,,,11-50,Drones d'inspection,2026-09-24
EasyMile,software|transport,Toulouse,https://easymile.com/,,,,51-1000,Conduite autonome,2026-09-24
Eviden,cybersecurity|software,Toulouse,https://eviden.com/,,,,1000+,Services numériques,2026-09-24
Expleo,industrial|software,Toulouse,https://expleo.com/global/fr/,,,,1000+,Ingénierie numérique,2026-09-24
Happypro,saas|software,Labège,https://www.happypro.fr/,,,,,Application métier,2026-09-24
Hemeria,industrial|software,Toulouse,https://www.hemeria-group.com/,,,,51-1000,Systèmes spatiaux,2026-09-24
iki,healthtech|software,Labège,https://iki-diag.com/,,,,,Diagnostic connecté,2026-09-24
ITrust,cybersecurity,Labège,https://www.itrust.fr/,,,,51-1000,Cybersécurité,2026-09-24
Kinéis,industrial|telecom,Toulouse,https://www.kineis.com/,,,,51-1000,IoT satellitaire,2026-09-24
Liebherr-Aerospace Toulouse,industrial,Toulouse,https://www.liebherr.com/,,,,1000+,R&D aéronautique,2026-09-24
Loft Orbital,industrial|software,Toulouse,https://www.loftorbital.com/,,,,51-1000,Plateforme satellitaire,2026-09-24
MerciYanis,saas|software,Labège,https://merciyanis.com/,,,,,SaaS facility management,2026-09-24
NXP Semiconductors,industrial,Toulouse,https://www.nxp.com/,,,,1000+,R&D électronique,2026-09-24
Onetip,fintech|saas,Labège,https://www.onetip-app.com/,,,,,Paiement sans contact,2026-09-24
Optimus IA,ai|software,Labège,https://optimusai.fr/,,,,,Intelligence artificielle,2026-09-24
Orange,telecom,Toulouse,https://www.orange.com/,,https://www.linkedin.com/company/orange/,,1000+,Télécom et équipes IT,2026-09-24
Owley,saas|software,Labège,https://owley.io/,,,,,Objets connectés,2026-09-24
Oxydian,cybersecurity,Labège,https://www.oxydian.fr/,,,,,Cybersécurité,2026-09-24
Resonovia,software|transport,Labège,https://www.resonovia.fr/,,,,,Logiciel mobilité électrique,2026-09-24
Safran Electrical & Power,industrial,Blagnac,https://www.safran-group.com/companies/safran-electrical-power,,,,1000+,R&D aéronautique,2026-09-24
SAVE me,telecom,Labège,https://saveme.info/,,,,,Connectivité de secours,2026-09-24
Scalian,industrial|software,Labège,https://www.scalian.com/,,,,1000+,Ingénierie et IT,2026-09-24
Sekaop,energy|software,Labège,https://sekaop.fr/,,,,,Mobilité électrique,2026-09-24
Sensinov,saas|software,Labège,https://www.sensinov.com/,,,,,Plateforme IoT,2026-09-24
Sentiens,industrial|software,Labège,https://www.sentiens.fr/,,,,,IoT industriel,2026-09-24
SII,software,Toulouse,https://sii-group.com/fr-FR,,,,1000+,ESN,2026-09-24
Skyted,industrial|telecom,Labège,https://skyted.io/,,,,,Audio confidentiel,2026-09-24
Sogeclair,industrial|software,Blagnac,https://www.sogeclair.com/,,,,1000+,Ingénierie aérospatiale,2026-09-24
Sopra Steria,software,Colomiers,https://www.soprasteria.com/fr,,,,1000+,ESN,2026-09-24
Terrians,saas|software,Labège,https://www.terrians.org/,,,,,Plateforme RSE,2026-09-24
Thales Alenia Space,industrial|software,Toulouse,https://www.thalesaleniaspace.com/,,,,1000+,R&D spatiale,2026-09-24
