name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
AKILAB,ai|software,Murviel-lès-Béziers,https://app.immovisionai.fr/,,,,,Intelligence artificielle,2026-09-24
APS,industrial|software,Béziers,https://aps-industry.com/,,,,,Technologies industrielles,2026-09-24
Axeptio,saas|software,Montpellier,https://www.axept.io/,,,,51-1000,SaaS de conformité,2026-09-24
BforeAI PreCrime,cybersecurity|saas,Lunel,https://www.bfore.ai/,,,,51-1000,Cybersécurité prédictive,2026-09-24
Binom Mobile,software,Montpellier,https://binom-mobile.com/,,,,,Applications mobiles,2026-09-24
Capgemini,software,Montpellier,https://www.capgemini.com/fr-fr/,,,,1000+,ESN,2026-09-24
CGI,software,Montpellier,https://www.cgi.com/france/fr-fr,,,,1000+,ESN,2026-09-24
CILCARE,healthtech,Montpellier,https://www.cilcare.com/,,,,51-1000,R&D santé,2026-09-24
CoderPad,saas|software,Montpellier,https://coderpad.io/,,,,51-1000,Éditeur SaaS,2026-09-24
CoOptek,software,Montpellier,https://cooptek.fr/,,,,,Géolocalisation,2026-09-24
Dell Technologies,software,Montpellier,https://www.dell.com/fr-fr/,,,,1000+,Centre technologique,2026-09-24
Desk,saas|software,Montpellier,https://desk.community/,,,,,Proptech,2026-09-24
Digital Forge,ai|software,Montpellier,https://www.digitalforge.fr/,,,,,Data analytics,2026-09-24
Doctreen,ai|healthtech,Montpellier,https://www.doctreen.com/,,,,,IA santé,2026-09-24
Droits Quotidiens Legal Tech,saas|software,Montpellier,https://www.droitsquotidiens.tech/,,,,,Legaltech,2026-09-24
Elvink,software,Montpellier,https://elvinck.com/,,,,,Solutions numériques,2026-09-24
Emvista,ai|software,Jacou,https://emvista.com/,,,,11-50,Intelligence artificielle,2026-09-24
Factory 456,ai|fintech|saas,Montpellier,https://www.factory456.com/,,,,,Fintech et IA,2026-09-24
GrapeTrack,saas|software,Montpellier,https://oenot.io/,,,,,Agritech logicielle,2026-09-24
