name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Altavue,ai|software,Cahors,https://altavue.fr/,,,,,IA agritech,2026-09-24
Caelis,cybersecurity|software,Figeac,https://www.caelis.fr/,,,,,Cloud et hébergement,2026-09-24
Codebox,ai|saas|software,Figeac,https://codebox.fr/,,,,,Logiciels métier,2026-09-24
Fideciel,software,Figeac,https://fideciel.fr/,,,,51-1000,Groupe logiciel,2026-09-24
Figeac Aéro,industrial,Figeac,https://www.figeac-aero.com/,,,,1000+,R&D aéronautique,2026-09-24
iMSA,software,Cahors,https://www.imsa.fr/,,,,1000+,Équipe informatique locale,2026-09-24
Lomaco,software,Figeac,https://www.lomaco.fr/,,,,51-1000,Éditeur de logiciels,2026-09-24
MK2I,software,Figeac,https://www.mk2i.fr/,,,,,Services informatiques,2026-09-24
Ratier-Figeac,industrial,Figeac,https://ratier-figeac.fr/,,,,1000+,R&D aéronautique,2026-09-24
Whylot,energy|industrial,Cambes,https://www.whylot.com/,,,,51-1000,R&D moteurs électriques,2026-09-24
