name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
2IRS,cybersecurity|software,Tarbes,https://2irs.com/,,,,11-50,Éditeur et cybersécurité,2026-09-24
Alma,software,Tarbes,https://www.alma.fr/,,,,51-1000,Éditeur de logiciels,2026-09-24
Alstom,industrial|transport,Séméac,https://www.alstom.com/fr,,,,1000+,R&D ferroviaire,2026-09-24
CAF France,industrial|transport,Bagnères-de-Bigorre,https://www.caf.net/fr/,,,,1000+,R&D ferroviaire,2026-09-24
Daher,industrial,Tarbes,https://www.daher.com/,,,,1000+,R&D aéronautique,2026-09-24
Englab,industrial|software,Tarbes,https://www.englab.com/,,,,51-1000,Logiciel embarqué,2026-09-24
Healem,cybersecurity|software,Tarbes,https://www.healem.fr/,,,,,Cloud et cybersécurité,2026-09-24
Mersen Boostec,industrial,Bazet,https://www.mersen.com/,,,,1000+,R&D matériaux avancés,2026-09-24
NSI,cybersecurity|software,Tarbes,https://nsicorporation.com/,,,,,IT et cybersécurité,2026-09-24
Ordi 3000 Développement,software,Tarbes,https://www.ordi3000.fr/,,,,,Éditeur de logiciels,2026-09-24
Ségneré,industrial,Adé,https://www.groupe-segnere.com/,,,,51-1000,Ingénierie aéronautique,2026-09-24
Tarmac Aerosave,industrial,Azereix,https://www.tarmacaerosave.aero/,,,,51-1000,Maintenance aéronautique,2026-09-24
