name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Adamentis,cybersecurity|software,Rivesaltes,https://www.adamentis.com/,,,,,Cloud souverain,2026-09-24
CanigouIA,ai|software,Perpignan,https://canigouia.fr/,,,,,Automatisation IA,2026-09-24
CD2I,cybersecurity|software,Canet-en-Roussillon,https://www.cd2i.fr/,,,,,ESN,2026-09-24
Cohelio,saas|software,Perpignan,https://cohelio.fr/,,,,,Plateforme de pilotage,2026-09-24
Convergence,software,Canet-en-Roussillon,https://www.convergence.consulting/,,,,,Conseil numérique,2026-09-24
EPREYN,saas|software,Perpignan,https://epreyn.com/,,,React|Laravel,,Applications métier,2026-09-24
Idiris,energy|industrial,Perpignan,https://idiris.net/,,,,,Efficacité énergétique,2026-09-24
Lobbi,software,Perpignan,https://lobbi.fr/,,,,,Studio de produits tech,2026-09-24
Neeko,saas|software,Perpignan,https://neekoapp.com/,,,,,SaaS restauration,2026-09-24
NextGen IT,cybersecurity|software,Perpignan,https://nextgen-it.fr/,,,,,Transition numérique,2026-09-24
Pyrescom,industrial|software,Canohès,https://www.pyres.com/,,,,51-1000,Éditeur et électronique,2026-09-24
Tecsol,energy|software,Perpignan,https://tecsol.fr/,,,,51-1000,Énergie et logiciel,2026-09-24
